# Matter power spectrum P(k) at redshift z=0
# for k=1.03693e-05 to 32.8247 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.036925660231e-05       5.425608217157e+01 
       1.305412063806e-05       6.770765884428e+01 
       1.643416419988e-05       8.449417590930e+01 
       2.068938693283e-05       1.054423381758e+02 
       2.604639496418e-05       1.315837713132e+02 
       3.279046850604e-05       1.642056411978e+02 
       4.128075406689e-05       2.049138113119e+02 
       5.196939031283e-05       2.557115765492e+02 
       6.542558610027e-05       3.190973429839e+02 
       8.236593292316e-05       3.981859824042e+02 
       1.036925660231e-04       4.968587091966e+02 
       1.305412063806e-04       6.199474298309e+02 
       1.643416419988e-04       7.733643489501e+02 
       2.068938693283e-04       9.646983004829e+02 
       2.604639496418e-04       1.203094289157e+03 
       3.279046850604e-04       1.499878658753e+03 
       4.128075406689e-04       1.868890413399e+03 
       5.196939031283e-04       2.326877421880e+03 
       6.542558610027e-04       2.893855760417e+03 
       8.236593292316e-04       3.593366542289e+03 
       1.036925660231e-03       4.452486978023e+03 
       1.305412063806e-03       5.501280120464e+03 
       1.643416419988e-03       6.771284610990e+03 
       2.068938693283e-03       8.292699484756e+03 
       2.604639496418e-03       1.008959415807e+04 
       3.279046850604e-03       1.217275841945e+04 
       4.128075406689e-03       1.453005349759e+04 
       5.196939031283e-03       1.711335666943e+04 
       6.542558610027e-03       1.982310667127e+04 
       8.236593292316e-03       2.249109568773e+04 
       1.036925660231e-02       2.486476022985e+04 
       1.305412063806e-02       2.659810010064e+04 
       1.643416419986e-02       2.726954546333e+04 
       2.068938680376e-02       2.646736639728e+04 
       2.604629037475e-02       2.400144463110e+04 
       3.277523661384e-02       2.024055002360e+04 
       4.075020544775e-02       1.644740520652e+04 
       4.756944096828e-02       1.424528735224e+04 
       5.249879919256e-02       1.317181626766e+04 
       5.654836530934e-02       1.250875777113e+04 
       6.015680518742e-02       1.201271166165e+04 
       6.351837274751e-02       1.158315350726e+04 
       6.673534423251e-02       1.116965507083e+04 
       6.986881481092e-02       1.074535460504e+04 
       7.295880231449e-02       1.029718487856e+04 
       7.603344677122e-02       9.821684539690e+03 
       7.911370394091e-02       9.322362659012e+03 
       8.221594671203e-02       8.808206264905e+03 
       8.535350339956e-02       8.291773414105e+03 
       8.853761578638e-02       7.787516985776e+03 
       9.177806151142e-02       7.309915696454e+03 
       9.508357270563e-02       6.871883428361e+03 
       9.846212578945e-02       6.483356237423e+03 
       1.019211468843e-01       6.150237517729e+03 
       1.054676602261e-01       5.873785025835e+03 
       1.091083970228e-01       5.650436518750e+03 
       1.128498761936e-01       5.471889474298e+03 
       1.166984647077e-01       5.325703165152e+03 
       1.206604228668e-01       5.196238077100e+03 
       1.247419383418e-01       5.066597225590e+03 
       1.289491517627e-01       4.920953794149e+03 
       1.332881759917e-01       4.747963439089e+03 
       1.377651107595e-01       4.543159879753e+03 
       1.423860540515e-01       4.310814225064e+03 
       1.471571114322e-01       4.062967550075e+03 
       1.520844043707e-01       3.816638290370e+03 
       1.571740785486e-01       3.589530231322e+03 
       1.624323130815e-01       3.395432434023e+03 
       1.678653315531e-01       3.240779365389e+03 
       1.734794157412e-01       3.123507378114e+03 
       1.792809229020e-01       3.033008533705e+03 
       1.852763074682e-01       2.953765554629e+03 
       1.914721480159e-01       2.868582321022e+03 
       1.978751803527e-01       2.763927475203e+03 
       2.044923375977e-01       2.637451128105e+03 
       2.113307981510e-01       2.498656140304e+03 
       2.183980425119e-01       2.363019983758e+03 
       2.257019199969e-01       2.244149057721e+03 
       2.332507265573e-01       2.148815461887e+03 
       2.410532951092e-01       2.075049051095e+03 
       2.491191000905e-01       2.012402095959e+03 
       2.574583783729e-01       1.947737013658e+03 
       2.660822692186e-01       1.873236152428e+03 
       2.750029767129e-01       1.790198200501e+03 
       2.842339590932e-01       1.707490758087e+03 
       2.937901506986e-01       1.634923085866e+03 
       3.036882239917e-01       1.575200241188e+03 
       3.139469014066e-01       1.523328394298e+03 
       3.245873298622e-01       1.471712723768e+03 
       3.356335349692e-01       1.416047868925e+03 
       3.471129776984e-01       1.359145864691e+03 
       3.590572442604e-01       1.306326227170e+03 
       3.715029111963e-01       1.259902209162e+03 
       3.844926438014e-01       1.216854934909e+03 
       3.980766094867e-01       1.173483336584e+03 
       4.123143225424e-01       1.129659766876e+03 
       4.272770895514e-01       1.087906745962e+03 
       4.430513064280e-01       1.048980033849e+03 
       4.597429876895e-01       1.011336852453e+03 
       4.774841198427e-01       9.736650181414e+02 
       4.964417855955e-01       9.368116378121e+02 
       5.168316220286e-01       9.012398368275e+02 
       5.389382883030e-01       8.657690309123e+02 
       5.631477146531e-01       8.302831034052e+02 
       5.900000528688e-01       7.947757437235e+02 
       6.202809293798e-01       7.584709932543e+02 
       6.551879456580e-01       7.209242809788e+02 
       6.966555390757e-01       6.811309591391e+02 
       7.480392410019e-01       6.377078822810e+02 
       8.156736920819e-01       5.882473653665e+02 
       9.125570471616e-01       5.287113000598e+02 
       1.065335808555e+00       4.535333665495e+02 
       1.309261617887e+00       3.635912907047e+02 
       1.645183303518e+00       2.761809535386e+02 
       2.071101432664e+00       2.015538154528e+02 
       2.607361980256e+00       1.415072066237e+02 
       3.282474254553e+00       9.593524369332e+01 
       4.132390252617e+00       6.315007411216e+01 
       5.202371100470e+00       4.058894049704e+01 
       6.549397179965e+00       2.560326691274e+01 
       8.245202541791e+00       1.591889585523e+01 
       1.038009500525e+01       9.789838458307e+00 
       1.306776537895e+01       5.971286036674e+00 
       1.645134191092e+01       3.619900080744e+00 
       2.071101238977e+01       2.184468089273e+00 
       2.607361980147e+01       1.313792648274e+00 
       3.282474254553e+01       7.881710966873e-01 
