# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.03693e-05 to 32.8247 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.036925660231e-05      -7.967028223362e-04      -5.976987361790e-04      -5.976987593169e-04      -7.966941425341e-04       2.983967588884e-08       7.366854001446e-12      -4.885388716774e-04       5.771779073546e-01       5.768233272102e-01       1.195397518634e-03       2.109512408944e-07       9.999985435177e-01      -4.870436621037e-11       1.642702433034e-10      -1.495895083095e-14      -6.272090659900e-11      -3.280210922996e-15      -6.470368692637e-11      -5.023708281583e-14 
       1.305412063806e-05      -1.262476079748e-03      -9.472881135533e-04      -9.472881716706e-04      -1.262454279952e-03       4.729275327608e-08       1.167569696554e-11      -7.742813983315e-04       5.771774323443e-01       5.768229396192e-01       1.894576343341e-03       3.343348316910e-07       9.999976916835e-01      -7.718133767480e-11       2.602976323044e-10      -2.370466686182e-14      -1.575287267397e-10      -8.238973548905e-15      -1.625081358759e-10      -1.261744821100e-13 
       1.643416419988e-05      -2.000354931735e-03      -1.501348818438e-03      -1.501348964414e-03      -2.000300184657e-03       7.495389362411e-08       1.850466739768e-11      -1.227151734799e-03       5.771765788328e-01       5.768222247001e-01       3.002697928828e-03       5.298842359000e-07       9.999963416900e-01      -1.223010147802e-10       4.124103644288e-10      -3.756013486730e-14      -3.956183497401e-10      -2.069367344603e-14      -4.081216286591e-10      -3.168748613557e-13 
       2.068938693283e-05      -3.169005722394e-03      -2.379473157114e-03      -2.379473523760e-03      -3.168868248337e-03       1.187937414606e-07       2.932790949120e-11      -1.944900304722e-03       5.771751727587e-01       5.768210382668e-01       4.758947047520e-03       8.398081080640e-07       9.999942022999e-01      -1.937753928810e-10       6.532908736696e-10      -5.950562090080e-14      -9.934458202844e-10      -5.197330008018e-14      -1.024835265692e-09      -7.957102250692e-13 
       2.604639496418e-05      -5.019163535365e-03      -3.771199941596e-03      -3.771200862425e-03      -5.018818410650e-03       1.882747938932e-07       4.648132775863e-11      -3.082448969288e-03       5.771729689866e-01       5.768191823042e-01       7.542401724850e-03       1.331001529082e-06       9.999908116004e-01      -3.069643393274e-10       1.034554112234e-09      -9.425185212952e-14      -2.494221014062e-09      -1.305199520433e-13      -2.572995631894e-09      -1.997764909854e-12 
       3.279046850604e-05      -7.946374969128e-03      -5.976921870796e-03      -5.976924183328e-03      -7.945508817186e-03       2.983940620635e-07       7.366762656138e-11      -4.885326601883e-03       5.771694730854e-01       5.768162372466e-01       1.195384836666e-02       2.109483664737e-06       9.999854379583e-01      -4.861267342395e-10       1.637544042495e-09      -1.492330533596e-13      -6.260412945882e-09      -3.277392861628e-13      -6.458002186977e-09      -5.014303415104e-12 
       4.128075406689e-05      -1.257292428635e-02      -9.472713844156e-03      -9.472719650848e-03      -1.257075153703e-02       4.729187145799e-07       1.167541618909e-10      -7.742655702179e-03       5.771639099484e-01       5.768115455762e-01       1.894543930170e-02       3.343277382222e-06       9.999769250149e-01      -7.695266412973e-10       2.590031216565e-09      -2.361519618940e-13      -1.570641661350e-08      -8.227733780348e-13      -1.620162078617e-08      -1.258003458836e-11 
       5.196939031283e-05      -1.987352298284e-02      -1.501306706194e-02      -1.501308163924e-02      -1.986807672026e-02       7.495173630520e-07       1.850402515007e-10      -1.227111910756e-02       5.771551129699e-01       5.768041263679e-01       3.002616327847e-02       5.298664801057e-06       9.999634410274e-01      -1.217265848067e-09       4.091637493043e-09      -3.733568890273e-13      -3.937708673971e-08      -2.064868079250e-12      -4.061657333403e-08      -3.153870720184e-11 
       6.542558610027e-05      -3.136417030607e-02      -2.379367401086e-02      -2.379371059322e-02      -3.135053542641e-02       1.187881795160e-06       2.932626565681e-10      -1.944800325095e-02       5.771411788452e-01       5.767923672757e-01       4.758742118645e-02       8.397635324476e-06       9.999420900714e-01      -1.923352274745e-09       6.451558711203e-09      -5.894301801387e-13      -9.861042544079e-08      -5.179316331674e-12      -1.017063526656e-07      -7.897980124655e-11 
       8.236593292316e-05      -4.937591936451e-02      -3.770934353077e-02      -3.770943528591e-02      -4.934185033022e-02       1.882609271415e-06       4.647733542390e-10      -3.082198011882e-02       5.771191401229e-01       5.767737544975e-01       7.541887057182e-02       1.330889724850e-05       9.999083001059e-01      -3.033577679915e-09       1.014199153206e-08      -9.284336676005e-13      -2.465073159391e-07      -1.298061768968e-11      -2.542146138838e-07      -1.974294166583e-10 
       1.036925660231e-04      -7.742615560647e-02      -5.976255131086e-02      -5.976278125159e-02      -7.734129065012e-02       2.983591169579e-06       7.365754456425e-10      -4.884697066348e-02       5.770843095521e-01       5.767443005903e-01       1.195255625032e-01       2.109203330855e-05       9.998548689404e-01      -4.771126259667e-09       1.586728444766e-08      -1.457137673852e-12      -6.144879485219e-07      -3.248982683833e-11      -6.335742385188e-07      -4.921276419361e-10 
       1.305412063806e-04      -1.206560554436e-01      -9.471041680129e-02      -9.471099225778e-02      -1.204456922806e-01       4.728313994557e-06       1.167291199164e-09      -7.741078581615e-02       5.770293632009e-01       5.766977437233e-01       1.894219845156e-01       3.342574755897e-05       9.997704914607e-01      -7.470313327298e-09       2.463625192593e-08      -2.273858101071e-12      -1.524962491777e-06      -8.115223158510e-11      -1.571830889536e-06      -1.221224897265e-09 
       1.643416419988e-04      -1.861689779444e-01      -1.500887611924e-01      -1.500901982520e-01      -1.856515747291e-01       7.492975931587e-06       1.849776878902e-09      -1.226717332322e-01       5.769429086995e-01       5.766242596106e-01       3.001803965039e-01       5.296906301795e-05       9.996375209252e-01      -1.161375671774e-08       3.778980436147e-08      -3.516280014188e-12      -3.757831233417e-06      -2.020357286759e-10      -3.871373362759e-06      -3.009051051928e-09 
       2.068938693283e-04      -2.827678468108e-01      -2.378318453816e-01      -2.378354218793e-01      -2.815109502020e-01       1.187332293561e-05       2.931063148698e-09      -1.943815440277e-01       5.768074442322e-01       5.765085543372e-01       4.756708437586e-01       8.393243060641e-05       9.994286516211e-01      -1.785369542280e-08       5.685153698007e-08      -5.359854225754e-12      -9.157198255515e-06      -5.003961183238e-10      -9.426294943982e-06      -7.331367010464e-09 
       2.604639496418e-04      -4.188755005546e-01      -3.768314281860e-01      -3.768402817657e-01      -4.158819941134e-01       1.881236713646e-05       4.643846305266e-09      -3.079748382552e-01       5.765965439893e-01       5.763270502449e-01       7.536805635313e-01       1.329796194529e-04       9.991022057796e-01      -2.696356480980e-08       8.289896222796e-08      -7.985752254098e-12      -2.192412105388e-05      -1.229362742883e-09      -2.253933109474e-05      -1.754826425160e-08 
       3.279046850604e-04      -5.962765560416e-01      -5.969731460423e-01      -5.969948795951e-01      -5.893694791941e-01       2.980173785319e-05       7.356116964668e-09      -4.878637227983e-01       5.762714032248e-01       5.760439914640e-01       1.193989759190e+00       2.106494199685e-04       9.985958931849e-01      -3.959943005828e-08       1.149103814639e-07      -1.147614032080e-11      -5.105137663581e-05      -2.982266296974e-09      -5.237511576026e-05      -4.084565002886e-08 
       4.128075406689e-04      -7.967447323054e-01      -9.454877401729e-01      -9.455403956526e-01      -7.816021213067e-01       4.719850438920e-05       1.164920801820e-08      -7.726208485048e-01       5.757773848227e-01       5.756065088464e-01       1.891080791305e+00       3.335913169123e-04       9.978195217452e-01      -5.566749341141e-08       1.465542543943e-07      -1.557936688192e-11      -1.138127055619e-04      -7.094288968064e-09      -1.163714056425e-04      -9.100360297065e-08 
       5.196939031283e-04      -9.634713656606e-01      -1.496911667427e+00      -1.497036678404e+00      -9.329303763542e-01       7.472164771738e-05       1.844010865759e-08      -1.223110466946e+00       5.750421565095e-01       5.749394647861e-01       2.994073356809e+00       5.280705111468e-04       9.966483094774e-01      -7.314854111663e-08       1.625253392152e-07      -1.935695469556e-11      -2.372498867947e-04      -1.638058279778e-08      -2.412538532610e-04      -1.895233260674e-07 
       6.542558610027e-04      -1.001399697754e+00      -2.368642602462e+00      -2.368930369032e+00      -9.477831484257e-01       1.182272380996e-04       2.917256104910e-08      -1.935202493077e+00       5.739772227153e-01       5.739422169910e-01       4.737860738065e+00       8.354445305311e-04       9.949194084322e-01      -8.695363255447e-08       1.417514437486e-07      -2.108413437269e-11      -4.475779688928e-04      -3.619061483163e-08      -4.510854762235e-04      -3.570630358478e-07 
       8.236593292316e-04      -8.604375531575e-01      -3.745113379986e+00      -3.745746128992e+00      -7.863577534242e-01       1.869121623348e-04       4.611465942695e-08      -3.059569537390e+00       5.724806445562e-01       5.724903380928e-01       7.491492257985e+00       1.320689901695e-03       9.924313883079e-01      -9.051640202080e-08       8.374677891172e-08      -1.949798170111e-11      -7.394807130359e-04      -7.514506857712e-08      -7.352394204571e-04      -5.890942429451e-07 
       1.036925660231e-03      -7.064278318769e-01      -5.915150604333e+00      -5.916454321212e+00      -6.409787068886e-01       2.951747734944e-04       7.282029160273e-08      -4.832288042910e+00       5.704263371742e-01       5.704407045264e-01       1.183290864242e+01       2.085608098736e-03       9.889344349709e-01      -8.400213555713e-08       4.956743646261e-08      -1.681412697421e-11      -1.087279380544e-03      -1.440593589969e-07      -1.065760472757e-03      -8.664599376670e-07 
       1.305412063806e-03      -7.770146860635e-01      -9.329266570067e+00      -9.331733526662e+00      -7.569453529991e-01       4.654698263663e-04       1.148369953861e-07      -7.621533796884e+00       5.676221766977e-01       5.676212776475e-01       1.866346705332e+01       3.289051089036e-03       9.840913107463e-01      -8.068263928205e-08       9.195685194348e-08      -1.741474724065e-11      -1.646456376064e-03      -2.529142638080e-07      -1.618672961823e-03      -1.318983212122e-06 
       1.643416419988e-03      -7.363830611466e-01      -1.468636674675e+01      -1.469061052144e+01      -7.374368434999e-01       7.326345840837e-04       1.807706939756e-07      -1.199803224223e+01       5.637819564123e-01       5.637833179056e-01       2.938122104289e+01       5.177363156817e-03       9.774411624952e-01      -8.356551995121e-08       7.841865772657e-08      -1.712533951713e-11      -2.685773204726e-03      -4.099688619600e-07      -2.684171265059e-03      -2.165176456225e-06 
       2.068938693283e-03      -6.888828510732e-01      -2.306251669299e+01      -2.306931766863e+01      -6.660316168179e-01       1.150314400200e-03       2.838635276274e-07      -1.884079608213e+01       5.585838213765e-01       5.585846969179e-01       4.613863533725e+01       8.129718252303e-03       9.684349948298e-01      -7.936373644586e-08       7.165371494711e-08      -1.582498733105e-11      -4.033840037246e-03      -6.265469959359e-07      -4.048097555109e-03      -3.258944316478e-06 
       2.604639496418e-03      -6.772913795780e-01      -3.609840060660e+01      -3.610946403405e+01      -6.449091516473e-01       1.800327104510e-03       4.443152624946e-07      -2.949048671069e+01       5.516511732933e-01       5.516519916789e-01       7.221892806810e+01       1.272458850292e-02       9.564166259614e-01      -8.025607550630e-08       6.645472562116e-08      -1.562431680427e-11      -6.494406919443e-03      -9.558846829750e-07      -6.469335849077e-03      -5.223298782072e-06 
       3.279046850604e-03      -6.868482784961e-01      -5.626605682750e+01      -5.628574598197e+01      -6.733814327757e-01       2.806016152066e-03       6.925737150924e-07      -4.596791472852e+01       5.425414929740e-01       5.425414559007e-01       1.125714919639e+02       1.983384694413e-02       9.406237397045e-01      -7.820027753095e-08       7.969533468269e-08      -1.551672203945e-11      -9.998253160814e-03      -1.521556906740e-06      -1.001385874507e-02      -8.066431189576e-06 
       4.128075406689e-03      -6.964777769760e-01      -8.723781042924e+01      -8.727404407413e+01      -6.437441122332e-01       4.350574843269e-03       1.073866087731e-06      -7.127479384164e+01       5.307761305822e-01       5.307760813299e-01       1.745480881483e+02       3.075261645558e-02       9.202261435419e-01      -7.642172001806e-08       7.978144178679e-08      -1.533256242200e-11      -1.549655122380e-02      -2.398251610707e-06      -1.547510509487e-02      -1.249394018166e-05 
       5.196939031283e-03      -5.849821214725e-01      -1.343632833228e+02      -1.344320489636e+02      -6.194286058579e-01       6.701006825185e-03       1.654105239246e-06      -1.097858519979e+02       5.158459931699e-01       5.158461498245e-01       2.688640979272e+02       4.736840097139e-02       8.943415392929e-01      -7.411863981731e-08       6.142464349541e-08      -1.403055258161e-11      -2.381390858836e-02      -3.729629252610e-06      -2.377767262511e-02      -1.920550682184e-05 
       6.542558610027e-03      -5.427946726323e-01      -2.052392886100e+02      -2.053773814834e+02      -5.295862180721e-01       1.023690729607e-02       2.526906548269e-06      -1.677200150724e+02       4.972294593998e-01       4.972294593998e-01       4.107547629667e+02       7.236350305135e-02       8.620616460492e-01      -7.116334897652e-08       6.228206360513e-08      -1.226852087392e-11      -3.618494566427e-02      -5.852682464456e-06      -3.618175152568e-02      -2.922782002151e-05 
       8.236593292316e-03      -5.178656735790e-01      -3.102812139529e+02      -3.105695117344e+02      -5.052636231747e-01       1.547908771513e-02       3.821100298899e-06      -2.536142533086e+02       4.744005338021e-01       4.744005338021e-01       6.211390234687e+02       1.094236934823e-01       8.224859897982e-01      -6.796956182967e-08       5.942176978289e-08      -1.170509101163e-11      -5.471489423700e-02      -9.175237255580e-06      -5.471184674113e-02      -4.424597504149e-05 
       1.036925660231e-02      -4.877947730996e-01      -4.630462588367e+02      -4.636669254807e+02      -4.759246070930e-01       2.310788504622e-02       5.704407384949e-06      -3.786109997192e+02       4.468527771584e-01       4.468527771584e-01       9.273338509614e+02       1.633544443163e-01       7.747260818890e-01      -6.413128271000e-08       5.597155323171e-08      -1.102545627684e-11      -8.168009264295e-02      -1.445034087201e-05      -8.167722215815e-02      -6.616874539647e-05 
       1.305412063806e-02      -4.520363090414e-01      -6.797077727912e+02      -6.810641669540e+02      -4.410363923358e-01       3.393874046120e-02       8.378091897879e-06      -5.560721686998e+02       4.140971397108e-01       4.140971397108e-01       1.362128333908e+03       2.399217635578e-01       7.179372635672e-01      -5.957601846170e-08       5.186879978926e-08      -1.021728273034e-11      -1.199635417892e-01      -2.290440026451e-05      -1.199608817789e-01      -9.744241214071e-05 
       1.643416419986e-02      -4.101729322395e-01      -9.766566160125e+02      -9.796116747038e+02      -4.001918377277e-01       4.880811108698e-02       1.204864375854e-05      -7.997018953908e+02       3.757500934835e-01       3.757500934835e-01       1.959223349408e+03       3.450387420726e-01       6.514544181123e-01      -5.426314413385e-08       4.706564458600e-08      -9.271141795424e-12      -1.725217846358e-01      -3.669083447591e-05      -1.725193710363e-01      -1.407141239827e-04 
       2.068938680376e-02      -3.621865185384e-01      -1.365032134838e+03      -1.371297893818e+03      -3.533731739053e-01       6.830637411407e-02       1.686174412895e-05      -1.119184178040e+03       3.317970367697e-01       3.317970367697e-01       2.742595787636e+03       4.828856892564e-01       5.752528822979e-01      -4.817851856944e-08       4.155998276380e-08      -8.186618851283e-12      -2.414449758011e-01      -5.907151027599e-05      -2.414428446282e-01      -1.981242045751e-04 
       2.604629037475e-02      -3.091664784091e-01      -1.843318025814e+03      -1.855843965551e+03      -3.016434823542e-01       9.241229862110e-02       2.281134784926e-05      -1.514134911432e+03       2.832298224054e-01       2.832298224054e-01       3.711687931102e+03       6.532954607454e-01       4.910506593897e-01      -4.142532964174e-08       3.547674289460e-08      -6.988322728764e-12      -3.266495494663e-01      -9.398419699348e-05      -3.266477303727e-01      -2.702159598092e-04 
       3.277523661384e-02      -2.545293556646e-01      -2.397782323698e+03      -2.420283276734e+03      -2.483359840506e-01       1.204703852548e-01       2.973595504759e-05      -1.973867212948e+03       2.331806263298e-01       2.331806263298e-01       4.840566553468e+03       8.516593572805e-01       4.042788560274e-01      -3.435182748299e-08       2.920775833909e-08      -5.753438022002e-12      -4.258311761754e-01      -1.421851577453e-04      -4.258296786403e-01      -3.553025545917e-04 
