# Matter power spectrum P(k) at redshift z=0.5
# for k=1.03693e-05 to 32.8247 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.036925660231e-05       3.189469204387e+01 
       1.305412063806e-05       3.980227800526e+01 
       1.643416419988e-05       4.967030967574e+01 
       2.068938693283e-05       6.198481403237e+01 
       2.604639496418e-05       7.735220196518e+01 
       3.279046850604e-05       9.652918468508e+01 
       4.128075406689e-05       1.204598085768e+02 
       5.196939031283e-05       1.503217756186e+02 
       6.542558610027e-05       1.875839217905e+02 
       8.236593292316e-05       2.340775881416e+02 
       1.036925660231e-04       2.920848646917e+02 
       1.305412063806e-04       3.644471628895e+02 
       1.643416419988e-04       4.546625143995e+02 
       2.068938693283e-04       5.671658731360e+02 
       2.604639496418e-04       7.073548956093e+02 
       3.279046850604e-04       8.819019999705e+02 
       4.128075406689e-04       1.098964286129e+03 
       5.196939031283e-04       1.368416283549e+03 
       6.542558610027e-04       1.702055029530e+03 
       8.236593292316e-04       2.113739219914e+03 
       1.036925660231e-03       2.619398077862e+03 
       1.305412063806e-03       3.236751052359e+03 
       1.643416419988e-03       3.984441063481e+03 
       2.068938693283e-03       4.880339824806e+03 
       2.604639496418e-03       5.938775571764e+03 
       3.279046850604e-03       7.166328097750e+03 
       4.128075406689e-03       8.556172642955e+03 
       5.196939031283e-03       1.008042165016e+04 
       6.542558610027e-03       1.168095983607e+04 
       8.236593292316e-03       1.325915015239e+04 
       1.036925660231e-02       1.466665493068e+04 
       1.305412063806e-02       1.569937239582e+04 
       1.643416419986e-02       1.610763981035e+04 
       2.068938680376e-02       1.564629368839e+04 
       2.604629037475e-02       1.420023859368e+04 
       3.277523661384e-02       1.198518764325e+04 
       4.075020544775e-02       9.745717240288e+03 
       4.756944096828e-02       8.441343547226e+03 
       5.249879919256e-02       7.801832310191e+03 
       5.654836530934e-02       7.403879749484e+03 
       6.015680518742e-02       7.104034790953e+03 
       6.351837274751e-02       6.843165137226e+03 
       6.673534423251e-02       6.591851331188e+03 
       6.986881481092e-02       6.334531324574e+03 
       7.295880231449e-02       6.063759055029e+03 
       7.603344677122e-02       5.777701752779e+03 
       7.911370394091e-02       5.478542791543e+03 
       8.221594671203e-02       5.171544863733e+03 
       8.535350339956e-02       4.863954340041e+03 
       8.853761578638e-02       4.564038057461e+03 
       9.177806151142e-02       4.280030699878e+03 
       9.508357270563e-02       4.019235286451e+03 
       9.846212578945e-02       3.787227145048e+03 
       1.019211468843e-01       3.587262403890e+03 
       1.054676602261e-01       3.419916338343e+03 
       1.091083970228e-01       3.283007260605e+03 
       1.128498761936e-01       3.171652161154e+03 
       1.166984647077e-01       3.078630148816e+03 
       1.206604228668e-01       2.995049173802e+03 
       1.247419383418e-01       2.911414212119e+03 
       1.289491517627e-01       2.818996990919e+03 
       1.332881759917e-01       2.711675828119e+03 
       1.377651107595e-01       2.587215030778e+03 
       1.423860540515e-01       2.448120607829e+03 
       1.471571114322e-01       2.301112157801e+03 
       1.520844043707e-01       2.155540642694e+03 
       1.571740785486e-01       2.021107525745e+03 
       1.624323130815e-01       1.905345140208e+03 
       1.678653315531e-01       1.811727166677e+03 
       1.734794157412e-01       1.739018113674e+03 
       1.792809229020e-01       1.681286272764e+03 
       1.852763074682e-01       1.629979251960e+03 
       1.914721480159e-01       1.575762090105e+03 
       1.978751803527e-01       1.511425127324e+03 
       2.044923375977e-01       1.435803626079e+03 
       2.113307981510e-01       1.354026588988e+03 
       2.183980425119e-01       1.274392435920e+03 
       2.257019199969e-01       1.204198241159e+03 
       2.332507265573e-01       1.147073423071e+03 
       2.410532951092e-01       1.101933030275e+03 
       2.491191000905e-01       1.063111530551e+03 
       2.574583783729e-01       1.023539362113e+03 
       2.660822692186e-01       9.790344283669e+02 
       2.750029767129e-01       9.302809649345e+02 
       2.842339590932e-01       8.819936987967e+02 
       2.937901506986e-01       8.394238436231e+02 
       3.036882239917e-01       8.040404906651e+02 
       3.139469014066e-01       7.731536490626e+02 
       3.245873298622e-01       7.426542086229e+02 
       3.356335349692e-01       7.101936220803e+02 
       3.471129776984e-01       6.772588274767e+02 
       3.590572442604e-01       6.467243420893e+02 
       3.715029111963e-01       6.198648640528e+02 
       3.844926438014e-01       5.950375356558e+02 
       3.980766094867e-01       5.701961410739e+02 
       4.123143225424e-01       5.452450537998e+02 
       4.272770895514e-01       5.215785141631e+02 
       4.430513064280e-01       4.996321419776e+02 
       4.597429876895e-01       4.785453583040e+02 
       4.774841198427e-01       4.575657285936e+02 
       4.964417855955e-01       4.371798847089e+02 
       5.168316220286e-01       4.176770743461e+02 
       5.389382883030e-01       3.983825297137e+02 
       5.631477146531e-01       3.792496004314e+02 
       5.900000528688e-01       3.603198839485e+02 
       6.202809293798e-01       3.411793665176e+02 
       6.551879456580e-01       3.216553496775e+02 
       6.966555390757e-01       3.012796895901e+02 
       7.480392410019e-01       2.794605485422e+02 
       8.156736920819e-01       2.551749414833e+02 
       9.125570471616e-01       2.268002548178e+02 
       1.065335808555e+00       1.923660749416e+02 
       1.309261617887e+00       1.531549074815e+02 
       1.645183303518e+00       1.167754784950e+02 
