# Matter power spectrum P(k) at redshift z=0
# for k=1.03693e-05 to 32.8247 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.036925660231e-05       5.425608217157e+01 
       1.305412063806e-05       6.770765884428e+01 
       1.643416419988e-05       8.449417590930e+01 
       2.068938693283e-05       1.054423381758e+02 
       2.604639496418e-05       1.315837713132e+02 
       3.279046850604e-05       1.642056411978e+02 
       4.128075406689e-05       2.049138113119e+02 
       5.196939031283e-05       2.557115765492e+02 
       6.542558610027e-05       3.190973429839e+02 
       8.236593292316e-05       3.981859824042e+02 
       1.036925660231e-04       4.968587091966e+02 
       1.305412063806e-04       6.199474298309e+02 
       1.643416419988e-04       7.734594213899e+02 
       2.068938693283e-04       9.648475280911e+02 
       2.604639496418e-04       1.203328465597e+03 
       3.279046850604e-04       1.500246013078e+03 
       4.128075406689e-04       1.869466382126e+03 
       5.196939031283e-04       2.327779773745e+03 
       6.542558610027e-04       2.895267870201e+03 
       8.236593292316e-04       3.595572941908e+03 
       1.036925660231e-03       4.455927130086e+03 
       1.305412063806e-03       5.506628597599e+03 
       1.643416419988e-03       6.779568281449e+03 
       2.068938693283e-03       8.305464368264e+03 
       2.604639496418e-03       1.010913435069e+04 
       3.279046850604e-03       1.220241424065e+04 
       4.128075406689e-03       1.457457066705e+04 
       5.196939031283e-03       1.717926015515e+04 
       6.542558610027e-03       1.991897181734e+04 
       8.236593292316e-03       2.262746976902e+04 
       1.036925660231e-02       2.505328996083e+04 
       1.305412063806e-02       2.684916604526e+04 
       1.643416419986e-02       2.758764689098e+04 
       2.068938680376e-02       2.684431727615e+04 
       2.604629037475e-02       2.441036695556e+04 
       3.277523661384e-02       2.063848477098e+04 
       4.075020544775e-02       1.679695386657e+04 
       4.756944096828e-02       1.454908813397e+04 
       5.249879919256e-02       1.344527814866e+04 
       5.654836530934e-02       1.275833797042e+04 
       6.015680518742e-02       1.224048502101e+04 
       6.351837274751e-02       1.178911085168e+04 
       6.673534423251e-02       1.135271030831e+04 
       6.986881481092e-02       1.090391532018e+04 
       7.295880231449e-02       1.042952143837e+04 
       7.603344677122e-02       9.926182411858e+03 
       7.911370394091e-02       9.397682047914e+03 
       8.221594671203e-02       8.853388794965e+03 
       8.535350339956e-02       8.306301484774e+03 
       8.853761578638e-02       7.771350200309e+03 
       9.177806151142e-02       7.263504815596e+03 
       9.508357270563e-02       6.796160357337e+03 
       9.846212578945e-02       6.379682271292e+03 
       1.019211468843e-01       6.020293888388e+03 
       1.054676602261e-01       5.719401803110e+03 
       1.091083970228e-01       5.473375976452e+03 
       1.128498761936e-01       5.273617783858e+03 
       1.166984647077e-01       5.107211217773e+03 
       1.206604228668e-01       4.957965052250e+03 
       1.247419383418e-01       4.808500437099e+03 
       1.289491517627e-01       4.642692732846e+03 
       1.332881759917e-01       4.449133707126e+03 
       1.377651107595e-01       4.223462719705e+03 
       1.423860540515e-01       3.970141934938e+03 
       1.471571114322e-01       3.701439407954e+03 
       1.520844043707e-01       3.434676674936e+03 
       1.571740785486e-01       3.187983995452e+03 
       1.624323130815e-01       2.975639491660e+03 
       1.678653315531e-01       2.804438974008e+03 
       1.734794157412e-01       2.672361879463e+03 
       1.792809229020e-01       2.568458839229e+03 
       1.852763074682e-01       2.476692051301e+03 
       1.914721480159e-01       2.379395640856e+03 
       1.978751803527e-01       2.262764770002e+03 
       2.044923375977e-01       2.124396061323e+03 
       2.113307981510e-01       1.973901867395e+03 
       2.183980425119e-01       1.827076035176e+03 
       2.257019199969e-01       1.698026280901e+03 
       2.332507265573e-01       1.593982499688e+03 
       2.410532951092e-01       1.513071345064e+03 
       2.491191000905e-01       1.444434009373e+03 
       2.574583783729e-01       1.374301513569e+03 
       2.660822692186e-01       1.294401082309e+03 
       2.750029767129e-01       1.205929595732e+03 
       2.842339590932e-01       1.118104834003e+03 
       2.937901506986e-01       1.041409576038e+03 
       3.036882239917e-01       9.789402640436e+02 
       3.139469014066e-01       9.254509604804e+02 
       3.245873298622e-01       8.726997439062e+02 
       3.356335349692e-01       8.158635160240e+02 
       3.471129776984e-01       7.578992673235e+02 
       3.590572442604e-01       7.047199305696e+02 
       3.715029111963e-01       6.590735504796e+02 
       3.844926438014e-01       6.176411920678e+02 
       3.980766094867e-01       5.761449335810e+02 
       4.123143225424e-01       5.343592053274e+02 
       4.272770895514e-01       4.952853650630e+02 
       4.430513064280e-01       4.599544282788e+02 
       4.597429876895e-01       4.265744950394e+02 
       4.774841198427e-01       3.935268560257e+02 
       4.964417855955e-01       3.619560968028e+02 
       5.168316220286e-01       3.326388833215e+02 
       5.389382883030e-01       3.041545355041e+02 
       5.631477146531e-01       2.765434750883e+02 
       5.900000528688e-01       2.501351175059e+02 
       6.202809293798e-01       2.242416252875e+02 
       6.551879456580e-01       1.989053024124e+02 
       6.966555390757e-01       1.736764167028e+02 
       7.480392410019e-01       1.482516639189e+02 
       8.156736920819e-01       1.220774533370e+02 
       9.125570471616e-01       9.463988824476e+01 
       1.065335808555e+00       6.631219805013e+01 
       1.309261617887e+00       4.096961899997e+01 
       1.645183303518e+00       2.380838272672e+01 
       2.071101432664e+00       1.365164391943e+01 
       2.607361980256e+00       7.763331408225e+00 
       3.282474254553e+00       4.381820964708e+00 
       4.132390252617e+00       2.456267428106e+00 
       5.202371100470e+00       1.368133086430e+00 
       6.549397179965e+00       7.576574360136e-01 
       8.245202541791e+00       4.173658249394e-01 
       1.038009500525e+01       2.287996993892e-01 
       1.306776537895e+01       1.248569735045e-01 
       1.645134191092e+01       6.786937453755e-02 
       2.071101238977e+01       3.673695057020e-02 
       2.607361980147e+01       1.981300512387e-02 
       3.282474254553e+01       1.064688817261e-02 
