# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03693e-05 to 32.8247 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.036925660231e-05      -1.323717726910e-03      -9.933027932670e-04      -9.933028257769e-04      -1.323697438350e-03       5.443699510088e-08       4.458370831104e-12      -3.100776368582e-04       4.638291653446e-01       4.636808106539e-01       1.986605651554e-03       2.336774863234e-07       9.999984109392e-01      -2.735886016177e-11       1.566532285554e-10      -2.802076387256e-14      -1.421385058710e-10      -2.097662272635e-15      -1.451745308850e-10      -5.646236391521e-14 
       1.305412063806e-05      -2.097313978282e-03      -1.574277663130e-03      -1.574277744787e-03      -2.097263028494e-03       8.627695145001e-08       7.066032031787e-12      -4.914395189111e-04       4.638286635713e-01       4.636803744269e-01       3.148555489573e-03       3.703535066680e-07       9.999974815953e-01      -4.335162048224e-11       2.481876254776e-10      -4.439450713892e-14      -3.569601039453e-10      -5.268635321369e-15      -3.645827815685e-10      -1.417967883104e-13 
       1.643416419988e-05      -3.322418485924e-03      -2.495058950826e-03      -2.495059155925e-03      -3.322290556798e-03       1.367394596914e-07       1.119880763053e-11      -7.788780832409e-04       4.638279481591e-01       4.636797628597e-01       4.990118311850e-03       5.869697836355e-07       9.999960088074e-01      -6.868446619231e-11       3.931223509392e-10      -7.032185520382e-14      -8.963420591251e-10      -1.323264275337e-14      -9.154755264718e-10      -3.560570481042e-13 
       2.068938693283e-05      -5.261660564744e-03      -3.954393836338e-03      -3.954394351471e-03      -5.261339421127e-03       2.167169917019e-07       1.774873743464e-11      -1.234435718698e-03       4.638267081793e-01       4.636786873836e-01       7.908788702943e-03       9.302821675735e-07       9.999936749293e-01      -1.087992024090e-10       6.224831561424e-10      -1.113554686587e-13      -2.250310105952e-09      -3.323254461039e-14      -2.298316525255e-09      -8.938955467959e-13 
       2.604639496418e-05      -8.329087395948e-03      -6.267272007794e-03      -6.267273301503e-03      -8.328281548634e-03       3.434718147953e-07       2.812962926778e-11      -1.956441759206e-03       4.638247583894e-01       4.636769980045e-01       1.253454660301e-02       1.474392190191e-06       9.999899763086e-01      -1.722886896213e-10       9.851296169955e-10      -1.762427258450e-13      -5.647754988529e-09      -8.344920391153e-14      -5.768120168231e-09      -2.243457433315e-12 
       3.279046850604e-05      -1.317542433170e-02      -9.932907072495e-03      -9.932910321274e-03      -1.317340340218e-02       5.443630473927e-07       4.458226205875e-11      -3.100733696891e-03       4.638216267255e-01       4.636742783942e-01       1.986582064255e-02       2.336740054607e-06       9.999841154569e-01      -2.726917646605e-10       1.557714465024e-09      -2.787144366222e-13      -1.416755166253e-08      -2.095132734720e-13      -1.446901937127e-08      -5.627727941839e-12 
       4.128075406689e-05      -2.081825842436e-02      -1.574247030920e-02      -1.574247846605e-02      -2.081319490460e-02       8.627492441417e-07       7.065722060408e-11      -4.914287170252e-03       4.638166450200e-01       4.636699479480e-01       3.148495693210e-02       3.703448187492e-06       9.999748323798e-01      -4.312661284562e-10       2.459764164580e-09      -4.402004614474e-13      -3.551190762247e-08      -5.258551691588e-13      -3.626569500823e-08      -1.410608289566e-11 
       5.196939031283e-05      -3.283608372822e-02      -2.494981637207e-02      -2.494983684642e-02      -3.282341530819e-02       1.367347527058e-06       1.119824421898e-10      -7.788508434388e-03       4.638087116709e-01       4.636630423655e-01       4.989967369284e-02       5.869481956536e-06       9.999601328544e-01      -6.812034561565e-10       3.875829180833e-09      -6.938370706468e-13      -8.890264758321e-08      -1.319238103858e-12      -9.078237375578e-08      -3.531327039051e-11 
       6.542558610027e-05      -5.164550002033e-02      -3.954199536570e-02      -3.954204673578e-02      -5.161387902871e-02       2.167054223792e-06       1.774753706267e-10      -1.234367298891e-02       4.637961637162e-01       4.636521122665e-01       7.908409347155e-02       9.302281565777e-06       9.999368680801e-01      -1.073865124163e-09       6.086279226471e-09      -1.090087232933e-12      -2.221274416180e-07      -3.307188938847e-12      -2.267948634279e-07      -8.822889895720e-11 
       8.236593292316e-05      -8.086645834474e-02      -6.266783610256e-02      -6.266796490374e-02      -8.078782254663e-02       3.434432622316e-06       2.812681723327e-10      -1.956269924088e-02       4.637763388908e-01       4.636348240726e-01       1.253359298075e-01       1.474257015458e-05       9.999000766100e-01      -1.687571951603e-09       9.505608306499e-09      -1.703866315549e-12      -5.532709717431e-07      -8.281227366095e-12      -5.647813328482e-07      -2.197472551573e-10 
