# Matter power spectrum P(k) at redshift z=1
# for k=1.03693e-05 to 32.8247 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.036925660231e-05       1.964512370350e+01 
       1.305412063806e-05       2.451569923011e+01 
       1.643416419988e-05       3.059379466361e+01 
       2.068938693283e-05       3.817875788072e+01 
       2.604639496418e-05       4.764412506926e+01 
       3.279046850604e-05       5.945597407837e+01 
       4.128075406689e-05       7.419580278911e+01 
       5.196939031283e-05       9.258904529838e+01 
       6.542558610027e-05       1.155404819363e+02 
       8.236593292316e-05       1.441782475156e+02 
       1.036925660231e-04       1.799082441428e+02 
       1.305412063806e-04       2.244811553116e+02 
       1.643416419988e-04       2.800742820017e+02 
       2.068938693283e-04       3.493902551682e+02 
       2.604639496418e-04       4.357737170319e+02 
       3.279046850604e-04       5.433448909331e+02 
       4.128075406689e-04       6.771447821183e+02 
       5.196939031283e-04       8.432801807224e+02 
       6.542558610027e-04       1.049048726549e+03 
       8.236593292316e-04       1.303017677822e+03 
       1.036925660231e-03       1.615022378698e+03 
       1.305412063806e-03       1.996011704346e+03 
       1.643416419988e-03       2.457558428524e+03 
       2.068938693283e-03       3.010801823341e+03 
       2.604639496418e-03       3.664736680374e+03 
       3.279046850604e-03       4.423657215625e+03 
       4.128075406689e-03       5.283672300918e+03 
       5.196939031283e-03       6.227995046216e+03 
       6.542558610027e-03       7.221312955930e+03 
       8.236593292316e-03       8.203216037656e+03 
       1.036925660231e-02       9.082670814474e+03 
       1.305412063806e-02       9.733737237926e+03 
       1.643416419986e-02       1.000146602604e+04 
       2.068938680376e-02       9.731966758205e+03 
       2.604629037475e-02       8.849566028684e+03 
       3.277523661384e-02       7.482151028045e+03 
       4.075020544775e-02       6.089438459388e+03 
       4.756944096828e-02       5.274521388738e+03 
       5.249879919256e-02       4.874353818132e+03 
       5.654836530934e-02       4.625315637654e+03 
       6.015680518742e-02       4.437593634053e+03 
       6.351837274751e-02       4.273930985460e+03 
       6.673534423251e-02       4.115730658165e+03 
       6.986881481092e-02       3.953035467065e+03 
       7.295880231449e-02       3.781055596123e+03 
       7.603344677122e-02       3.598561565496e+03 
       7.911370394091e-02       3.406958402243e+03 
       8.221594671203e-02       3.209634311413e+03 
       8.535350339956e-02       3.011297582819e+03 
       8.853761578638e-02       2.817359089326e+03 
       9.177806151142e-02       2.633248489377e+03 
       9.508357270563e-02       2.463823287382e+03 
       9.846212578945e-02       2.312833752020e+03 
       1.019211468843e-01       2.182545601498e+03 
       1.054676602261e-01       2.073460246694e+03 
       1.091083970228e-01       1.984269459834e+03 
       1.128498761936e-01       1.911859642497e+03 
       1.166984647077e-01       1.851521372840e+03 
       1.206604228668e-01       1.797414316851e+03 
       1.247419383418e-01       1.743228406204e+03 
       1.289491517627e-01       1.683121036958e+03 
       1.332881759917e-01       1.612943891516e+03 
       1.377651107595e-01       1.531134784510e+03 
       1.423860540515e-01       1.439293200128e+03 
       1.471571114322e-01       1.341881511616e+03 
       1.520844043707e-01       1.245169588534e+03 
       1.571740785486e-01       1.155737515639e+03 
       1.624323130815e-01       1.078754849713e+03 
       1.678653315531e-01       1.016689523208e+03 
       1.734794157412e-01       9.688047679376e+02 
       1.792809229020e-01       9.311366822599e+02 
