# Matter power spectrum P(k) at redshift z=1
# for k=1.06028e-05 to 33.5632 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.060282293162e-05       1.869656911728e+01 
       1.334816322537e-05       2.333196423750e+01 
       1.680434188519e-05       2.911657897962e+01 
       2.115541302774e-05       3.633529914268e+01 
       2.663308705763e-05       4.534362260525e+01 
       3.352907009137e-05       5.658511417509e+01 
       4.221059837185e-05       7.061318931305e+01 
       5.313999493737e-05       8.811822465831e+01 
       6.689929000926e-05       1.099612725808e+02 
       8.422121622365e-05       1.372159026999e+02 
       1.060282293162e-04       1.712199579064e+02 
       1.334816322537e-04       2.136392369378e+02 
       1.680434188519e-04       2.665452229161e+02 
       2.115541302774e-04       3.325087028982e+02 
       2.663308705763e-04       4.147102098360e+02 
       3.352907009137e-04       5.170659982201e+02 
       4.221059837185e-04       6.443641653139e+02 
       5.313999493737e-04       8.023990669836e+02 
       6.689929000926e-04       9.980845502726e+02 
       8.422121622365e-04       1.239520255761e+03 
       1.060282293162e-03       1.535977963393e+03 
       1.334816322537e-03       1.897736832245e+03 
       1.680434188519e-03       2.335590467624e+03 
       2.115541302774e-03       2.859805569826e+03 
       2.663308705763e-03       3.478456201490e+03 
       3.352907009137e-03       4.194962437939e+03 
       4.221059837185e-03       5.004749265235e+03 
       5.313999493737e-03       5.890736732696e+03 
       6.689929000926e-03       6.818049929219e+03 
       8.422121622365e-03       7.727846113244e+03 
       1.060282293162e-02       8.532293883419e+03 
       1.334816322537e-02       9.110955631940e+03 
       1.680434188514e-02       9.317787380894e+03 
       2.115541275910e-02       9.012523896839e+03 
       2.663290556023e-02       8.137381281544e+03 
       3.350627432149e-02       6.836584979481e+03 
       4.151604071160e-02       5.571835064940e+03 
       4.810673300654e-02       4.867327226815e+03 
       5.291818474813e-02       4.514788422699e+03 
       5.691194954543e-02       4.290703238037e+03 
       6.049017502581e-02       4.119088394644e+03 
       6.383420650910e-02       3.967695915261e+03 
       6.704088535312e-02       3.820201953088e+03 
