# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.06028e-05 to 33.5632 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.060282293162e-05      -1.304958819267e-03      -9.792316987042e-04      -9.792317324210e-04      -1.304938265010e-03       6.238666940381e-08       6.297348619886e-12      -3.056850870579e-04       4.853480474919e-01       4.852082365873e-01       1.958463464842e-03       2.345119994218e-07       9.999983694570e-01      -2.656276342616e-11       1.543987020942e-10      -2.761942158306e-14      -1.442368353813e-10      -2.183833829852e-15      -1.473847237817e-10      -5.731516426086e-14 
       1.334816322537e-05      -2.067585124365e-03      -1.551976215290e-03      -1.551976299978e-03      -2.067533507572e-03       9.887604801856e-08       9.980608055642e-12      -4.844777141456e-04       4.853474534817e-01       4.852077050523e-01       3.103952599957e-03       3.716761576793e-07       9.999974158476e-01      -4.209010434609e-11       2.446147345999e-10      -4.375847095388e-14      -3.622292651532e-10      -5.485099986279e-15      -3.701327648753e-10      -1.439382730215e-13 
       1.680434188519e-05      -3.275307393929e-03      -2.459713556511e-03      -2.459713769224e-03      -3.275177789299e-03       1.567077913380e-07       1.581813109901e-11      -7.678443733134e-04       4.853466434218e-01       4.852069939486e-01       4.919427538448e-03       5.890660740113e-07       9.999959046091e-01      -6.668564111362e-11       3.874605245159e-10      -6.931394455885e-14      -9.095713340039e-10      -1.377620035858e-14      -9.294098089221e-10      -3.614336745066e-13 
       2.115541302774e-05      -5.187009386916e-03      -3.898375125789e-03      -3.898375660032e-03      -5.186684041078e-03       2.483645062812e-07       2.506999469714e-11      -1.216948458965e-03       4.853453147971e-01       4.852058220558e-01       7.796751320064e-03       9.336045359615e-07       9.999935097793e-01      -1.056326522401e-10       6.135118809711e-10      -1.097583911551e-13      -2.283516311872e-09      -3.459701703164e-14      -2.333291076287e-09      -9.073909894534e-13 
       2.663308705763e-05      -8.210809983090e-03      -6.178487768923e-03      -6.178489110642e-03      -8.209993587080e-03       3.936296834767e-07       3.973306696221e-11      -1.928726151618e-03       4.853431959303e-01       4.852039513601e-01       1.235697822128e-02       1.479657798558e-06       9.999897144072e-01      -1.672734554254e-10       9.709161778249e-10      -1.737123828261e-13      -5.731064791886e-09      -8.687664982483e-14      -5.855864786785e-09      -2.277316012673e-12 
       3.352907009137e-05      -1.298805929528e-02      -9.792191953596e-03      -9.792195322924e-03      -1.298601189340e-02       6.238561920009e-07       6.297157907951e-11      -3.056806944893e-03       4.853397175620e-01       4.852008656533e-01       1.958439064585e-02       2.345085873086e-06       9.999837004766e-01      -2.647517255549e-10       1.535200521650e-09      -2.747062687413e-13      -1.437641946434e-08      -2.181193841499e-13      -1.468899848660e-08      -5.712616369200e-12 
       4.221059837185e-05      -2.052153803489e-02      -1.551944947116e-02      -1.551945793061e-02      -2.051640814984e-02       9.887378946348e-07       9.980358017445e-11      -4.844667259760e-03       4.853346002583e-01       4.851963689283e-01       3.103891586121e-02       3.716673422218e-06       9.999741746967e-01      -4.187035847021e-10       2.424114547716e-09      -4.338534114542e-13      -3.603499548008e-08      -5.474517640562e-13      -3.681657294314e-08      -1.431867799315e-11 
       5.313999493737e-05      -3.236639951514e-02      -2.459634646688e-02      -2.459636770042e-02      -3.235356495272e-02       1.567021649778e-06       1.581743667161e-10      -7.678166659574e-03       4.853261810999e-01       4.851889291110e-01       4.919273540084e-02       5.890440651047e-06       9.999590906093e-01      -6.613471845804e-10       3.819410102836e-09      -6.837914023538e-13      -9.021036328533e-08      -1.373420848187e-12      -9.215942607504e-08      -3.584476398202e-11 
       6.689929000926e-05      -5.090257416235e-02      -3.898177047889e-02      -3.898182375365e-02      -5.087053717189e-02       2.483509300029e-06       2.506842027918e-10      -1.216878936875e-02       4.853130399535e-01       4.851773295819e-01       7.796364750730e-02       9.335490909395e-06       9.999352164615e-01      -1.042530024777e-09       5.997065934038e-09      -1.074200364673e-12      -2.253875341648e-07      -3.443067912753e-12      -2.302273739735e-07      -8.955394954125e-11 
       8.422121622365e-05      -7.969269889209e-02      -6.177990801528e-02      -6.178004158986e-02      -7.961302465448e-02       3.935960589196e-06       3.972908660223e-10      -1.928551834693e-02       4.852921725382e-01       4.851588791490e-01       1.235600831797e-01       1.479518641173e-05       9.998974594241e-01      -1.638246156826e-09       9.364729983972e-09      -1.678773895579e-12      -5.613624033007e-07      -8.621548438636e-12      -5.732987786048e-07      -2.230361505734e-10 
