# Matter power spectrum P(k) at redshift z=0.5
# for k=1.06028e-05 to 33.5632 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.060282293162e-05       2.946751074246e+01 
       1.334816322537e-05       3.677330754212e+01 
       1.680434188519e-05       4.589039198894e+01 
       2.115541302774e-05       5.726774500953e+01 
       2.663308705763e-05       7.146566196892e+01 
       3.352907009137e-05       8.918322966604e+01 
       4.221059837185e-05       1.112926546752e+02 
       5.313999493737e-05       1.388819774757e+02 
       6.689929000926e-05       1.733081913408e+02 
       8.422121622365e-05       2.162631312990e+02 
       1.060282293162e-04       2.698549504028e+02 
       1.334816322537e-04       3.367083064103e+02 
       1.680434188519e-04       4.200865175273e+02 
       2.115541302774e-04       5.240384911241e+02 
       2.663308705763e-04       6.535717208535e+02 
       3.352907009137e-04       8.148492349533e+02 
       4.221059837185e-04       1.015402272041e+03 
       5.313999493737e-04       1.264341557432e+03 
       6.689929000926e-04       1.572540307996e+03 
       8.422121622365e-04       1.952752779041e+03 
       1.060282293162e-03       2.419608500133e+03 
       1.334816322537e-03       2.989334496174e+03 
       1.680434188519e-03       3.678927572720e+03 
       2.115541302774e-03       4.504549585420e+03 
       2.663308705763e-03       5.478924134304e+03 
       3.352907009137e-03       6.607433240961e+03 
       4.221059837185e-03       7.882871421556e+03 
       5.313999493737e-03       9.278335557826e+03 
       6.689929000926e-03       1.073880885120e+04 
       8.422121622365e-03       1.217185667323e+04 
       1.060282293162e-02       1.343889560817e+04 
       1.334816322537e-02       1.435031410421e+04 
       1.680434188514e-02       1.467609530631e+04 
       2.115541275910e-02       1.419527811720e+04 
       2.663290556023e-02       1.281685360122e+04 
       3.350627432149e-02       1.076803003106e+04 
       4.151604071160e-02       8.775965203639e+03 
       4.810673300654e-02       7.666346479193e+03 
       5.291818474813e-02       7.111076531791e+03 
       5.691194954543e-02       6.758124106426e+03 
       6.049017502581e-02       6.487804476992e+03 
       6.383420650910e-02       6.249359527359e+03 
       6.704088535312e-02       6.017045722396e+03 
       7.016864922903e-02       5.777168030243e+03 
       7.325606825368e-02       5.523329493286e+03 
       7.633042894288e-02       5.254094178246e+03 
       7.941215319458e-02       4.971867805373e+03 
       8.251726458186e-02       4.681834663090e+03 
       8.565885481206e-02       4.391049648282e+03 
       8.884800110568e-02       4.107508527524e+03 
       9.209436435074e-02       3.839114847653e+03 
       9.540659265569e-02       3.592915001010e+03 
       9.879260140368e-02       3.374153944011e+03 
       1.022597721630e-01       3.185984187098e+03 
       1.058150966380e-01       3.028855139488e+03 
       1.094652823839e-01       2.900586671997e+03 
       1.132168312856e-01       2.796345835954e+03 
       1.170760982385e-01       2.709098355434e+03 
       1.210493351972e-01       2.630086657283e+03 
       1.251427242877e-01       2.550075605222e+03 
       1.293624027029e-01       2.460665520760e+03 
       1.337144814595e-01       2.356041804448e+03 
       1.382050596644e-01       2.234405868716e+03 
       1.428402356518e-01       2.098490440163e+03 
       1.476261161668e-01       1.955227130882e+03 
       1.525688246470e-01       1.813935944598e+03 
