# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04457e-05 to 33.066 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044565662256e-05       3.111607199354e+01 
       1.315030256502e-05       3.883059817075e+01 
       1.655525007188e-05       4.845773029834e+01 
       2.084182501410e-05       6.047160502105e+01 
       2.623830313842e-05       7.546383954914e+01 
       3.303206658331e-05       9.417264626788e+01 
       4.158490802581e-05       1.175190367280e+02 
       5.235229746081e-05       1.466519476897e+02 
       6.590763763923e-05       1.830043344845e+02 
       8.297279985534e-05       2.283627805343e+02 
       1.044565662256e-04       2.849535684752e+02 
       1.315030256502e-04       3.555485579126e+02 
       1.655525007188e-04       4.435606976388e+02 
       2.084182501410e-04       5.533149904241e+02 
       2.623830313842e-04       6.900764437119e+02 
       3.303206658331e-04       8.603520395524e+02 
       4.158490802581e-04       1.072094870276e+03 
       5.235229746081e-04       1.334929312950e+03 
       6.590763763923e-04       1.660347982384e+03 
       8.297279985534e-04       2.061842772894e+03 
       1.044565662256e-03       2.554906789868e+03 
       1.315030256502e-03       3.156751563435e+03 
       1.655525007188e-03       3.885447799291e+03 
       2.084182501410e-03       4.758253352791e+03 
       2.623830313842e-03       5.788887322101e+03 
       3.303206658331e-03       6.983413396972e+03 
       4.158490802581e-03       8.334709586756e+03 
       5.235229746081e-03       9.814980859584e+03 
       6.590763763923e-03       1.136682868393e+04 
       8.297279985534e-03       1.289338370679e+04 
       1.044565662256e-02       1.424924108412e+04 
       1.315030256502e-02       1.523491598004e+04 
       1.655525007186e-02       1.560761172439e+04 
       2.084182484941e-02       1.513136690799e+04 
       2.623817749476e-02       1.370143935876e+04 
       3.301464513711e-02       1.154027161568e+04 
       4.100422389216e-02       9.387389316510e+03 
       4.774818891411e-02       8.153918130649e+03 
       5.263768968824e-02       7.545464976288e+03 
       5.666848489694e-02       7.164042172680e+03 
       6.026679417683e-02       6.875120003941e+03 
       6.362248952056e-02       6.622723399109e+03 
       6.683601239577e-02       6.378924695969e+03 
       6.996756444479e-02       6.128965304438e+03 
       7.305667816288e-02       5.865861050472e+03 
       7.613120806634e-02       5.587937942875e+03 
       7.921193162506e-02       5.297469752621e+03 
       8.231510521670e-02       4.999601507767e+03 
       8.545397831465e-02       4.701428729361e+03 
       8.863973790740e-02       4.410935890416e+03 
       9.188212278052e-02       4.136119498474e+03 
       9.518983711379e-02       3.884002276765e+03 
       9.857083702744e-02       3.659917347827e+03 
       1.020325338263e-01       3.466954744345e+03 
       1.055819409270e-01       3.305566133741e+03 
       1.092257816693e-01       3.173555519620e+03 
       1.129705693036e-01       3.066103704157e+03 
       1.168226667787e-01       2.976160095063e+03 
       1.207883316140e-01       2.895084094318e+03 
       1.248737496290e-01       2.813647486783e+03 
       1.290850603027e-01       2.723499375706e+03 
       1.334283758750e-01       2.618775509570e+03 
       1.379097958598e-01       2.497494902137e+03 
       1.425354183477e-01       2.362203365320e+03 
       1.473113492835e-01       2.219548254083e+03 
       1.522437107758e-01       2.078598879068e+03 
       1.573386494201e-01       1.948718240728e+03 
       1.626023455642e-01       1.837102466246e+03 
       1.680410244143e-01       1.746991444463e+03 
       1.736609698611e-01       1.676986964235e+03 
       1.794685418909e-01       1.621244979129e+03 
       1.854701984387e-01       1.571464556868e+03 
       1.916725225360e-01       1.518590054478e+03 
       1.980822556082e-01       1.455811311059e+03 
       2.047063377909e-01       1.382204966459e+03 
       2.115519561662e-01       1.302889594020e+03 
       2.186266018782e-01       1.225919532380e+03 
       2.259381371850e-01       1.158268078300e+03 
       2.334948736513e-01       1.103315941436e+03 
       2.413056629019e-01       1.059852604709e+03 
       2.493800016636e-01       1.022294445275e+03 
       2.577281532385e-01       9.838329624787e+02 
       2.663612881174e-01       9.405581311164e+02 
       2.752916471936e-01       8.932859682792e+02 
       2.845327320338e-01       8.466448397824e+02 
       2.940995279758e-01       8.056660522055e+02 
       3.040087675715e-01       7.716168092502e+02 
       3.142792442098e-01       7.418017634944e+02 
       3.249321888769e-01       7.122566200115e+02 
       3.359917272350e-01       6.808133417269e+02 
       3.474854400034e-01       6.490036578965e+02 
       3.594450576923e-01       6.196006580978e+02 
       3.719073321163e-01       5.937518592715e+02 
       3.849151434268e-01       5.697969996481e+02 
       3.985189251738e-01       5.458002987438e+02 
       4.127785252211e-01       5.217342757565e+02 
       4.277656738406e-01       4.989553014230e+02 
       4.435673132144e-01       4.778369148831e+02 
       4.602901741801e-01       4.575215042275e+02 
       4.780672007355e-01       4.373139490551e+02 
       4.970667837397e-01       4.177123849353e+02 
       5.175063929678e-01       3.989598025506e+02 
       5.396733309712e-01       3.804013684580e+02 
       5.639574726736e-01       3.620184207446e+02 
       5.909050978388e-01       3.438352243740e+02 
       6.213118195238e-01       3.254538012533e+02 
       6.563924763177e-01       3.067123238112e+02 
       6.981133742900e-01       2.871566889325e+02 
       7.498938722936e-01       2.662169751727e+02 
       8.182074091117e-01       2.429072758633e+02 
       9.163647083381e-01       2.156728501896e+02 
       1.071544547288e+00       1.826751542550e+02 
       1.318626957119e+00       1.453606052075e+02 
       1.657269321445e+00       1.109842081480e+02 
       2.086325395746e+00       8.237401031413e+01 
       2.626527859608e+00       5.921600230035e+01 
       3.306602667141e+00       4.111772667801e+01 
       4.162766124371e+00       2.760007366298e+01 
       5.240612057326e+00       1.797516186790e+01 
       6.597539692323e+00       1.141311149044e+01 
       8.305810373986e+00       7.099062123423e+00 
       1.045639574535e+01       4.344737660240e+00 
       1.316382231960e+01       2.626074892627e+00 
       1.657227043449e+01       1.572329230604e+00 
       2.086325238111e+01       9.347676301430e-01 
       2.626527859525e+01       5.528141208774e-01 
       3.306602667141e+01       3.256624043722e-01 
