# Matter power spectrum P(k) at redshift z=0
# for k=1.04457e-05 to 33.066 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044565662256e-05       5.256106183649e+01 
       1.315030256502e-05       6.559238421660e+01 
       1.655525007188e-05       8.185446199724e+01 
       2.084182501410e-05       1.021481806903e+02 
       2.623830313842e-05       1.274729206059e+02 
       3.303206658331e-05       1.590755999905e+02 
       4.158490802581e-05       1.985119385265e+02 
       5.235229746081e-05       2.477226184889e+02 
       6.590763763923e-05       3.091279611449e+02 
       8.297279985534e-05       3.857454347085e+02 
       1.044565662256e-04       4.813348483760e+02 
       1.315030256502e-04       6.005768442421e+02 
       1.655525007188e-04       7.492904225793e+02 
       2.084182501410e-04       9.346944269416e+02 
       2.623830313842e-04       1.165715330853e+03 
       3.303206658331e-04       1.453338103935e+03 
       4.158490802581e-04       1.810987332240e+03 
       5.235229746081e-04       2.254912948723e+03 
       6.590763763923e-04       2.804540735996e+03 
       8.297279985534e-04       3.482724777528e+03 
       1.044565662256e-03       4.315764345913e+03 
       1.315030256502e-03       5.332880830523e+03 
       1.655525007188e-03       6.564767252957e+03 
       2.084182501410e-03       8.040874867522e+03 
       2.623830313842e-03       9.784797265171e+03 
       3.303206658331e-03       1.180738498142e+04 
       4.158490802581e-03       1.409743453507e+04 
       5.235229746081e-03       1.660902900491e+04 
       6.590763763923e-03       1.924652691392e+04 
       8.297279985534e-03       2.184765191300e+04 
       1.044565662256e-02       2.416762077489e+04 
       1.315030256502e-02       2.586945274131e+04 
       1.655525007186e-02       2.654032145512e+04 
       2.084182484941e-02       2.577464011005e+04 
       2.623817749476e-02       2.338302521869e+04 
       3.301464513711e-02       1.972807356613e+04 
       4.100422389216e-02       1.606119230585e+04 
       4.774818891411e-02       1.395117194840e+04 
       5.263768968824e-02       1.290901527297e+04 
       5.666848489694e-02       1.225579253105e+04 
       6.026679417683e-02       1.176083837678e+04 
       6.362248952056e-02       1.132765215176e+04 
       6.683601239577e-02       1.090777616679e+04 
       6.996756444479e-02       1.047539586012e+04 
       7.305667816288e-02       1.001817303944e+04 
       7.613120806634e-02       9.533063829510e+03 
       7.921193162506e-02       9.024013042182e+03 
       8.231510521670e-02       8.500104365346e+03 
       8.545397831465e-02       7.973977146319e+03 
       8.863973790740e-02       7.459950509777e+03 
       9.188212278052e-02       6.972457624196e+03 
       9.518983711379e-02       6.524292114192e+03 
       9.857083702744e-02       6.125313275062e+03 
       1.020325338263e-01       5.781396425247e+03 
       1.055819409270e-01       5.493705756408e+03 
       1.092257816693e-01       5.258600119424e+03 
       1.129705693036e-01       5.067671224502e+03 
       1.168226667787e-01       4.908341663509e+03 
       1.207883316140e-01       4.765033880518e+03 
       1.248737496290e-01       4.620954497898e+03 
       1.290850603027e-01       4.460765263570e+03 
       1.334283758750e-01       4.273571359240e+03 
       1.379097958598e-01       4.055530612881e+03 
       1.425354183477e-01       3.811124124752e+03 
       1.473113492835e-01       3.552449377978e+03 
       1.522437107758e-01       3.296174549759e+03 
       1.573386494201e-01       3.059717198478e+03 
       1.626023455642e-01       2.856641325094e+03 
       1.680410244143e-01       2.693259666412e+03 
       1.736609698611e-01       2.567252208465e+03 
       1.794685418909e-01       2.467901086546e+03 
       1.854701984387e-01       2.379730142759e+03 
       1.916725225360e-01       2.285682807465e+03 
       1.980822556082e-01       2.172793849661e+03 
       2.047063377909e-01       2.039123204078e+03 
       2.115519561662e-01       1.894214796587e+03 
       2.186266018782e-01       1.753328288963e+03 
       2.259381371850e-01       1.629883479258e+03 
       2.334948736513e-01       1.530580020951e+03 
       2.413056629019e-01       1.453312700194e+03 
       2.493800016636e-01       1.387431894218e+03 
       2.577281532385e-01       1.319745180402e+03 
       2.663612881174e-01       1.242550126512e+03 
       2.752916471936e-01       1.157304929727e+03 
       2.845327320338e-01       1.073015070815e+03 
