# Matter power spectrum P(k) at redshift z=1
# for k=1.04457e-05 to 33.066 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044565662256e-05       1.937362853909e+01 
       1.315030256502e-05       2.417688518729e+01 
       1.655525007188e-05       3.017097646002e+01 
       2.084182501410e-05       3.765112331871e+01 
       2.623830313842e-05       4.698567414832e+01 
       3.303206658331e-05       5.863427165641e+01 
       4.158490802581e-05       7.317038145223e+01 
       5.235229746081e-05       9.130939477904e+01 
       6.590763763923e-05       1.139435760124e+02 
       8.297279985534e-05       1.421854369976e+02 
       1.044565662256e-04       1.774213892919e+02 
       1.315030256502e-04       2.213777966631e+02 
       1.655525007188e-04       2.761884771033e+02 
       2.084182501410e-04       3.445370652643e+02 
       2.623830313842e-04       4.297111488800e+02 
       3.303206658331e-04       5.357698592581e+02 
       4.158490802581e-04       6.676774878025e+02 
       5.235229746081e-04       8.314445278670e+02 
       6.590763763923e-04       1.034247934444e+03 
       8.297279985534e-04       1.284504260026e+03 
       1.044565662256e-03       1.591861646346e+03 
       1.315030256502e-03       1.967037927306e+03 
       1.655525007188e-03       2.421323387127e+03 
       2.084182501410e-03       2.965519500259e+03 
       2.623830313842e-03       3.608230933522e+03 
       3.303206658331e-03       4.353325632590e+03 
       4.158490802581e-03       5.196483045810e+03 
       5.235229746081e-03       6.120536298702e+03 
       6.590763763923e-03       7.089955823771e+03 
       8.297279985534e-03       8.044414240208e+03 
       1.044565662256e-02       8.893598005769e+03 
       1.315030256502e-02       9.513112772725e+03 
       1.655525007186e-02       9.751317410355e+03 
       2.084182484941e-02       9.460247228155e+03 
       2.623817749476e-02       8.573176193811e+03 
       3.301464513711e-02       7.227263856945e+03 
       4.100422389216e-02       5.883505813208e+03 
       4.774818891411e-02       5.112514559140e+03 
       5.263768968824e-02       4.731821406597e+03 
       5.666848489694e-02       4.492930390073e+03 
       6.026679417683e-02       4.311748704054e+03 
       6.362248952056e-02       4.153221078613e+03 
       6.683601239577e-02       3.999884972199e+03 
       6.996756444479e-02       3.842478759737e+03 
       7.305667816288e-02       3.676647590959e+03 
       7.613120806634e-02       3.501347767206e+03 
       7.921193162506e-02       3.318040759136e+03 
       8.231510521670e-02       3.129953423848e+03 
       8.545397831465e-02       2.941588830450e+03 
       8.863973790740e-02       2.757957348478e+03 
       9.188212278052e-02       2.584117521533e+03 
       9.518983711379e-02       2.424505728718e+03 
       9.857083702744e-02       2.282486329973e+03 
       1.020325338263e-01       2.160027153262e+03 
       1.055819409270e-01       2.057421898159e+03 
       1.092257816693e-01       1.973305862454e+03 
       1.129705693036e-01       1.904636219983e+03 
       1.168226667787e-01       1.846970557200e+03 
       1.207883316140e-01       1.794862764234e+03 
       1.248737496290e-01       1.742494866852e+03 
       1.290850603027e-01       1.684634418894e+03 
       1.334283758750e-01       1.617600933389e+03 
       1.379097958598e-01       1.540171360074e+03 
       1.425354183477e-01       1.453959603539e+03 
       1.473113492835e-01       1.363144033433e+03 
       1.522437107758e-01       1.273424529851e+03 
       1.573386494201e-01       1.190685744714e+03 
       1.626023455642e-01       1.119465197413e+03 
       1.680410244143e-01       1.061810470748e+03 
       1.736609698611e-01       1.016845435922e+03 
       1.794685418909e-01       9.808859376987e+02 
       1.854701984387e-01       9.487029966984e+02 
       1.916725225360e-01       9.146095908679e+02 
       1.980822556082e-01       8.743398462817e+02 
       2.047063377909e-01       8.273268241693e+02 
       2.115519561662e-01       7.767777487538e+02 
       2.186266018782e-01       7.277450943625e+02 
       2.259381371850e-01       6.846088565048e+02 
       2.334948736513e-01       6.495057010581e+02 
       2.413056629019e-01       6.216820243982e+02 
       2.493800016636e-01       5.976206562222e+02 
       2.577281532385e-01       5.730403100677e+02 
       2.663612881174e-01       5.454812150823e+02 
       2.752916471936e-01       5.154517368437e+02 
       2.845327320338e-01       4.858547877659e+02 
       2.940995279758e-01       4.598656637130e+02 
       3.040087675715e-01       4.382918833300e+02 
       3.142792442098e-01       4.194380901697e+02 
       3.249321888769e-01       4.007980048219e+02 
       3.359917272350e-01       3.809925888398e+02 
       3.474854400034e-01       3.609863394643e+02 
       3.594450576923e-01       3.425388056168e+02 
       3.719073321163e-01       3.263864382519e+02 
       3.849151434268e-01       3.114780690084e+02 
       3.985189251738e-01       2.965762597663e+02 
       4.127785252211e-01       2.816594501937e+02 
       4.277656738406e-01       2.675985115921e+02 
       4.435673132144e-01       2.546420312312e+02 
       4.602901741801e-01       2.422412693084e+02 
       4.780672007355e-01       2.299467067649e+02 
       4.970667837397e-01       2.180870565678e+02 
       5.175063929678e-01       2.068324954472e+02 
       5.396733309712e-01       1.957625724162e+02 
       5.639574726736e-01       1.848777531918e+02 
       5.909050978388e-01       1.742158823941e+02 
       6.213118195238e-01       1.635394682991e+02 
       6.563924763177e-01       1.527846443232e+02 
       6.981133742900e-01       1.417137435788e+02 
       7.498938722936e-01       1.300570378166e+02 
       8.182074091117e-01       1.173493805624e+02 
       9.163647083381e-01       1.029035171268e+02 
       1.071544547288e+00       8.603791197847e+01 
       1.318626957119e+00       6.783634465780e+01 
       1.657269321445e+00       5.181505858460e+01 
       2.086325395746e+00       3.888713688340e+01 
       2.626527859608e+00       2.854315558812e+01 
       3.306602667141e+00       2.038889082503e+01 
       4.162766124371e+00       1.412581737422e+01 
       5.240612057326e+00       9.480593932368e+00 
       6.597539692323e+00       6.173278814379e+00 
       8.305810373986e+00       3.914026488971e+00 
       1.045639574535e+01       2.426974236547e+00 
       1.316382231960e+01       1.478141256135e+00 
       1.657227043449e+01       8.876865618731e-01 
       2.086325238111e+01       5.273740192389e-01 
       2.626527859525e+01       3.107728708714e-01 
       3.306602667141e+01       1.820257595027e-01 
