# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.06649e-05 to 33.76 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.066494540088e-05      -1.006859856768e-03      -7.554329151743e-04      -7.554329442701e-04      -1.006846494654e-03       4.867015389592e-08       9.078352190151e-12      -4.122641617942e-04       5.416349658875e-01       5.413959603638e-01       1.510865888540e-03       2.281886686659e-07       9.999984208299e-01      -3.893802745699e-11       1.652485859032e-10      -2.208978270148e-14      -9.466041505978e-11      -2.968136313923e-15      -9.723260671811e-11      -5.665962880669e-14 
       1.342637078057e-05      -1.595408211979e-03      -1.197279563060e-03      -1.197279636142e-03      -1.595374653873e-03       7.713695368984e-08       1.438818330380e-11      -6.533940862812e-04       5.416344006318e-01       5.413954731806e-01       2.394559272284e-03       3.616543261597e-07       9.999974972546e-01      -6.170221010181e-11       2.618304541621e-10      -3.500156763693e-14      -2.377385640871e-10      -7.455103176846e-15      -2.441976084188e-10      -1.422998839566e-13 
       1.690279936383e-05      -2.527654682885e-03      -1.897557818069e-03      -1.897558001632e-03      -2.527570411935e-03       1.222537141547e-07       2.280374261321e-11      -1.035558337020e-03       5.416335216410e-01       5.413947179216e-01       3.795116003264e-03       5.731826010159e-07       9.999960335826e-01      -9.776779409960e-11       4.147952147615e-10      -5.545270267330e-14      -5.970223226243e-10      -1.872445193124e-14      -6.132387908481e-10      -3.573509009904e-13 
       2.127936364958e-05      -4.003810764446e-03      -3.007420479105e-03      -3.007420940147e-03      -4.003599180333e-03       1.937585412786e-07       3.614127663356e-11      -1.641245621781e-03       5.416320562852e-01       5.413934485258e-01       6.014841880294e-03       9.084311393633e-07       9.999937140774e-01      -1.548869443005e-10       6.569590418449e-10      -8.783377903978e-14      -1.499055907794e-09      -4.702572677844e-14      -1.539757892225e-09      -8.972658023792e-13 
       2.678913164527e-05      -6.339959533647e-03      -4.766425103677e-03      -4.766426261572e-03      -6.339428453433e-03       3.070856978387e-07       5.728000902174e-11      -2.601189574422e-03       5.416298311169e-01       5.413915337264e-01       9.532852523144e-03       1.439760841374e-06       9.999900378714e-01      -2.453273718799e-10       1.040087669965e-09      -1.390745388778e-13      -3.763085375720e-09      -1.180915523146e-13      -3.865194844322e-09      -2.252400561989e-12 
       3.372551858813e-05      -1.003397470885e-02      -7.554236764855e-03      -7.554239672596e-03      -1.003264225360e-02       4.866954486634e-07       9.078214500979e-11      -4.122583996342e-03       5.416262564992e-01       5.413884503710e-01       1.510847934519e-02       2.281853618237e-06       9.999842124158e-01      -3.884272517453e-10       1.645612316261e-09      -2.200855415751e-13      -9.443004287963e-09      -2.965053026978e-13      -9.698979805088e-09      -5.652089510615e-12 
       4.245791237653e-05      -1.586721053838e-02      -1.197256317299e-02      -1.197257047396e-02      -1.586386953781e-02       7.713538667717e-07       1.438784594164e-10      -6.533795933143e-03       5.416205842510e-01       5.413835551344e-01       2.394514094791e-02       3.616460358867e-06       9.999749842845e-01      -6.146329477578e-10       2.601060785916e-09      -3.479777370998e-13      -2.368221798116e-08      -7.442961975932e-13      -2.432319491410e-08      -1.417480891579e-11 
       5.345134482254e-05      -2.505873378423e-02      -1.897499471847e-02      -1.897501304545e-02      -2.505036527668e-02       1.222497280366e-06       2.280287082130e-10      -1.035521965846e-02       5.416116294088e-01       5.413758277647e-01       3.795002609090e-02       5.731617959902e-06       9.999603692448e-01      -9.716752430495e-10       4.104725551942e-09      -5.494176926704e-13      -5.933794303396e-08      -1.867606671178e-12      -6.094004607622e-08      -3.551574453451e-11 
       6.729125629167e-05      -3.949256710026e-02      -3.007273977763e-02      -3.007278576454e-02      -3.947164010394e-02       1.937487462907e-06       3.613923050119e-10      -1.641154329719e-02       5.415974458252e-01       5.413635797263e-01       6.014557152908e-02       9.083788119204e-06       9.999372317161e-01      -1.533855253357e-09       6.461356251585e-09      -8.655422787581e-13      -1.484585633214e-07      -4.683319241722e-12      -1.524513619548e-07      -8.885534755412e-11 
       8.471467253714e-05      -6.203552977636e-02      -4.766057431783e-02      -4.766068963942e-02      -6.198333491230e-02       3.070609632679e-06       5.727465260342e-10      -2.600960580744e-02       5.415750233226e-01       5.413442001989e-01       9.532137927885e-02       1.439629670626e-05       9.999006252842e-01      -2.415636226520e-09       1.013037651831e-08      -1.358757380823e-12      -3.705682876089e-07      -1.173271699141e-11      -3.804732220946e-07      -2.217841782266e-10 
