# Matter power spectrum P(k) at redshift z=0.5
# for k=1.06649e-05 to 33.76 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.066494540088e-05       2.881251077549e+01 
       1.342637078057e-05       3.595592390909e+01 
       1.690279936383e-05       4.487034148015e+01 
       2.127936364958e-05       5.599479840590e+01 
       2.678913164527e-05       6.987711892709e+01 
       3.372551858813e-05       8.720085241824e+01 
       4.245791237653e-05       1.088188122030e+02 
       5.345134482254e-05       1.357948465602e+02 
       6.729125629167e-05       1.694557683468e+02 
       8.471467253714e-05       2.114557719363e+02 
       1.066494540088e-04       2.638560864473e+02 
       1.342637078057e-04       3.292228992664e+02 
       1.690279936383e-04       4.107175197892e+02 
       2.127936364958e-04       5.123401711046e+02 
       2.678913164527e-04       6.389640307062e+02 
       3.372551858813e-04       7.966079248742e+02 
       4.245791237653e-04       9.926237678557e+02 
       5.345134482254e-04       1.235900114889e+03 
       6.729125629167e-04       1.537036175798e+03 
       8.471467253714e-04       1.908450295421e+03 
       1.066494540088e-03       2.364363395520e+03 
       1.342637078057e-03       2.920512385373e+03 
       1.690279936383e-03       3.593319801747e+03 
       2.127936364958e-03       4.398296390327e+03 
       2.678913164527e-03       5.347461923847e+03 
       3.372551858813e-03       6.445497887797e+03 
       4.245791237653e-03       7.684592532698e+03 
       5.345134482254e-03       9.037472411105e+03 
       6.729125629167e-03       1.044923245174e+04 
       8.471467253714e-03       1.182837074352e+04 
       1.066494540088e-02       1.303845471348e+04 
       1.342637078057e-02       1.389423694674e+04 
       1.690279936376e-02       1.417288442840e+04 
       2.127936332504e-02       1.366472990802e+04 
       2.678892246641e-02       1.229324938261e+04 
       3.370023460128e-02       1.029584441152e+04 
       4.171422359039e-02       8.390171113275e+03 
       4.824520572886e-02       7.345219757585e+03 
       5.302719137889e-02       6.819747949074e+03 
       5.700687750086e-02       6.483654388067e+03 
       6.057743284120e-02       6.225197948579e+03 
       6.391700228061e-02       5.996893739787e+03 
       6.712106534353e-02       5.774727756003e+03 
       7.024738863855e-02       5.546146719582e+03 
       7.333417466253e-02       5.305288821531e+03 
       7.640849229952e-02       5.050977088590e+03 
