# Matter power spectrum P(k) at redshift z=0
# for k=1.06649e-05 to 33.76 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.066494540088e-05       4.805732543488e+01 
       1.342637078057e-05       5.997204778426e+01 
       1.690279936383e-05       7.484068103606e+01 
       2.127936364958e-05       9.339550436929e+01 
       2.678913164527e-05       1.165502184051e+02 
       3.372551858813e-05       1.454449327828e+02 
       4.245791237653e-05       1.815020280666e+02 
       5.345134482254e-05       2.264958282656e+02 
       6.729125629167e-05       2.826391799471e+02 
       8.471467253714e-05       3.526907895877e+02 
       1.066494540088e-04       4.400879209963e+02 
       1.342637078057e-04       5.491093784935e+02 
       1.690279936383e-04       6.849971578373e+02 
       2.127936364958e-04       8.544585777764e+02 
       2.678913164527e-04       1.065591449955e+03 
       3.372551858813e-04       1.328414216765e+03 
       4.245791237653e-04       1.655157718852e+03 
       5.345134482254e-04       2.060605064764e+03 
       6.729125629167e-04       2.562391060962e+03 
       8.471467253714e-04       3.181200960250e+03 
       1.066494540088e-03       3.940740673156e+03 
       1.342637078057e-03       4.867196722347e+03 
       1.690279936383e-03       5.987820674270e+03 
       2.127936364958e-03       7.328322273754e+03 
       2.678913164527e-03       8.908508382574e+03 
       3.372551858813e-03       1.073587098965e+04 
       4.245791237653e-03       1.279696771161e+04 
       5.345134482254e-03       1.504577804109e+04 
       6.729125629167e-03       1.739024825617e+04 
       8.471467253714e-03       1.967730267227e+04 
       1.066494540088e-02       2.167931301718e+04 
       1.342637078057e-02       2.308807802894e+04 
       1.690279936376e-02       2.353438541977e+04 
       2.127936332504e-02       2.267252916339e+04 
       2.678892246641e-02       2.037920797159e+04 
       3.370023460128e-02       1.705239357357e+04 
       4.171422359039e-02       1.388576860935e+04 
       4.824520572886e-02       1.215421176549e+04 
       5.302719137889e-02       1.128710888188e+04 
       5.700687750086e-02       1.073539132697e+04 
       6.057743284120e-02       1.031320464982e+04 
       6.391700228061e-02       9.941494810968e+03 
       6.712106534353e-02       9.580130020697e+03 
       7.024738863855e-02       9.207935364284e+03 
       7.333417466253e-02       8.814919762772e+03 
       7.640849229952e-02       8.398950986504e+03 
       7.949062689480e-02       7.963891448372e+03 
       8.259651245822e-02       7.517806816348e+03 
       8.573917992017e-02       7.071731671740e+03 
       8.892966417124e-02       6.638001941457e+03 
       9.217759603704e-02       6.228867987600e+03 
       9.549160197554e-02       5.854996283740e+03 
       9.887958163544e-02       5.524388359543e+03 
       1.023489050982e-01       5.241533720983e+03 
       1.059065556819e-01       5.006922302072e+03 
       1.095592348468e-01       4.816921052038e+03 
       1.133134400919e-01       4.663903881543e+03 
       1.171755232074e-01       4.536881276541e+03 
       1.211517340057e-01       4.422329818722e+03 
       1.252482531941e-01       4.305931119243e+03 
       1.294712170909e-01       4.174788585089e+03 
       1.338267362502e-01       4.019957362991e+03 
       1.383209096319e-01       3.838792126000e+03 
       1.429598356763e-01       3.635726040393e+03 
       1.477496214513e-01       3.421624068668e+03 
       1.526963909249e-01       3.211010873987e+03 
       1.578062933350e-01       3.018500482936e+03 
       1.630855125847e-01       2.855004602296e+03 
       1.685402785576e-01       2.725058570570e+03 
       1.741768812321e-01       2.625889671983e+03 
       1.800016884579e-01       2.547864269058e+03 
       1.860211682515e-01       2.477762593706e+03 
       1.922419164633e-01       2.401143653732e+03 
       1.986706906724e-01       2.307759715009e+03 
       2.053144511790e-01       2.196946530368e+03 
       2.121804100007e-01       2.077581182491e+03 
       2.192760888400e-01       1.962687146443e+03 
       2.266093870875e-01       1.862995185952e+03 
       2.341886610856e-01       1.783337867700e+03 
       2.420228160946e-01       1.721097035662e+03 
       2.501214127207e-01       1.666959289516e+03 
       2.584947899944e-01       1.610142086257e+03 
       2.671542078675e-01       1.545059346908e+03 
       2.761120126665e-01       1.473692537323e+03 
       2.853818300643e-01       1.403838226856e+03 
       2.949787914782e-01       1.343247081552e+03 
       3.049198015941e-01       1.293255656436e+03 
       3.152238570974e-01       1.249194398858e+03 
