# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03008e-05 to 32.6088 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.030083293944e-05      -1.329341836721e-03      -9.975213106789e-04      -9.975213427731e-04      -1.329321650399e-03       5.182866955522e-08       3.943578459814e-12      -3.113945243102e-04       4.563761026109e-01       4.562251073773e-01       1.995042685546e-03       2.338105551441e-07       9.999984240181e-01      -2.759182508387e-11       1.573302926424e-10      -2.814122543470e-14      -1.414809310977e-10      -2.069275896240e-15      -1.444803251349e-10      -5.619464733447e-14 
       1.296798035011e-05      -2.106227083912e-03      -1.580963585354e-03      -1.580963665967e-03      -2.106176391109e-03       8.214269126176e-08       6.250053517450e-12      -4.935266518066e-04       4.563758123321e-01       4.562248835658e-01       3.161927331933e-03       3.705642712193e-07       9.999975023236e-01      -4.372078762704e-11       2.492606341420e-10      -4.458541469863e-14      -3.553088753871e-10      -5.197377065471e-15      -3.628395417612e-10      -1.411245272901e-13 
       1.632572000240e-05      -3.336543456324e-03      -2.505655423356e-03      -2.505655625833e-03      -3.336416171662e-03       1.301874727923e-07       9.905629432631e-12      -7.821859655611e-04       4.563750322874e-01       4.562242088462e-01       5.011311251667e-03       5.873039157041e-07       9.999960416637e-01      -6.926938951908e-11       3.948227611773e-10      -7.062439126777e-14      -8.921961224616e-10      -1.305363149222e-14      -9.110987282947e-10      -3.543691334234e-13 
       2.055286377685e-05      -5.284044057815e-03      -3.971188355345e-03      -3.971188863881e-03      -5.283724538047e-03       2.063328131061e-07       1.569942840347e-11      -1.239678433428e-03       4.563737460969e-01       4.562230894573e-01       7.942377727763e-03       9.308118658088e-07       9.999937269967e-01      -1.097258611984e-10       6.251777441512e-10      -1.118348905362e-13      -2.239904367476e-09      -3.278253891253e-14      -2.287330750902e-09      -8.896589030823e-13 
       2.587452249383e-05      -8.364554960102e-03      -6.293890003353e-03      -6.293891280527e-03      -8.363753176199e-03       3.270138627552e-07       2.488153928876e-11      -1.964751048578e-03       4.563719633196e-01       4.562215707892e-01       1.258778256105e-02       1.475231392329e-06       9.999900588706e-01      -1.737563461300e-10       9.893991093605e-10      -1.770023704429e-13      -5.621645880046e-09      -8.232074217705e-14      -5.740557990797e-09      -2.232827711358e-12 
       3.257409388552e-05      -1.323161772768e-02      -9.975095629370e-03      -9.975098836612e-03      -1.322960699270e-02       5.182803020347e-07       3.943412228903e-11      -3.113903613098e-03       4.563689655209e-01       4.562189908572e-01       1.995019767322e-02       2.338069873908e-06       9.999842463409e-01      -2.750153194677e-10       1.564478526101e-09      -2.799179552634e-13      -1.410208775001e-08      -2.066791542396e-13      -1.439991542485e-08      -5.601075615294e-12 
       4.100835455865e-05      -2.090726436396e-02      -1.580933408732e-02      -1.580934213987e-02      -2.090222643410e-02       8.214120758291e-07       6.249823291091e-11      -4.935159885487e-03       4.563640050123e-01       4.562146908390e-01       3.161868427973e-02       3.705556538062e-06       9.999750396788e-01      -4.349424366554e-10       2.470477103216e-09      -4.421066701891e-13      -3.534795043710e-08      -5.187386885488e-13      -3.609262634666e-08      -1.403932898981e-11 
       5.162645964974e-05      -3.297701426278e-02      -2.505578898464e-02      -2.505580919695e-02      -3.296441008792e-02       1.301832137022e-06       9.905214301006e-11      -7.821589629489e-03       4.563561513853e-01       4.562078795379e-01       5.011161839391e-02       5.872824793365e-06       9.999604613392e-01      -6.870141899711e-10       3.892789839729e-09      -6.968551515912e-13      -8.849270054337e-08      -1.301369699608e-12      -9.034967006807e-08      -3.514635604315e-11 
       6.499386197403e-05      -5.186852732849e-02      -3.970995571029e-02      -3.971000642354e-02      -5.183706668668e-02       2.063218894958e-06       1.569822812007e-10      -1.239610464063e-02       4.563438941374e-01       4.561972630987e-01       7.942001284709e-02       9.307580123089e-06       9.999373885940e-01      -1.083034887866e-09       6.113114175636e-09      -1.094862905223e-12      -2.211051159061e-07      -3.262422294294e-12      -2.257160068457e-07      -8.781265128773e-11 
       8.182242444975e-05      -8.121909334773e-02      -6.293404493318e-02      -6.293417208937e-02      -8.114085698646e-02       3.269871405757e-06       2.487877190171e-10      -1.964580058104e-02       4.563244841082e-01       4.561804257051e-01       1.258683441787e-01       1.475097033965e-05       9.999009012195e-01      -1.702006187291e-09       9.548023465631e-09      -1.711415948305e-12      -5.507323884374e-07      -8.169156735266e-12      -5.621031245204e-07      -2.187136311719e-10 
