# Matter power spectrum P(k) at redshift z=0.5
# for k=1.03008e-05 to 32.6088 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030083293944e-05       3.256555514243e+01 
       1.296798035011e-05       4.063945432317e+01 
       1.632572000240e-05       5.071506925703e+01 
       2.055286377685e-05       6.328858100823e+01 
       2.587452249383e-05       7.897921547655e+01 
       3.257409388552e-05       9.855958535846e+01 
       4.100835455865e-05       1.229935842479e+02 
       5.162645964974e-05       1.534837037652e+02 
       6.499386197403e-05       1.915297142383e+02 
       8.182242444975e-05       2.390015031171e+02 
       1.030083293944e-04       2.982292666242e+02 
       1.296798035011e-04       3.721143539772e+02 
       1.632572000240e-04       4.642281336715e+02 
       2.055286377685e-04       5.791003760370e+02 
       2.587452249383e-04       7.222431488716e+02 
       3.257409388552e-04       9.004716692515e+02 
       4.100835455865e-04       1.122119273686e+03 
       5.162645964974e-04       1.397276848876e+03 
       6.499386197403e-04       1.738005128571e+03 
       8.182242444975e-04       2.158481155839e+03 
       1.030083293944e-03       2.675013467908e+03 
       1.296798035011e-03       3.305764908365e+03 
       1.632572000240e-03       4.069880413703e+03 
       2.055286377685e-03       4.985774656895e+03 
       2.587452249383e-03       6.068321307627e+03 
       3.257409388552e-03       7.324574324523e+03 
       4.100835455865e-03       8.748002651538e+03 
       5.162645964974e-03       1.031068709408e+04 
       6.499386197403e-03       1.195391882079e+04 
       8.182242444975e-03       1.357771924486e+04 
       1.030083293944e-02       1.503116267299e+04 
       1.296798035011e-02       1.610624379755e+04 
       1.632572000238e-02       1.654741254598e+04 
       2.055286367344e-02       1.610133084736e+04 
       2.587443398161e-02       1.464349219462e+04 
       3.256061612577e-02       1.238276200618e+04 
       4.051992114022e-02       1.006681814971e+04 
       4.740674887666e-02       8.697189403697e+03 
       5.237293260475e-02       8.029160771429e+03 
       5.643976216693e-02       7.616228985443e+03 
       6.005748950045e-02       7.306676538901e+03 
       6.342443371587e-02       7.038293723662e+03 
       6.664456422611e-02       6.780392930419e+03 
       6.977979756534e-02       6.516619874972e+03 
       7.287059645459e-02       6.239167535611e+03 
       7.594536209586e-02       5.945979841742e+03 
       7.902521308484e-02       5.639219896768e+03 
       8.212662859375e-02       5.324202126898e+03 
       8.526300879212e-02       5.008335018697e+03 
       8.844564536618e-02       4.700073636946e+03 
       9.168435132178e-02       4.407933406181e+03 
       9.498788422362e-02       4.139442083175e+03 
       9.836423895999e-02       3.900386450786e+03 
       1.018208551303e-01       3.694180468919e+03 
       1.053647668131e-01       3.521540102561e+03 
       1.090027123752e-01       3.380257691549e+03 
       1.127412158956e-01       3.265394555483e+03 
       1.165866480054e-01       3.169636037277e+03 
       1.205452715426e-01       3.083863043358e+03 
       1.246232758681e-01       2.998290863156e+03 
       1.288268026658e-01       2.903938523418e+03 
       1.331619653711e-01       2.794344063908e+03 
       1.376348639200e-01       2.667134280393e+03 
       1.422515962108e-01       2.524691493470e+03 
       1.470182674727e-01       2.373874552533e+03 
       1.519409986055e-01       2.224240824748e+03 
       1.570259344755e-01       2.085725459861e+03 
       1.622792530973e-01       1.966247355406e+03 
       1.677071766045e-01       1.869524870770e+03 
       1.733159848861e-01       1.794361417641e+03 
       1.791120327566e-01       1.734836287502e+03 
       1.851017715165e-01       1.682166298409e+03 
       1.912917757557e-01       1.626781783726e+03 
       1.976887762547e-01       1.561099836808e+03 
       2.042996998514e-01       1.483718211001e+03 
       2.111317171722e-01       1.399770229211e+03 
       2.181922991822e-01       1.317771486203e+03 
       2.254892836037e-01       1.245285298215e+03 
       2.330309523977e-01       1.186200635998e+03 
       2.408261217128e-01       1.139541721555e+03 
       2.488842460073e-01       1.099590513926e+03 
       2.572155384585e-01       1.059040586386e+03 
       2.658311103297e-01       1.013451769524e+03 
       2.747431327030e-01       9.633901856708e+02 
       2.839650249648e-01       9.136261628887e+02 
       2.935116757268e-01       8.696290890158e+02 
       3.033997035766e-01       8.330403853885e+02 
       3.136477673358e-01       8.011824820225e+02 
       3.242769385644e-01       7.698336474024e+02 
       3.353111531997e-01       7.364678821149e+02 
       3.467777649052e-01       7.025275156517e+02 
       3.587082306125e-01       6.709785193697e+02 
       3.711389698744e-01       6.432057514551e+02 
       3.841124556017e-01       6.175932251532e+02 
       3.976786169814e-01       5.919908296362e+02 
       4.118966698306e-01       5.662493765030e+02 
       4.268375417879e-01       5.417826288034e+02 
       4.425871404237e-01       5.190883111411e+02 
       4.592508402378e-01       4.973070415295e+02 
       4.769597727656e-01       4.756332713669e+02 
       4.958798534532e-01       4.545415754663e+02 
       5.162250853996e-01       4.343605222008e+02 
       5.382777732196e-01       4.144001572489e+02 
       5.624203374013e-01       3.945933365719e+02 
       5.891874846215e-01       3.749911663324e+02 
       6.193559815181e-01       3.551667866571e+02 
       6.541081663376e-01       3.349375576373e+02 
       6.953503206930e-01       3.138257824108e+02 
       7.463817280337e-01       2.912172877274e+02 
       8.134149882911e-01       2.660581163377e+02 
       9.091731521721e-01       2.366675890872e+02 
       1.059823984880e+00       2.009599638829e+02 
       1.300901221876e+00       1.600608534181e+02 
       1.634369433993e+00       1.218783903631e+02 
       2.057478776046e+00       9.005797399705e+01 
       2.590212022465e+00       6.437465351790e+01 
       3.260883736840e+00       4.441400608960e+01 
       4.105209401214e+00       2.961835833638e+01 
       5.168152435925e+00       1.917081764674e+01 
       6.506318433612e+00       1.210474721098e+01 
       8.190969613298e+00       7.492810691637e+00 
       1.031181979342e+01       4.566724165627e+00 
       1.298181197977e+01       2.750562051968e+00 
       1.634313299247e+01       1.641969466424e+00 
       2.057478543255e+01       9.736954625392e-01 
       2.590212022325e+01       5.745756527562e-01 
       3.260883736840e+01       3.378321795762e-01 
