# Matter power spectrum P(k) at redshift z=0.5
# for k=1.03008e-05 to 32.6088 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030083293944e-05       3.256555514243e+01 
       1.296798035011e-05       4.063945432317e+01 
       1.632572000240e-05       5.071506925703e+01 
       2.055286377685e-05       6.328858100823e+01 
       2.587452249383e-05       7.897921547655e+01 
       3.257409388552e-05       9.855958535846e+01 
       4.100835455865e-05       1.229935842479e+02 
       5.162645964974e-05       1.534837037652e+02 
       6.499386197403e-05       1.915297142383e+02 
       8.182242444975e-05       2.390015031171e+02 
       1.030083293944e-04       2.982292666242e+02 
       1.296798035011e-04       3.721143539772e+02 
       1.632572000240e-04       4.642646669475e+02 
       2.055286377685e-04       5.791577056792e+02 
       2.587452249383e-04       7.223330929228e+02 
       3.257409388552e-04       9.006127335348e+02 
       4.100835455865e-04       1.122340397976e+03 
       5.162645964974e-04       1.397623202269e+03 
       6.499386197403e-04       1.738547019277e+03 
       8.182242444975e-04       2.159327622075e+03 
       1.030083293944e-03       2.676332805353e+03 
       1.296798035011e-03       3.307815250159e+03 
       1.632572000240e-03       4.073054364973e+03 
       2.055286377685e-03       4.990662695940e+03 
       2.587452249383e-03       6.075798652735e+03 
       3.257409388552e-03       7.335914032419e+03 
       4.100835455865e-03       8.765012569762e+03 
       5.162645964974e-03       1.033585572691e+04 
       6.499386197403e-03       1.199053241577e+04 
       8.182242444975e-03       1.362987176738e+04 
       1.030083293944e-02       1.510351437662e+04 
       1.296798035011e-02       1.620327390106e+04 
       1.632572000238e-02       1.667179299424e+04 
       2.055286367344e-02       1.625110429675e+04 
       2.587443398161e-02       1.480865929922e+04 
       3.256061612577e-02       1.254468690443e+04 
       4.051992114022e-02       1.020776632799e+04 
       4.740674887666e-02       8.819001913514e+03 
       5.237293260475e-02       8.140393565866e+03 
       5.643976216693e-02       7.720784179865e+03 
       6.005748950045e-02       7.406020175550e+03 
       6.342443371587e-02       7.132557396534e+03 
       6.664456422611e-02       6.868854172121e+03 
       6.977979756534e-02       6.597976159033e+03 
       7.287059645459e-02       6.311766454074e+03 
       7.594536209586e-02       6.008029164656e+03 
       7.902521308484e-02       5.688987751373e+03 
       8.212662859375e-02       5.360204315216e+03 
       8.526300879212e-02       5.029493014419e+03 
       8.844564536618e-02       4.705830454904e+03 
       9.168435132178e-02       4.398319650241e+03 
       9.498788422362e-02       4.115077596989e+03 
       9.836423895999e-02       3.862425129758e+03 
       1.018208551303e-01       3.644196619550e+03 
       1.053647668131e-01       3.461368282173e+03 
       1.090027123752e-01       3.311786408785e+03 
       1.127412158956e-01       3.190340269881e+03 
       1.165866480054e-01       3.089312113655e+03 
       1.205452715426e-01       2.998967761261e+03 
       1.246232758681e-01       2.908772364514e+03 
       1.288268026658e-01       2.808981126481e+03 
       1.331619653711e-01       2.692512821450e+03 
       1.376348639200e-01       2.556680137944e+03 
       1.422515962108e-01       2.403952705735e+03 
       1.470182674727e-01       2.241703203471e+03 
       1.519409986055e-01       2.080322064036e+03 
       1.570259344755e-01       1.930719306263e+03 
       1.622792530973e-01       1.801704385661e+03 
       1.677071766045e-01       1.697542561692e+03 
       1.733159848861e-01       1.617091580824e+03 
       1.791120327566e-01       1.553935422350e+03 
       1.851017715165e-01       1.498398724912e+03 
       1.912917757557e-01       1.439840260975e+03 
       1.976887762547e-01       1.369747486639e+03 
       2.042996998514e-01       1.286446305788e+03 
       2.111317171722e-01       1.195574716949e+03 
       2.181922991822e-01       1.106651032492e+03 
       2.254892836037e-01       1.028256388872e+03 
       2.330309523977e-01       9.649248703570e+02 
       2.408261217128e-01       9.156903723329e+02 
       2.488842460073e-01       8.741187741730e+02 
       2.572155384585e-01       8.318578128431e+02 
       2.658311103297e-01       7.837533585385e+02 
       2.747431327030e-01       7.303710371739e+02 
       2.839650249648e-01       6.771798572534e+02 
       2.935116757268e-01       6.305835596542e+02 
       3.033997035766e-01       5.926080251965e+02 
       3.136477673358e-01       5.601907901468e+02 
       3.242769385644e-01       5.283607045110e+02 
       3.353111531997e-01       4.940749189776e+02 
       3.467777649052e-01       4.590118348215e+02 
       3.587082306125e-01       4.267526064043e+02 
       3.711389698744e-01       3.990463681775e+02 
       3.841124556017e-01       3.739794193489e+02 
       3.976786169814e-01       3.489125299082e+02 
       4.118966698306e-01       3.236440640058e+02 
       4.268375417879e-01       2.999621177480e+02 
       4.425871404237e-01       2.785527683314e+02 
       4.592508402378e-01       2.583668688866e+02 
       4.769597727656e-01       2.383847537799e+02 
       4.958798534532e-01       2.192644277681e+02 
       5.162250853996e-01       2.015176882902e+02 
       5.382777732196e-01       1.842914240774e+02 
       5.624203374013e-01       1.675848214969e+02 
       5.891874846215e-01       1.516108956201e+02 
       6.193559815181e-01       1.359526744980e+02 
       6.541081663376e-01       1.206323037104e+02 
       6.953503206930e-01       1.053868741181e+02 
       7.463817280337e-01       9.002907256810e+01 
       8.134149882911e-01       7.422876006935e+01 
       9.091731521721e-01       5.766997991908e+01 
       1.059823984880e+00       4.054770265327e+01 
       1.300901221876e+00       2.512574101294e+01 
       1.634369433993e+00       1.460851563520e+01 
       2.057478776046e+00       8.376401563708e+00 
       2.590212022465e+00       4.763133694459e+00 
       3.260883736840e+00       2.688328337765e+00 
       4.105209401214e+00       1.506891231875e+00 
       5.168152435925e+00       8.394198206164e-01 
       6.506318433612e+00       4.649280465098e-01 
       8.190969613298e+00       2.561178080233e-01 
       1.031181979342e+01       1.404059211609e-01 
       1.298181197977e+01       7.664270470305e-02 
       1.634313299247e+01       4.165870036001e-02 
       2.057478543255e+01       2.255566300230e-02 
       2.590212022325e+01       1.216633728102e-02 
       3.260883736840e+01       6.538805993183e-03 
