# Matter power spectrum P(k) at redshift z=1
# for k=1.05468e-05 to 33.386 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054684960093e-05       1.895319969147e+01 
       1.327769697698e-05       2.365221991967e+01 
       1.671563013442e-05       2.951623327846e+01 
       2.104373155038e-05       3.683404414595e+01 
       2.649248840774e-05       4.596602044540e+01 
       3.335206687817e-05       5.736182014586e+01 
       4.198776452879e-05       7.158245708406e+01 
       5.285946374972e-05       8.932779093851e+01 
       6.654612216834e-05       1.114707032864e+02 
       8.377660425408e-05       1.390995204766e+02 
       1.054684960093e-04       1.735704913744e+02 
       1.327769697698e-04       2.165723614339e+02 
       1.671563013442e-04       2.701925857526e+02 
       2.104373155038e-04       3.370556219868e+02 
       2.649248840774e-04       4.203767539221e+02 
       3.335206687817e-04       5.241248710652e+02 
       4.198776452879e-04       6.531524432543e+02 
       5.285946374972e-04       8.133319474324e+02 
       6.654612216834e-04       1.011670986382e+03 
       8.377660425408e-04       1.256380068719e+03 
       1.054684960093e-03       1.556859442974e+03 
       1.327769697698e-03       1.923533048634e+03 
       1.671563013442e-03       2.367350414868e+03 
       2.104373155038e-03       2.898733238388e+03 
       2.649248840774e-03       3.525888377499e+03 
       3.335206687817e-03       4.252310500297e+03 
       4.198776452879e-03       5.073395448563e+03 
       5.285946374972e-03       5.971871799507e+03 
       6.654612216834e-03       6.912433496491e+03 
       8.377660425408e-03       7.835494625189e+03 
       1.054684960093e-02       8.652131031426e+03 
       1.327769697698e-02       9.240533982830e+03 
       1.671563013438e-02       9.452859976462e+03 
       2.104373132428e-02       9.147124517908e+03 
       2.649232896307e-02       8.264274295265e+03 
       3.333132935319e-02       6.948091342939e+03 
       4.133545393569e-02       5.659969512146e+03 
       4.798041502434e-02       4.936302689414e+03 
       5.281907513931e-02       4.575937624858e+03 
       5.682579122517e-02       4.347742909728e+03 
       6.041105587216e-02       4.173460670919e+03 
       6.375917871796e-02       4.020248149807e+03 
       6.696825727974e-02       3.871518375231e+03 
       7.009734635676e-02       3.718577631074e+03 
       7.318535340287e-02       3.557350173625e+03 
       7.625976431521e-02       3.386937813916e+03 
       7.934112594001e-02       3.208839129984e+03 
       8.244554372545e-02       3.026258188950e+03 
       8.558616489874e-02       2.843594484639e+03 
       8.877410532767e-02       2.665723530338e+03 
       9.201905333623e-02       2.497534764510e+03 
       9.532967678636e-02       2.343299186118e+03 
       9.871390541466e-02       2.206259443565e+03 
       1.021791312674e-01       2.088228389919e+03 
       1.057323536993e-01       1.989457135602e+03 
       1.093802858263e-01       1.908529440414e+03 
       1.131294335364e-01       1.842446415618e+03 
       1.169861545600e-01       1.786841206171e+03 
       1.209567028098e-01       1.736391887765e+03 
       1.250472617097e-01       1.685454387349e+03 
       1.292639692544e-01       1.629017331984e+03 
       1.336129368877e-01       1.563552477448e+03 
       1.381002638554e-01       1.487997707302e+03 
       1.427320484010e-01       1.404049381788e+03 
       1.475143969817e-01       1.315824924499e+03 
       1.524534325598e-01       1.228906587590e+03 
       1.575553029467e-01       1.148986120923e+03 
       1.628261901272e-01       1.080386086825e+03 
       1.682723214622e-01       1.024980356454e+03 
       1.738999836473e-01       9.818059211052e+02 
       1.797155402924e-01       9.471825513498e+02 
       1.857254539791e-01       9.160097665545e+02 
       1.919363136487e-01       8.827486308027e+02 
       1.983548681751e-01       8.433874103203e+02 
       2.049880669943e-01       7.975341908055e+02 
       2.118431086917e-01       7.484342375664e+02 
       2.189274985117e-01       7.010112982141e+02 
       2.262491158497e-01       6.594464255336e+02 
       2.338162929393e-01       6.257230486639e+02 
       2.416379061671e-01       5.989786115258e+02 
       2.497234817543e-01       5.757207892079e+02 
       2.580833179719e-01       5.517877702844e+02 
       2.667286266239e-01       5.249310227626e+02 
       2.756716972949e-01       4.957506605651e+02 
       2.849260888673e-01       4.671341791469e+02 
       2.945068541416e-01       4.421137609765e+02 
       3.044308051619e-01       4.213582059422e+02 
       3.147168291934e-01       4.031506825688e+02 
       3.253862684630e-01       3.850553322066e+02 
       3.364633810493e-01       3.658217777208e+02 
       3.479759061931e-01       3.464633194832e+02 
       3.599557654783e-01       3.286801606277e+02 
       3.724399428807e-01       3.131209395578e+02 
       3.854716032449e-01       2.987088410294e+02 
       3.991015329112e-01       2.842752700210e+02 
       4.133900221281e-01       2.698528265439e+02 
       4.284093633550e-01       2.562950433256e+02 
       4.442472240356e-01       2.438022049627e+02 
       4.610112866731e-01       2.318201929798e+02 
       4.788357682982e-01       2.199453656274e+02 
       4.978908005247e-01       2.085141393410e+02 
       5.183962943226e-01       1.976622034994e+02 
       5.406430773901e-01       1.869799693891e+02 
       5.650262923438e-01       1.764896553124e+02 
       5.921004154150e-01       1.662147662518e+02 
       6.226744431360e-01       1.559261112304e+02 
       6.579863679676e-01       1.455650804167e+02 
       7.000454221775e-01       1.348986543809e+02 
       7.523572056686e-01       1.236674185559e+02 
       8.215832022643e-01       1.114196956179e+02 
       9.214569678216e-01       9.749798361816e+01 
       1.079857051475e+00       8.128881450111e+01 
       1.331079242483e+00       6.397335725033e+01 
       1.673297737611e+00       4.888412951976e+01 
       2.106513564339e+00       3.673609890107e+01 
       2.651943305576e+00       2.701771758451e+01 
