# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.05468e-05 to 33.386 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.054684960093e-05      -8.029914407738e-04      -6.024197407327e-04      -6.024197648407e-04      -8.029824993989e-04       3.397649951386e-08       8.209513886320e-12      -4.499783892460e-04       5.699623607395e-01       5.696170203162e-01       1.204839529681e-03       2.121857149656e-07       9.999985046570e-01      -4.875958900905e-11       1.731759805558e-10      -1.815288380079e-14      -6.494829884753e-11      -3.431966545802e-15      -6.701674906056e-11      -5.203147470466e-14 
       1.327769697698e-05      -1.272437036455e-03      -9.547702353789e-04      -9.547702959332e-04      -1.272414579707e-03       5.384908835868e-08       1.301119205982e-11      -7.131670721591e-04       5.699617979534e-01       5.696165443158e-01       1.909540591866e-03       3.362913943688e-07       9.999976300955e-01      -7.726916610197e-11       2.744083102313e-10      -2.876559404184e-14      -1.631226829978e-10      -8.620190954172e-15      -1.683172227687e-10      -1.306809917255e-13 
       1.671563013442e-05      -2.016127790463e-03      -1.513207102876e-03      -1.513207254973e-03      -2.016071393433e-03       8.534496324935e-08       2.062129923708e-11      -1.130292127363e-03       5.699609185090e-01       5.696158024062e-01       3.026414509946e-03       5.329851706677e-07       9.999962440841e-01      -1.224392720086e-10       4.347644051213e-10      -4.557837166117e-14      -4.096657302431e-10      -2.165109682028e-14      -4.227092177746e-10      -3.281914893983e-13 
       2.104373155038e-05      -3.193968681958e-03      -2.398267297045e-03      -2.398267679057e-03      -3.193827067351e-03       1.352624888379e-07       3.268245846421e-11      -1.791388534658e-03       5.699595376835e-01       5.696146393736e-01       4.796535358114e-03       8.447226071907e-07       9.999940476128e-01      -1.939922227110e-10       6.886950220602e-10      -7.220666087963e-14      -1.028716196823e-09      -5.437643277898e-14      -1.061461140555e-09      -8.241237890858e-13 
       2.649248840774e-05      -5.058637918355e-03      -3.800986289410e-03      -3.800987248849e-03      -5.058282398195e-03       2.143760850836e-07       5.179811780002e-11      -2.839149798878e-03       5.699573080750e-01       5.696127549196e-01       7.601974497698e-03       1.338790310030e-06       9.999905663508e-01      -3.073079331902e-10       1.090603670714e-09      -1.143640466094e-13      -2.582752801047e-09      -1.365573059727e-13      -2.664929176743e-09      -2.069086089895e-12 
       3.335206687817e-05      -8.008713474602e-03      -6.024128946850e-03      -6.024131356277e-03      -8.007821254335e-03       3.397614281971e-07       8.209395794714e-11      -4.499724723003e-03       5.699537476646e-01       5.696097409064e-01       1.204826271255e-02       2.121827728140e-06       9.999850493933e-01      -4.866677520693e-10       1.726220908678e-09      -1.810645480354e-13      -6.482550584174e-09      -3.428884349972e-13      -6.688666244389e-09      -5.193254638202e-12 
       4.198776452879e-05      -1.267116276838e-02      -9.547529639217e-03      -9.547535689205e-03      -1.266892464800e-02       5.384811788399e-07       1.301087796896e-10      -7.131521554764e-03       5.699480992451e-01       5.696049570783e-01       1.909507137841e-02       3.362840459807e-06       9.999763093627e-01      -7.703616519733e-10       2.730183655735e-09      -2.864906990424e-13      -1.626341455525e-08      -8.608067293778e-13      -1.677997868732e-08      -1.302874607217e-11 
       5.285946374972e-05      -2.002781444944e-02      -1.513163580029e-02      -1.513165098817e-02      -2.002220447699e-02       8.534247861212e-07       2.062056702747e-10      -1.130254562568e-02       5.699391689743e-01       5.695973936361e-01       3.026330197634e-02       5.329667799853e-06       9.999624657598e-01      -1.218554961937e-09       4.312784992988e-09      -4.528607918665e-13      -4.077229064132e-08      -2.160302385255e-12      -4.206519399627e-08      -3.266266608878e-11 
       6.654612216834e-05      -3.160519286900e-02      -2.398157736577e-02      -2.398161547986e-02      -3.159114855557e-02       1.352560743762e-06       3.268064605084e-10      -1.791294031523e-02       5.699250287715e-01       5.695854110894e-01       4.796323095972e-02       8.446765672753e-06       9.999405455015e-01      -1.925290756594e-09       6.799605124068e-09      -7.147406961034e-13      -1.020994763728e-07      -5.418595963982e-12      -1.053286622748e-07      -8.179053006488e-11 
       8.377660425408e-05      -4.974916169338e-02      -3.800711119292e-02      -3.800720678661e-02      -4.971407182108e-02       2.143598003720e-06       5.179346184993e-10      -2.838912568168e-02       5.699026583696e-01       5.695664388833e-01       7.601441357322e-02       1.338674851831e-05       9.999058548799e-01      -3.036405156527e-09       1.068750064568e-08      -1.125302916857e-12      -2.552099736105e-07      -1.357982422266e-11      -2.632482570091e-07      -2.044400712501e-10 
       1.054684960093e-04      -7.799600493127e-02      -6.023438373582e-02      -6.023462328498e-02      -7.790860517317e-02       3.397207776156e-06       8.208246410237e-10      -4.499129789045e-02       5.698673125530e-01       5.695364254322e-01       1.204692465700e-01       2.121538108737e-05       9.998510004672e-01      -4.775002064326e-09       1.671668629184e-08      -1.764838867121e-12      -6.361053898197e-07      -3.398766624652e-11      -6.560084092724e-07      -5.095418529899e-10 
       1.327769697698e-04      -1.215058174039e-01      -9.545797594347e-02      -9.545857540200e-02      -1.212892027134e-01       5.383794821932e-06       1.300802389303e-09      -7.130031052267e-02       5.698115502306e-01       5.694889815715e-01       1.909171508040e-01       3.362114562911e-05       9.997643776367e-01      -7.474961261771e-09       2.594501873345e-08      -2.750854499338e-12      -1.578309646411e-06      -8.488619637678e-11      -1.627172239489e-06      -1.264198384888e-09 
