# Matter power spectrum P(k) at redshift z=1
# for k=1.02704e-05 to 32.5129 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027040460111e-05       1.992423519594e+01 
       1.292967334174e-05       2.486400219915e+01 
       1.627749433612e-05       3.102845039396e+01 
       2.049215126008e-05       3.872119343791e+01 
       2.579808996364e-05       4.832104654781e+01 
       3.247787103098e-05       6.030072625509e+01 
       4.088721716187e-05       7.524999758100e+01 
       5.147395670263e-05       9.390460888133e+01 
       6.480187213853e-05       1.171822181607e+02 
       8.158072356703e-05       1.462270390356e+02 
       1.027040460111e-04       1.824650248197e+02 
       1.292967334174e-04       2.276719054342e+02 
       1.627749433612e-04       2.840424076901e+02 
       2.049215126008e-04       3.543380040979e+02 
       2.579808996364e-04       4.419416694377e+02 
       3.247787103098e-04       5.510320270036e+02 
       4.088721716187e-04       6.867222538760e+02 
       5.147395670263e-04       8.552080180225e+02 
       6.480187213853e-04       1.063895745195e+03 
       8.158072356703e-04       1.321484506026e+03 
       1.027040460111e-03       1.637967072070e+03 
       1.292967334174e-03       2.024477293725e+03 
       1.627749433612e-03       2.492801102746e+03 
       2.049215126008e-03       3.054313610256e+03 
       2.579808996364e-03       3.718251660544e+03 
       3.247787103098e-03       4.489126789650e+03 
       4.088721716187e-03       5.363191654370e+03 
       5.147395670263e-03       6.323675182744e+03 
       6.480187213853e-03       7.335052103696e+03 
       8.158072356703e-03       8.336387482246e+03 
       1.027040460111e-02       9.235711598345e+03 
       1.292967334174e-02       9.905666187391e+03 
       1.627749433611e-02       1.018917937471e+04 
       2.049215116646e-02       9.929359557501e+03 
       2.579800785016e-02       9.046344805596e+03 
       3.246511512478e-02       7.663354160449e+03 
       4.041668831353e-02       6.234784207517e+03 
       4.733358203115e-02       5.382612561015e+03 
       5.231649737221e-02       4.967317124813e+03 
       5.639114613827e-02       4.710973710658e+03 
       6.001307078055e-02       4.518882616665e+03 
       6.338244270276e-02       4.352318140938e+03 
       6.660400000160e-02       4.192189564744e+03 
       6.974003110464e-02       4.028327618885e+03 
       7.283119977724e-02       3.855895359858e+03 
       7.590602507610e-02       3.673572813790e+03 
       7.898569899698e-02       3.482716099370e+03 
       8.208674858095e-02       3.286598112969e+03 
