# Matter power spectrum P(k) at redshift z=0
# for k=1.02704e-05 to 32.5129 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027040460111e-05       5.654609725378e+01 
       1.292967334174e-05       7.056545883012e+01 
       1.627749433612e-05       8.806048775282e+01 
       2.049215126008e-05       1.098928208363e+02 
       2.579808996364e-05       1.371376623860e+02 
       3.247787103098e-05       1.711364927703e+02 
       4.088721716187e-05       2.135629579712e+02 
       5.147395670263e-05       2.665049534273e+02 
       6.480187213853e-05       3.325663261608e+02 
       8.158072356703e-05       4.149936238367e+02 
       1.027040460111e-04       5.178320559611e+02 
       1.292967334174e-04       6.461179318437e+02 
       1.627749433612e-04       8.061129155819e+02 
       2.049215126008e-04       1.005586100620e+03 
       2.579808996364e-04       1.254146410922e+03 
       3.247787103098e-04       1.563622771031e+03 
       4.088721716187e-04       1.948478421621e+03 
       5.147395670263e-04       2.426234451745e+03 
       6.480187213853e-04       3.017860106008e+03 
       8.158072356703e-04       3.748064589040e+03 
       1.027040460111e-03       4.645343885391e+03 
       1.292967334174e-03       5.741455754331e+03 
       1.627749433612e-03       7.069918228452e+03 
       2.049215126008e-03       8.663174518553e+03 
       2.579808996364e-03       1.054771659187e+04 
       3.247787103098e-03       1.273674278049e+04 
       4.088721716187e-03       1.522019448860e+04 
       5.147395670263e-03       1.795122683049e+04 
       6.480187213853e-03       2.082983754750e+04 
       8.158072356703e-03       2.368458160864e+04 
       1.027040460111e-02       2.625494656307e+04 
       1.292967334174e-02       2.817992537485e+04 
       1.627749433611e-02       2.901241344153e+04 
       2.049215116646e-02       2.830245547983e+04 
       2.579800785016e-02       2.581442043597e+04 
       3.246511512478e-02       2.188696858808e+04 
       4.041668831353e-02       1.780883883186e+04 
       4.733358203115e-02       1.536824161811e+04 
       5.231649737221e-02       1.417818488436e+04 
       5.639114613827e-02       1.344443292203e+04 
       6.001307078055e-02       1.289511103232e+04 
       6.338244270276e-02       1.241872106025e+04 
       6.660400000160e-02       1.195977157008e+04 
       6.974003110464e-02       1.148866000612e+04 
       7.283119977724e-02       1.099097709252e+04 
       7.590602507610e-02       1.046273066233e+04 
       7.898569899698e-02       9.907831314592e+03 
       8.208674858095e-02       9.335777426840e+03 
       8.522260633924e-02       8.760198036210e+03 
       8.840458640874e-02       8.196676994109e+03 
       9.164251770047e-02       7.661038826934e+03 
       9.494516921436e-02       7.167484100164e+03 
       9.832054414073e-02       6.727078366542e+03 
       1.017760881375e-01       6.346489812901e+03 
       1.053188397078e-01       6.027568047899e+03 
       1.089555404368e-01       5.766557413499e+03 
       1.126927167241e-01       5.554670886979e+03 
       1.165367408481e-01       5.378510051374e+03 
       1.204938767884e-01       5.221145846920e+03 
       1.245703146676e-01       5.064303007766e+03 
       1.287721966453e-01       4.890934051797e+03 
       1.331056364168e-01       4.688644027649e+03 
       1.375767340127e-01       4.452705945368e+03 
       1.421915872951e-01       4.187239185781e+03 
       1.469563013454e-01       3.904948151261e+03 
       1.518769968115e-01       3.623949983576e+03 
       1.569598181978e-01       3.363253470692e+03 
       1.622109430303e-01       3.138184291526e+03 
       1.676365927985e-01       2.956336840674e+03 
       1.732430465524e-01       2.815858831822e+03 
       1.790366580218e-01       2.705654916048e+03 
       1.850238771154e-01       2.608952422672e+03 
       1.912112766516e-01       2.507224476149e+03 
       1.976055851763e-01       2.385533991636e+03 
       2.042137267350e-01       2.240849419645e+03 
       2.110428684973e-01       2.082751588806e+03 
       2.181004771879e-01       1.927852882310e+03 
       2.253943853717e-01       1.791130367020e+03 
       2.329328687856e-01       1.680567823005e+03 
       2.407247361172e-01       1.594624947594e+03 
       2.487794329341e-01       1.522208773557e+03 
       2.571071618684e-01       1.448751735319e+03 
       2.657190217222e-01       1.365178481480e+03 
       2.746271688880e-01       1.272344583425e+03 
       2.838450054603e-01       1.179704856218e+03 
       2.933873996976e-01       1.098415367161e+03 
       3.032709462092e-01       1.032155192394e+03 
       3.135142755060e-01       9.756693359094e+02 
       3.241384256123e-01       9.203032712717e+02 
       3.351672925634e-01       8.606973490984e+02 
