# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.08122e-05 to 34.227 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.081215615135e-05      -1.000329801402e-03      -7.505353732391e-04      -7.505354028245e-04      -1.000316380728e-03       5.158371463221e-08       9.718968122661e-12      -3.868564491042e-04       5.415262259323e-01       5.412952586972e-01       1.501070805649e-03       2.279802547624e-07       9.999983962373e-01      -3.831879338878e-11       1.689125818858e-10      -2.395998666814e-14      -9.572729892261e-11      -3.033894468449e-15      -9.834893338463e-11      -5.730812490356e-14 
       1.361169813522e-05      -1.585058803897e-03      -1.189517505655e-03      -1.189517579966e-03      -1.585025098916e-03       8.175459045367e-08       1.540353188704e-11      -6.131256197324e-04       5.415256997979e-01       5.412948084834e-01       2.379035159932e-03       3.613239712623e-07       9.999974582846e-01      -6.071429023571e-11       2.676354639208e-10      -3.796477243034e-14      -2.404178973536e-10      -7.620208184557e-15      -2.470010402055e-10      -1.439284707247e-13 
       1.713611268010e-05      -2.511251799777e-03      -1.885255652050e-03      -1.885255838699e-03      -2.511167160238e-03       1.295721351493e-07       2.441285745983e-11      -9.717371332779e-04       5.415247171292e-01       5.412939462026e-01       3.770511677398e-03       5.726591273744e-07       9.999959718055e-01      -9.621241459747e-11       4.239903520520e-10      -6.014687593670e-14      -6.037503041187e-10      -1.913907276106e-14      -6.202783070965e-10      -3.614403736291e-13 
       2.157308771235e-05      -3.977813923058e-03      -2.987922835276e-03      -2.987923304067e-03      -3.977601412912e-03       2.053576007964e-07       3.869167553012e-11      -1.540096026368e-03       5.415232918740e-01       5.412927116141e-01       5.975846608135e-03       9.076013451667e-07       9.999936161729e-01      -1.524253179601e-10       6.715193768086e-10      -9.526805332165e-14      -1.515946501601e-09      -4.806721819852e-14      -1.557430643296e-09      -9.075325236518e-13 
       2.715890833194e-05      -6.298757197002e-03      -4.735523309742e-03      -4.735524487089e-03      -6.298223800042e-03       3.254688247215e-07       6.132198201473e-11      -2.440878738999e-03       5.415210296593e-01       5.412907513368e-01       9.471048974178e-03       1.438445658904e-06       9.999898826090e-01      -2.414247192955e-10       1.063131766700e-09      -1.508432946929e-13      -3.805477080093e-09      -1.207052262442e-13      -3.909547644925e-09      -2.278167286719e-12 
       3.419103985567e-05      -9.968672975729e-03      -7.505260292909e-03      -7.505263249540e-03      -9.967334686434e-03       5.158304398621e-07       9.718810385767e-11      -3.868509543981e-03       5.415173911476e-01       5.412875908265e-01       1.501052649908e-02       2.279769101553e-06       9.999839663883e-01      -3.822446686379e-10       1.682052975611e-09      -2.387031870210e-13      -9.549338197819e-09      -3.030724853739e-13      -9.810234346824e-09      -5.716723964471e-12 
       4.304396892997e-05      -1.576371336128e-02      -1.189493965058e-02      -1.189494707422e-02      -1.576035773676e-02       8.175293859262e-07       1.540313299815e-10      -6.131117839509e-03       5.415116769103e-01       5.412826325499e-01       2.378989414843e-02       3.613155922880e-06       9.999745944358e-01      -6.048508578542e-10       2.658610733578e-09      -3.773980540718e-13      -2.394873860810e-08      -7.607766541652e-13      -2.460203889581e-08      -1.433681266388e-11 
       5.418914631042e-05      -2.489470023851e-02      -1.885196706228e-02      -1.885198569717e-02      -2.488629504414e-02       1.295679314422e-06       2.441194674832e-10      -9.717024837129e-03       5.415026101389e-01       5.412747599930e-01       3.770397139433e-02       5.726379590273e-06       9.999597514538e-01      -9.561981100846e-10       4.195423762639e-09      -5.958287362017e-13      -6.000511064444e-08      -1.908947622943e-12      -6.163802736177e-08      -3.592128531828e-11 
       6.822009333362e-05      -3.923259001809e-02      -2.987774733347e-02      -2.987779409221e-02      -3.921157126085e-02       2.053470131533e-06       3.868938452804e-10      -1.540009006354e-02       5.414882656669e-01       5.412622985930e-01       5.975558818441e-02       9.075482545140e-06       9.999362527957e-01      -1.509397947294e-09       6.603823069888e-09      -9.385563505207e-13      -1.501252972325e-07      -4.786947181200e-12      -1.541949256443e-07      -8.986849715927e-11 
       8.588400909266e-05      -6.162350138662e-02      -4.735151528309e-02      -4.735163253860e-02      -6.157107726682e-02       3.254422607723e-06       6.131614465340e-10      -2.440660412679e-02       5.414655731532e-01       5.412425665052e-01       9.470326507719e-02       1.438312539887e-05       9.998990742826e-01      -2.377057142850e-09       1.035298177900e-08      -1.473124723089e-12      -3.747188142077e-07      -1.199227652367e-11      -3.848145294530e-07      -2.243072414273e-10 
       1.081215615135e-04      -9.628521062032e-02      -7.504327466159e-02      -7.504356840839e-02      -9.615499878021e-02       5.157640852822e-06       9.717358865527e-10      -3.867962216071e-02       5.414297463308e-01       5.412113717289e-01       1.500871368168e-01       2.279435132748e-05       9.998403109932e-01      -3.729579462927e-09       1.612697575057e-08      -2.299014483103e-12      -9.318602380395e-07      -2.999607610365e-11      -9.567206355854e-07      -5.577806994834e-10 
       1.361169813522e-04      -1.491909266898e-01      -1.189260062940e-01      -1.189267410431e-01      -1.488696305214e-01       8.173627992781e-06       1.539946896554e-09      -6.129747287477e-02       5.413732598687e-01       5.411620781805e-01       2.378534820862e-01       3.612319638042e-05       9.997475777389e-01      -5.817299090237e-09       2.486599567000e-08      -3.555541148654e-12      -2.303837659604e-06      -7.484471152361e-11      -2.364334008253e-06      -1.378875018811e-09 
       1.713611268010e-04      -2.281151316163e-01      -1.884610790091e-01      -1.884629123208e-01      -2.273306237779e-01       1.295262140058e-05       2.440275374751e-09      -9.713598903020e-02       5.412845231894e-01       5.410843767697e-01       3.769258246415e-01       5.724288304843e-05       9.996015977747e-01      -8.989439591969e-09       3.771968085198e-08      -5.419970784684e-12      -5.643203398097e-06      -1.860260350637e-10      -5.787619165152e-06      -3.377038119571e-09 
       2.157308771235e-04      -3.414892394965e-01      -2.986309299802e-01      -2.986354867135e-01      -3.396055471281e-01       2.052426763362e-05       3.866645060139e-09      -1.539154962061e-01       5.411458389545e-01       5.409622973689e-01       5.972709734271e-01       9.070265415926e-05       9.993726774735e-01      -1.368795111285e-08       5.573544278302e-08      -8.073626934219e-12      -1.362167174481e-05      -4.595573185605e-10      -1.395573881029e-05      -8.149698242381e-09 
       2.715890833194e-04      -4.942396738917e-01      -4.731495342287e-01      -4.731607911738e-01      -4.898366163003e-01       3.251818968502e-05       6.125913948768e-09      -2.438540361249e-01       5.409307070908e-01       5.407713793047e-01       9.463215823477e-01       1.437016045421e-04       9.990158043396e-01      -2.036259957343e-08       7.892428587595e-08      -1.158957284921e-11      -3.212779311088e-05      -1.124506040503e-09      -3.286079431901e-05      -1.921480062498e-08 
       3.419103985567e-04      -6.777075622933e-01      -7.495239861619e-01      -7.495515311935e-01      -6.678521421097e-01       5.151168777156e-05       9.703270544069e-09      -3.862732796318e-01       5.406008433179e-01       5.404750567920e-01       1.499103062387e+00       2.276232184591e-04       9.984643842023e-01      -2.920319091082e-08       1.042028562336e-07      -1.567189338736e-11      -7.306698590791e-05      -2.711172248792e-09      -7.453280951098e-05      -4.367493213271e-08 
       4.304396892997e-04      -8.522893133405e-01      -1.187014230675e+00      -1.187080640781e+00      -8.317363505661e-01       8.157633891495e-05       1.536498917401e-08      -6.116967339570e-01       5.401034775856e-01       5.400203188801e-01       2.374161281561e+00       3.604475744751e-04       9.976233523070e-01      -3.956011882839e-08       1.222584720479e-07      -1.922955104120e-11      -1.570077756656e-04      -6.390139883864e-09      -1.594577112943e-04      -9.376876903518e-08 
