# Matter power spectrum P(k) at redshift z=0.5
# for k=1.08122e-05 to 34.227 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.081215615135e-05       2.727997496669e+01 
       1.361169813522e-05       3.404343138872e+01 
       1.713611268010e-05       4.248368515977e+01 
       2.157308771235e-05       5.301642937858e+01 
       2.715890833194e-05       6.616034222767e+01 
       3.419103985567e-05       8.256260879265e+01 
       4.304396892997e-05       1.030306738586e+02 
       5.418914631042e-05       1.285717809121e+02 
       6.822009333362e-05       1.604421332776e+02 
       8.588400909266e-05       2.002078684333e+02 
       1.081215615135e-04       2.498204360516e+02 
       1.361169813522e-04       3.117092549605e+02 
       1.713611268010e-04       3.888946002801e+02 
       2.157308771235e-04       4.851232584821e+02 
       2.715890833194e-04       6.050279828795e+02 
       3.419103985567e-04       7.543084455156e+02 
       4.304396892997e-04       9.399256175939e+02 
       5.418914631042e-04       1.170292847357e+03 
       6.822009333362e-04       1.455437539457e+03 
       8.588400909266e-04       1.807098824672e+03 
       1.081215615135e-03       2.238704639163e+03 
       1.361169813522e-03       2.765091550102e+03 
       1.713611268010e-03       3.401707036178e+03 
       2.157308771235e-03       4.163079706100e+03 
       2.715890833194e-03       5.060359490517e+03 
       3.419103985567e-03       6.097670262332e+03 
       4.304396892997e-03       7.267222186968e+03 
       5.418914631042e-03       8.542698137421e+03 
       6.822009333362e-03       9.871577525509e+03 
       8.588400909266e-03       1.116652439168e+04 
       1.081215615135e-02       1.229779957974e+04 
       1.361169813522e-02       1.308936640578e+04 
       1.713611267999e-02       1.333021678435e+04 
       2.157308720919e-02       1.282443179920e+04 
       2.715861769366e-02       1.150673416137e+04 
       3.415890958162e-02       9.616301590864e+03 
       4.217421013703e-02       7.854788512178e+03 
       4.856636155922e-02       6.911148387924e+03 
       5.328145313221e-02       6.429840939188e+03 
       5.722896706268e-02       6.118297357310e+03 
       6.078192349887e-02       5.876488615732e+03 
       6.411123996747e-02       5.660981910916e+03 
       6.730929854397e-02       5.449632830275e+03 
       7.043233154506e-02       5.230732537854e+03 
       7.351769777150e-02       4.998858745020e+03 
       7.659196523334e-02       4.753091536683e+03 
       7.967510433389e-02       4.495792968138e+03 
       8.278284217934e-02       4.231896158976e+03 
       8.592806912073e-02       3.967955727183e+03 
       8.912172204511e-02       3.711185347064e+03 
       9.237336212806e-02       3.468776823256e+03 
       9.569156564264e-02       3.246991804783e+03 
       9.908419575557e-02       3.050509986852e+03 
       1.025585959126e-01       2.881913070274e+03 
       1.061217299874e-01       2.741470936340e+03 
       1.097802853133e-01       2.626968552881e+03 
       1.135407492290e-01       2.533843381304e+03 
       1.174094663379e-01       2.455507723600e+03 
       1.213926815009e-01       2.383951187143e+03 
       1.254965721537e-01       2.310788221945e+03 
       1.297272726072e-01       2.228514523769e+03 
       1.340908923634e-01       2.132153622577e+03 
       1.385935300657e-01       2.020340045295e+03 
       1.432412844264e-01       1.895989695745e+03 
       1.480402632937e-01       1.765596274044e+03 
       1.529965919028e-01       1.637770673141e+03 
       1.581164212817e-01       1.521091696727e+03 
       1.634059377361e-01       1.421928467292e+03 
       1.688713743070e-01       1.342813905610e+03 
       1.745190250792e-01       1.281927016061e+03 
       1.803552632037e-01       1.233350097068e+03 
       1.863865634899e-01       1.189159936708e+03 
       1.926195304197e-01       1.140768288923e+03 
       1.990609324411e-01       1.082389594662e+03 
       2.057177434125e-01       1.013937895511e+03 
       2.125971921063e-01       9.409123374708e+02 
       2.197068207431e-01       8.710659620882e+02 
       2.270545536319e-01       8.107299598926e+02 
       2.346487771472e-01       7.626724582239e+02 
       2.424984325055e-01       7.251194334267e+02 
       2.506131231200e-01       6.922817352568e+02 
       2.590032387532e-01       6.576703635413e+02 
       2.676800992754e-01       6.181127475612e+02 
       2.766561216200e-01       5.749960540765e+02 
       2.859450145684e-01       5.331960539516e+02 
       2.955620073647e-01       4.973972026972e+02 
       3.055241199846e-01       4.682532293455e+02 
       3.158504853047e-01       4.427521952136e+02 
       3.265627366807e-01       4.169584031937e+02 
       3.376854788734e-01       3.891804399671e+02 
       3.492468663482e-01       3.613820637234e+02 
       3.612793214604e-01       3.363170723942e+02 
       3.738204370354e-01       3.148112064091e+02 
       3.869141250887e-01       2.948795969226e+02 
       4.006120986290e-01       2.747364116796e+02 
       4.149758110126e-01       2.546590965180e+02 
       4.300790343704e-01       2.361132903064e+02 
       4.460113473286e-01       2.192988394301e+02 
       4.628829436091e-01       2.032024094901e+02 
       4.808314046881e-01       1.872909448225e+02 
       5.000314709345e-01       1.722479884212e+02 
       5.207095298065e-01       1.581966516230e+02 
       5.431657836000e-01       1.444692399767e+02 
       5.678094230181e-01       1.312383139087e+02 
       5.952168560829e-01       1.185401030675e+02 
       6.262330338471e-01       1.060673047645e+02 
       6.621584509943e-01       9.384815257876e+01 
       7.051188791472e-01       8.165281915526e+01 
       7.588555501211e-01       6.931622898210e+01 
       8.305464881017e-01       5.656864615743e+01 
       9.350817326927e-01       4.318861288591e+01 
       1.102129198408e+00       2.955021463184e+01 
       1.363962091698e+00       1.791117604322e+01 
       1.715432713114e+00       1.034897037578e+01 
       2.159576191143e+00       5.909192101278e+00 
       2.718745272545e+00       3.345129068525e+00 
       3.422697511774e+00       1.879184817228e+00 
       4.308920874457e+00       1.048912357731e+00 
       5.424609986264e+00       5.822478027280e-01 
       6.829179360781e+00       3.215783124108e-01 
       8.597427438987e+00       1.768072325007e-01 
       1.082351987900e+01       9.675561546651e-02 
       1.362600422073e+01       5.272946450898e-02 
       1.715412297469e+01       2.864285095219e-02 
       2.159576132988e+01       1.547944678964e-02 
       2.718745272523e+01       8.347386545899e-03 
       3.422697511774e+01       4.478113289840e-03 
