# Matter power spectrum P(k) at redshift z=0.5
# for k=1.08122e-05 to 34.227 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.081215615135e-05       2.727997496669e+01 
       1.361169813522e-05       3.404343138872e+01 
       1.713611268010e-05       4.248368515977e+01 
       2.157308771235e-05       5.301642937858e+01 
       2.715890833194e-05       6.616034222767e+01 
       3.419103985567e-05       8.256260879265e+01 
       4.304396892997e-05       1.030306738586e+02 
       5.418914631042e-05       1.285717809121e+02 
       6.822009333362e-05       1.604421332776e+02 
       8.588400909266e-05       2.002078684333e+02 
       1.081215615135e-04       2.498204360516e+02 
       1.361169813522e-04       3.117092549605e+02 
       1.713611268010e-04       3.888682287132e+02 
       2.157308771235e-04       4.850818855436e+02 
       2.715890833194e-04       6.049630913591e+02 
       3.419103985567e-04       7.542067046265e+02 
       4.304396892997e-04       9.397661925248e+02 
       5.418914631042e-04       1.170043243306e+03 
       6.822009333362e-04       1.455047225073e+03 
       8.588400909266e-04       1.806489531093e+03 
       1.081215615135e-03       2.237755757851e+03 
       1.361169813522e-03       2.763618474446e+03 
       1.713611268010e-03       3.399429729194e+03 
       2.157308771235e-03       4.159578397467e+03 
       2.715890833194e-03       5.055014605180e+03 
       3.419103985567e-03       6.089585278063e+03 
       4.304396892997e-03       7.255132103393e+03 
       5.418914631042e-03       8.524875542449e+03 
       6.822009333362e-03       9.845763873383e+03 
       8.588400909266e-03       1.112994296303e+04 
       1.081215615135e-02       1.224735259344e+04 
       1.361169813522e-02       1.302219889434e+04 
       1.713611267999e-02       1.324491675217e+04 
       2.157308720919e-02       1.272306266463e+04 
       2.715861769366e-02       1.139710981176e+04 
       3.415890958162e-02       9.511612372207e+03 
       4.217421013703e-02       7.764989980462e+03 
       4.856636155922e-02       6.832282487623e+03 
       5.328145313221e-02       6.356683248895e+03 
       5.722896706268e-02       6.048568461174e+03 
       6.078192349887e-02       5.809368149829e+03 
       6.411123996747e-02       5.596508555560e+03 
       6.730929854397e-02       5.388427326130e+03 
       7.043233154506e-02       5.173817755204e+03 
       7.351769777150e-02       4.947506277233e+03 
       7.659196523334e-02       4.708666512673e+03 
       7.967510433389e-02       4.459604891896e+03 
       8.278284217934e-02       4.205051360176e+03 
       8.592806912073e-02       3.951236289607e+03 
       8.912172204511e-02       3.704967499974e+03 
       9.237336212806e-02       3.472983067433e+03 
       9.569156564264e-02       3.261096150460e+03 
       9.908419575557e-02       3.073588988621e+03 
       1.025585959126e-01       2.912740438922e+03 
       1.061217299874e-01       2.778642674625e+03 
       1.097802853133e-01       2.669060874874e+03 
       1.135407492290e-01       2.579587845911e+03 
       1.174094663379e-01       2.503972237683e+03 
       1.213926815009e-01       2.434703697941e+03 
       1.254965721537e-01       2.363999995160e+03 
       1.297272726072e-01       2.284969403570e+03 
       1.340908923634e-01       2.193112238737e+03 
       1.385935300657e-01       2.087283756279e+03 
       1.432412844264e-01       1.970266901080e+03 
       1.480402632937e-01       1.848083553288e+03 
       1.529965919028e-01       1.728624610320e+03 
       1.581164212817e-01       1.619671817550e+03 
       1.634059377361e-01       1.526922213218e+03 
       1.688713743070e-01       1.452542891940e+03 
       1.745190250792e-01       1.394752505784e+03 
       1.803552632037e-01       1.348110808618e+03 
       1.863865634899e-01       1.305445317323e+03 
       1.926195304197e-01       1.259073488076e+03 
       1.990609324411e-01       1.203895121756e+03 
       2.057177434125e-01       1.139927174208e+03 
       2.125971921063e-01       1.072127290263e+03 
       2.197068207431e-01       1.007375368850e+03 
       2.270545536319e-01       9.512066035757e+02 
       2.346487771472e-01       9.059592641008e+02 
       2.424984325055e-01       8.699820601930e+02 
       2.506131231200e-01       8.381661402435e+02 
       2.590032387532e-01       8.048715344359e+02 
       2.676800992754e-01       7.673964132005e+02 
       2.766561216200e-01       7.269928595016e+02 
       2.859450145684e-01       6.878695796016e+02 
       2.955620073647e-01       6.539938562301e+02 
       3.055241199846e-01       6.258530987953e+02 
       3.158504853047e-01       6.008461997666e+02 
       3.265627366807e-01       5.756495577396e+02 
       3.376854788734e-01       5.488712000202e+02 
       3.492468663482e-01       5.221689304998e+02 
       3.612793214604e-01       4.978089215879e+02 
       3.738204370354e-01       4.764274530516e+02 
       3.869141250887e-01       4.563687284651e+02 
       4.006120986290e-01       4.361787181120e+02 
       4.149758110126e-01       4.160867906127e+02 
       4.300790343704e-01       3.972510141108e+02 
       4.460113473286e-01       3.797974076226e+02 
       4.628829436091e-01       3.629035399196e+02 
       4.808314046881e-01       3.461409131960e+02 
       5.000314709345e-01       3.300131966220e+02 
       5.207095298065e-01       3.145743590089e+02 
       5.431657836000e-01       2.992820336499e+02 
       5.678094230181e-01       2.842156354516e+02 
       5.952168560829e-01       2.693296509813e+02 
       6.262330338471e-01       2.543068452645e+02 
       6.621584509943e-01       2.390250901114e+02 
       7.051188791472e-01       2.231059747104e+02 
       7.588555501211e-01       2.060773692313e+02 
       8.305464881017e-01       1.871358804228e+02 
       9.350817326927e-01       1.650480158473e+02 
       1.102129198408e+00       1.386039407713e+02 
       1.363962091698e+00       1.098419893731e+02 
       1.715432713114e+00       8.425031242409e+01 
       2.159576191143e+00       6.309107299392e+01 
       2.718745272545e+00       4.591398188902e+01 
       3.422697511774e+00       3.235261801070e+01 
       4.308920874457e+00       2.205523044632e+01 
       5.424609986264e+00       1.457859960991e+01 
       6.829179360781e+00       9.381333407573e+00 
       8.597427438987e+00       5.903516817899e+00 
       1.082351987900e+01       3.648672815236e+00 
       1.362600422073e+01       2.223369511239e+00 
       1.715412297469e+01       1.340146458167e+00 
       2.159576132988e+01       8.011219370700e-01 
       2.718745272523e+01       4.759348757673e-01 
       3.422697511774e+01       2.814416309440e-01 
