# Matter power spectrum P(k) at redshift z=1
# for k=1.03337e-05 to 32.7125 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.033368352207e-05       1.975563937819e+01 
       1.300933678337e-05       2.465360565790e+01 
       1.637778466717e-05       3.076588986570e+01 
       2.061840930640e-05       3.839353608946e+01 
       2.595703942660e-05       4.791214933421e+01 
       3.267797654909e-05       5.979045046255e+01 
       4.113913508366e-05       7.461321039752e+01 
       5.179110257605e-05       9.310993921123e+01 
       6.520113513783e-05       1.161905205043e+02 
       8.208336590284e-05       1.449894510624e+02 
       1.033368352207e-04       1.809205723494e+02 
       1.300933678337e-04       2.257444735672e+02 
       1.637778466717e-04       2.816371918466e+02 
       2.061840930640e-04       3.513362938593e+02 
       2.595703942660e-04       4.381953977991e+02 
       3.267797654909e-04       5.463562602344e+02 
       4.113913508366e-04       6.808859468890e+02 
       5.179110257605e-04       8.479224835191e+02 
       6.520113513783e-04       1.054800388851e+03 
       8.208336590284e-04       1.310129517235e+03 
       1.033368352207e-03       1.623792832752e+03 
       1.300933678337e-03       2.006790111856e+03 
       1.637778466717e-03       2.470744930104e+03 
       2.061840930640e-03       3.026840358470e+03 
       2.595703942660e-03       3.684095704061e+03 
       3.267797654909e-03       4.446792495703e+03 
       4.113913508366e-03       5.310964236022e+03 
       5.179110257605e-03       6.259663211649e+03 
       6.520113513783e-03       7.257299817197e+03 
       8.208336590284e-03       8.243058394606e+03 
       1.033368352207e-02       9.125395425953e+03 
       1.300933678337e-02       9.777840331225e+03 
       1.637778466716e-02       1.004502685570e+04 
       2.061840919132e-02       9.773059575282e+03 
       2.595694349972e-02       8.886749109119e+03 
       3.266367986133e-02       7.514748472690e+03 
       4.063080522947e-02       6.114720431739e+03 
       4.748517185810e-02       5.291501107811e+03 
       5.243353926368e-02       4.888491423572e+03 
       5.649202604874e-02       4.638253335746e+03 
       6.010526863424e-02       4.449879028512e+03 
       6.346961738305e-02       4.286024048920e+03 
       6.668822278042e-02       4.128130078293e+03 
       6.982260447445e-02       3.966389591408e+03 
       7.291301036319e-02       3.796097035662e+03 
       7.598771560051e-02       3.616063522447e+03 
       7.906776022448e-02       3.427668916915e+03 
       8.216957214761e-02       3.234195531563e+03 
       8.530651689248e-02       3.040190479919e+03 
       8.848986208704e-02       2.850834299102e+03 
       9.172940368900e-02       2.671337632866e+03 
       9.503388700418e-02       2.506284479219e+03 
       9.841129801999e-02       2.359222496957e+03 
       1.018690698400e-01       2.232219090686e+03 
       1.054142317991e-01       2.125678902130e+03 
       1.090535188134e-01       2.038277875305e+03 
       1.127934524749e-01       1.966944704549e+03 
       1.166404016494e-01       1.907172455016e+03 
       1.206006279517e-01       1.853385074273e+03 
       1.246803199275e-01       1.799610241650e+03 
       1.288856187521e-01       1.740426556753e+03 
       1.332226375836e-01       1.671924746124e+03 
       1.376974762583e-01       1.592722071233e+03 
       1.423162327153e-01       1.504352665069e+03 
       1.470850123443e-01       1.410997134078e+03 
       1.520099363180e-01       1.318478194121e+03 
       1.570971498937e-01       1.232905691672e+03 
       1.623528316142e-01       1.158978309726e+03 
       1.677832043092e-01       1.098982590939e+03 
       1.733945487740e-01       1.052158296576e+03 
       1.791932209949e-01       1.014817690347e+03 
       1.851856737759e-01       9.816108489580e+02 
       1.913784836200e-01       9.467107715492e+02 
       1.977783837209e-01       9.056044176015e+02 
       2.043923039318e-01       8.574891161251e+02 
       2.112274186113e-01       8.055139891018e+02 
       2.182912033019e-01       7.548748597595e+02 
       2.255915012929e-01       7.101126402308e+02 
       2.331366012630e-01       6.735770621087e+02 
       2.409353274127e-01       6.446316809143e+02 
       2.489971437946e-01       6.197653756790e+02 
       2.573322749649e-01       5.945401767568e+02 
       2.659518456333e-01       5.663064782399e+02 
       2.748680427313e-01       5.354455431495e+02 
       2.840943043039e-01       5.048584433152e+02 
       2.936455409231e-01       4.778712890425e+02 
       3.035383970498e-01       4.554478727894e+02 
       3.137915620546e-01       4.359376862176e+02 
       3.244261436862e-01       4.167535312969e+02 
       3.354661209434e-01       3.963841632065e+02 
       3.469388990165e-01       3.757278337146e+02 
       3.588759969111e-01       3.565995177296e+02 
       3.713139095537e-01       3.398352398764e+02 
       3.842952022167e-01       3.244245993114e+02 
       3.978699184466e-01       3.090527391074e+02 
       4.120974173288e-01       2.936380010053e+02 
       4.270488083781e-01       2.790633993484e+02 
       4.428102335201e-01       2.656334352170e+02 
       4.594873743567e-01       2.528064533069e+02 
       4.772117726053e-01       2.400898529375e+02 
       4.961499036217e-01       2.277934359327e+02 
       5.165165541329e-01       2.161294192543e+02 
       5.385951576882e-01       2.046671980397e+02 
       5.627698171338e-01       1.933811491235e+02 
       5.895778483540e-01       1.823277358188e+02 
       6.198002618022e-01       1.712595996226e+02 
       6.546267033571e-01       1.601064043430e+02 
       6.959769273854e-01       1.486283222771e+02 
       7.471771155173e-01       1.365462427875e+02 
       8.144981957623e-01       1.233819619580e+02 
       9.107947306635e-01       1.084204332812e+02 
       1.062464526139e+00       9.091237749547e+01 
       1.304911853485e+00       7.181969927954e+01 
       1.639560076218e+00       5.482989369415e+01 
       2.064017775393e+00       4.108990308290e+01 
       2.598444159643e+00       3.009731450685e+01 
       3.271247383546e+00       2.144209670698e+01 
