# Matter power spectrum P(k) at redshift z=1
# for k=1.03337e-05 to 32.7125 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.033368352207e-05       1.975563937819e+01 
       1.300933678337e-05       2.465360565790e+01 
       1.637778466717e-05       3.076588986570e+01 
       2.061840930640e-05       3.839353608946e+01 
       2.595703942660e-05       4.791214933421e+01 
       3.267797654909e-05       5.979045046255e+01 
       4.113913508366e-05       7.461321039752e+01 
       5.179110257605e-05       9.310993921123e+01 
       6.520113513783e-05       1.161905205043e+02 
       8.208336590284e-05       1.449894510624e+02 
       1.033368352207e-04       1.809205723494e+02 
       1.300933678337e-04       2.257444735672e+02 
       1.637778466717e-04       2.816508222353e+02 
       2.061840930640e-04       3.513576796660e+02 
       2.595703942660e-04       4.382289442464e+02 
       3.267797654909e-04       5.464088643294e+02 
       4.113913508366e-04       6.809683923975e+02 
       5.179110257605e-04       8.480515978848e+02 
       6.520113513783e-04       1.055002355892e+03 
       8.208336590284e-04       1.310444921389e+03 
       1.033368352207e-03       1.624284259356e+03 
       1.300933678337e-03       2.007553442976e+03 
       1.637778466717e-03       2.471925795166e+03 
       2.061840930640e-03       3.028657396094e+03 
       2.595703942660e-03       3.686872238503e+03 
       3.267797654909e-03       4.450997472173e+03 
       4.113913508366e-03       5.317261270782e+03 
       5.179110257605e-03       6.268962070411e+03 
       6.520113513783e-03       7.270796767654e+03 
       8.208336590284e-03       8.262237272366e+03 
       1.033368352207e-02       9.151939918522e+03 
       1.300933678337e-02       9.813362141244e+03 
       1.637778466716e-02       1.009045953932e+04 
       2.061840919132e-02       9.827550876240e+03 
       2.595694349972e-02       8.946211377773e+03 
       3.266367986133e-02       7.571468981347e+03 
       4.063080522947e-02       6.161466950552e+03 
       4.748517185810e-02       5.329788619214e+03 
       5.243353926368e-02       4.922451404215e+03 
       5.649202604874e-02       4.669808531072e+03 
       6.010526863424e-02       4.479820647925e+03 
       6.346961738305e-02       4.314511336924e+03 
       6.668822278042e-02       4.154896082579e+03 
       6.982260447445e-02       3.990863552754e+03 
       7.291301036319e-02       3.817506534119e+03 
       7.598771560051e-02       3.633537443382e+03 
       7.906776022448e-02       3.440341154864e+03 
       8.216957214761e-02       3.241305931483e+03 
       8.530651689248e-02       3.041173093217e+03 
       8.848986208704e-02       2.845383984041e+03 
       9.172940368900e-02       2.659449016057e+03 
       9.503388700418e-02       2.488254702858e+03 
       9.841129801999e-02       2.335626316077e+03 
       1.018690698400e-01       2.203851310792e+03 
       1.054142317991e-01       2.093475120388e+03 
       1.090535188134e-01       2.003216777014e+03 
       1.127934524749e-01       1.929930163182e+03 
       1.166404016494e-01       1.868912642442e+03 
       1.206006279517e-01       1.814272932844e+03 
       1.246803199275e-01       1.759632570230e+03 
       1.288856187521e-01       1.699136499562e+03 
       1.332226375836e-01       1.628499461275e+03 
       1.376974762583e-01       1.546129817351e+03 
       1.423162327153e-01       1.453591895197e+03 
       1.470850123443e-01       1.355351020994e+03 
       1.520099363180e-01       1.257709180910e+03 
       1.570971498937e-01       1.167341635755e+03 
       1.623528316142e-01       1.089440731142e+03 
       1.677832043092e-01       1.026603687396e+03 
       1.733945487740e-01       9.781055360056e+02 
       1.791932209949e-01       9.399845447119e+02 
       1.851856737759e-01       9.063905971461e+02 
       1.913784836200e-01       8.708673619089e+02 
       1.977783837209e-01       8.283416855177e+02 
       2.043923039318e-01       7.778351901380e+02 
       2.112274186113e-01       7.228023765964e+02 
       2.182912033019e-01       6.690494949503e+02 
       2.255915012929e-01       6.217147259072e+02 
       2.331366012630e-01       5.835180304953e+02 
       2.409353274127e-01       5.538198217065e+02 
       2.489971437946e-01       5.286888186391e+02 
       2.573322749649e-01       5.030729800037e+02 
       2.659518456333e-01       4.739046881642e+02 
       2.748680427313e-01       4.415756035736e+02 
       2.840943043039e-01       4.094099906225e+02 
       2.936455409231e-01       3.812814773801e+02 
       3.035383970498e-01       3.583626547992e+02 
       3.137915620546e-01       3.387726493096e+02 
       3.244261436862e-01       3.194914418379e+02 
       3.354661209434e-01       2.987221037232e+02 
       3.469388990165e-01       2.775098844195e+02 
       3.588759969111e-01       2.580212390039e+02 
       3.713139095537e-01       2.412878615885e+02 
       3.842952022167e-01       2.261248078463e+02 
       3.978699184466e-01       2.109503618641e+02 
       4.120974173288e-01       1.956616745473e+02 
       4.270488083781e-01       1.813478754788e+02 
       4.428102335201e-01       1.684084430110e+02 
       4.594873743567e-01       1.561948066774e+02 
       4.772117726053e-01       1.441042707495e+02 
       4.961499036217e-01       1.325431771074e+02 
       5.165165541329e-01       1.218115235851e+02 
       5.385951576882e-01       1.113904531635e+02 
       5.627698171338e-01       1.012838542591e+02 
       5.895778483540e-01       9.162043842993e+01 
       6.198002618022e-01       8.214683757664e+01 
       6.546267033571e-01       7.287662806818e+01 
       6.959769273854e-01       6.364971596193e+01 
       7.471771155173e-01       5.435268955068e+01 
       8.144981957623e-01       4.478501453778e+01 
       9.107947306635e-01       3.475693535834e+01 
       1.062464526139e+00       2.439512084415e+01 
       1.304911853485e+00       1.509294161770e+01 
       1.639560076218e+00       8.771195504142e+00 
       2.064017775393e+00       5.027888772246e+00 
       2.598444159643e+00       2.858249064329e+00 
       3.271247383546e+00       1.612669615068e+00 
