# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.03337e-05 to 32.7125 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.033368352207e-05      -7.947818689284e-04      -5.962568938949e-04      -5.962569168152e-04      -7.947732526630e-04       2.891512487151e-08       7.177075387241e-12      -4.963193000579e-04       5.788525187153e-01       5.784963342791e-01       1.192513833630e-03       2.105859771970e-07       9.999985517310e-01      -4.864210779618e-11       1.623916101528e-10      -1.433986245349e-14      -6.221411602786e-11      -3.247257404789e-15      -6.417804107967e-11      -4.982925856798e-14 
       1.300933678337e-05      -1.259432734151e-03      -9.450027731654e-04      -9.450028307363e-04      -1.259411093998e-03       4.582730870533e-08       1.137485285300e-11      -7.866123919066e-04       5.788519498718e-01       5.784958528940e-01       1.890005661473e-03       3.337560054378e-07       9.999977047003e-01      -7.708321454412e-11       2.573209959903e-10      -2.272368479796e-14      -1.562559785620e-10      -8.156193965930e-15      -1.611879920326e-10      -1.251502600052e-13 
       1.637778466717e-05      -1.995534995573e-03      -1.497726756096e-03      -1.497726900699e-03      -1.995480649420e-03       7.263137188449e-08       1.802793357627e-11      -1.246694979976e-03       5.788510691012e-01       5.784951107604e-01       2.995453801397e-03       5.289669010608e-07       9.999963623237e-01      -1.221451656902e-10       4.076947845226e-10      -3.600591428750e-14      -3.924222314416e-10      -2.048554835303e-14      -4.048065011970e-10      -3.143028052028e-13 
       2.061840930640e-05      -3.161376105083e-03      -2.373733091278e-03      -2.373733454469e-03      -3.161239639445e-03       1.151129469010e-07       2.857222089623e-11      -1.975874618184e-03       5.788497908324e-01       5.784940520756e-01       4.747466908938e-03       8.383539990263e-07       9.999942349943e-01      -1.935280341996e-10       6.458225800680e-10      -5.704369502520e-14      -9.854215402691e-10      -5.145011994502e-14      -1.016511999315e-09      -7.892525715103e-13 
       2.595703942660e-05      -5.007093367798e-03      -3.762102488861e-03      -3.762103401037e-03      -5.006750768154e-03       1.824410655203e-07       4.528380277878e-11      -3.131539716357e-03       5.788475657187e-01       5.784921749570e-01       7.524206802075e-03       1.328697045010e-06       9.999908634317e-01      -3.065731168402e-10       1.022730656067e-09      -9.035332196578e-14      -2.474077917168e-09      -1.292088351442e-13      -2.552103352552e-09      -1.981555240129e-12 
       3.267797654909e-05      -7.927300685769e-03      -5.962503651068e-03      -5.962505941837e-03      -7.926440876043e-03       2.891484288467e-07       7.176955097649e-11      -4.963129966268e-03       5.788440880284e-01       5.784892482379e-01       1.192501188367e-02       2.105831353996e-06       9.999855200778e-01      -4.855136219301e-10       1.618838128665e-09      -1.430627269713e-13      -6.209873149505e-09      -3.244428865591e-13      -6.405582854468e-09      -4.973631753698e-12 
       4.113913508366e-05      -1.254283331670e-02      -9.449863356264e-03      -9.449869108332e-03      -1.254067646413e-02       4.582659631123e-07       1.137463215407e-10      -7.865965289327e-03       5.788385525640e-01       5.784845845129e-01       1.889973821666e-02       3.337488996303e-06       9.999770551182e-01      -7.685504283998e-10       2.560466898299e-09      -2.263938046483e-13      -1.557968755650e-08      -8.145087177987e-13      -1.607018584209e-08      -1.247805241283e-11 
       5.179110257605e-05      -1.982618072735e-02      -1.497685276127e-02      -1.497686720148e-02      -1.982077429611e-02       7.262940837569e-07       1.802729282424e-10      -1.246654983677e-02       5.788297829004e-01       5.784771930320e-01       2.995373440296e-02       5.289491376538e-06       9.999636471314e-01      -1.215733989239e-09       4.044988022213e-09      -3.579442216646e-13      -3.905964906811e-08      -2.044120404526e-12      -4.028736396943e-08      -3.128325481255e-11 
       6.520113513783e-05      -3.129000976893e-02      -2.373628166845e-02      -2.373631790692e-02      -3.127647446115e-02       1.151076073136e-06       2.857069485940e-10      -1.975773576750e-02       5.788158923543e-01       5.784654782347e-01       4.747263581384e-02       8.383097795253e-06       9.999424164550e-01      -1.920951819241e-09       6.378141227328e-09      -5.651353231299e-13      -9.781656881920e-08      -5.127305939421e-12      -1.008831444603e-07      -7.834096786902e-11 
       8.208336590284e-05      -4.926055586215e-02      -3.761839170497e-02      -3.761848259836e-02      -4.922673495758e-02       1.824276766921e-06       4.527992088804e-10      -3.131286244698e-02       5.787939234276e-01       5.784469364571e-01       7.523696519672e-02       1.328586021768e-05       9.999088167502e-01      -3.029845349922e-09       1.002692208136e-08      -8.902599609737e-13      -2.445271340128e-07      -1.285035578925e-11      -2.521615747788e-07      -1.958359545676e-10 
