# Matter power spectrum P(k) at redshift z=0.5
# for k=1.07343e-05 to 33.9798 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.073428191381e-05       2.808592889744e+01 
       1.351366027865e-05       3.504919921607e+01 
       1.701269033115e-05       4.373881511763e+01 
       2.141770818087e-05       5.458273891349e+01 
       2.696329709129e-05       6.811497730058e+01 
       3.394477989398e-05       8.500183798785e+01 
       4.273394600629e-05       1.060746266004e+02 
       5.379885057356e-05       1.323703528232e+02 
       6.772874011237e-05       1.651823546219e+02 
       8.526543203626e-05       2.061230756673e+02 
       1.073428191381e-04       2.572016950669e+02 
       1.351366027865e-04       3.209195517355e+02 
       1.701269033115e-04       4.003864442422e+02 
       2.141770818087e-04       4.994604338232e+02 
       2.696329709129e-04       6.229122625876e+02 
       3.394477989398e-04       7.766121686825e+02 
       4.273394600629e-04       9.677309750787e+02 
       5.379885057356e-04       1.204938475967e+03 
       6.772874011237e-04       1.498572925620e+03 
       8.526543203626e-04       1.860746179055e+03 
       1.073428191381e-03       2.305326963860e+03 
       1.351366027865e-03       2.847661311280e+03 
       1.701269033115e-03       3.503763155274e+03 
       2.141770818087e-03       4.288756075852e+03 
       2.696329709129e-03       5.214359634234e+03 
       3.394477989398e-03       6.285146785755e+03 
       4.273394600629e-03       7.493524559445e+03 
       5.379885057356e-03       8.812934339624e+03 
       6.772874011237e-03       1.018990446485e+04 
       8.526543203626e-03       1.153518071416e+04 
       1.073428191381e-02       1.271581953617e+04 
       1.351366027865e-02       1.355057565167e+04 
       1.701269033106e-02       1.382161825943e+04 
       2.141770778122e-02       1.332375287106e+04 
       2.696305254804e-02       1.198253422683e+04 
       3.391644620622e-02       1.003322433861e+04 
       4.193258563673e-02       8.187692984976e+03 
       4.839767343096e-02       7.185194751463e+03 
       5.314764988930e-02       6.677553096499e+03 
       5.711197855395e-02       6.351184359937e+03 
       6.067414539858e-02       6.099068428878e+03 
       6.400883031278e-02       5.875235602468e+03 
       6.721003170067e-02       5.656241232094e+03 
       7.033478390912e-02       5.429684554212e+03 
       7.342088732631e-02       5.189796988674e+03 
       7.649517236332e-02       4.935424731205e+03 
       7.957777453421e-02       4.669038169849e+03 
       8.268452947487e-02       4.395593346080e+03 
       8.582840130682e-02       4.121851940528e+03 
       8.902037836172e-02       3.855326184995e+03 
       9.227005838470e-02       3.603464700412e+03 
       9.558604400244e-02       3.372794752572e+03 
       9.897621754119e-02       3.168231813503e+03 
       1.024479364356e-01       2.992544928231e+03 
       1.060081747710e-01       2.846063371087e+03 
       1.096636272992e-01       2.726577175886e+03 
       1.134207866930e-01       2.629438381286e+03 
       1.172860013280e-01       2.547873250929e+03 
       1.212655186626e-01       2.473621109398e+03 
       1.253655178476e-01       2.397938296098e+03 
       1.295921342445e-01       2.313055006296e+03 
       1.339514779042e-01       2.213664666610e+03 
       1.384496476320e-01       2.098237176550e+03 
       1.430927419926e-01       1.969648900223e+03 
       1.478868684189e-01       1.834556691987e+03 
       1.528381514737e-01       1.701812011090e+03 
       1.579527412367e-01       1.580385382051e+03 
       1.632368227407e-01       1.476953099850e+03 
       1.686966273548e-01       1.394297710776e+03 
       1.743384469897e-01       1.330660759874e+03 
       1.801686519896e-01       1.280025796969e+03 
       1.861937135680e-01       1.234209869355e+03 
       1.924202316384e-01       1.184302626194e+03 
       1.988549688965e-01       1.124137061192e+03 
       2.055048920266e-01       1.053454720208e+03 
       2.123772209364e-01       9.777818645437e+02 
       2.194794869923e-01       9.051531604060e+02 
       2.268196013225e-01       8.422314545833e+02 
       2.344059344177e-01       7.920129455705e+02 
       2.422474084789e-01       7.528181335833e+02 
       2.503536042824e-01       7.187339720741e+02 
       2.587348847645e-01       6.829935877233e+02 
       2.674025381127e-01       6.421483596215e+02 
       2.763689439272e-01       5.975019942835e+02 
       2.856477670462e-01       5.540379932135e+02 
       2.952541849881e-01       5.166976215997e+02 
       3.052051567676e-01       4.863028756999e+02 
       3.155197432455e-01       4.598129277095e+02 
       3.262194924026e-01       4.331329706049e+02 
       3.373289073130e-01       4.043868701971e+02 
       3.488760206217e-01       3.755214973382e+02 
       3.608931077237e-01       3.494202460053e+02 
       3.734175827071e-01       3.270318140278e+02 
       3.864931381610e-01       3.063580049125e+02 
       4.001712148369e-01       2.854906146949e+02 
       4.145129242022e-01       2.646506050626e+02 
       4.295916032107e-01       2.453630159975e+02 
       4.454962680570e-01       2.278872815794e+02 
       4.623363729377e-01       2.111948604654e+02 
       4.802485077558e-01       1.946881960429e+02 
       4.994060533556e-01       1.790532102394e+02 
       5.200334847215e-01       1.644671312868e+02 
       5.424282325173e-01       1.502290034841e+02 
       5.669953281543e-01       1.364916015745e+02 
       5.943046751958e-01       1.233173754352e+02 
       6.251905398209e-01       1.103792724782e+02 
       6.609347973435e-01       9.770870818309e+01 
       7.036284025853e-01       8.506503648970e+01 
       7.569419664102e-01       7.228556646548e+01 
       8.278982991043e-01       5.908771809668e+01 
       9.310408192884e-01       4.523786166686e+01 
       1.095520803398e+00       3.108523386565e+01 
       1.354277544331e+00       1.890157716160e+01 
       1.703048942808e+00       1.093295919057e+01 
       2.143981625149e+00       6.248472753792e+00 
       2.699112859746e+00       3.540937976666e+00 
       3.397981768398e+00       1.991432178527e+00 
       4.277805597050e+00       1.112654241265e+00 
       5.385438172841e+00       6.180915291232e-01 
       6.779864969436e+00       3.415947929055e-01 
       8.535344298556e+00       1.878648451057e-01 
       1.074536183586e+01       1.028714319890e-01 
       1.352760907409e+01       5.607925805173e-02 
       1.703025082419e+01       3.046047498203e-02 
       2.143981553181e+01       1.646721192133e-02 
       2.699112859717e+01       8.878476150549e-03 
       3.397981768398e+01       4.765298712408e-03 
