# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.07343e-05 to 33.9798 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.073428191381e-05      -8.047477015727e-04      -6.037400297937e-04      -6.037400546959e-04      -8.047385808174e-04       3.755439252246e-08       8.967534065288e-12      -4.127144703842e-04       5.646465925580e-01       5.643125886676e-01       1.207480109392e-03       2.128628409715e-07       9.999984677499e-01      -4.843638764304e-11       1.813964784715e-10      -2.150800767144e-14      -6.681835226962e-11      -3.566817147878e-15      -6.896110214905e-11      -5.353990371670e-14 
       1.351366027865e-05      -1.275216643525e-03      -9.568627101251e-04      -9.568627726744e-04      -1.275193736394e-03       5.951966098011e-08       1.421258427465e-11      -6.541077627636e-04       5.646460186686e-01       5.643121000235e-01       1.913725545349e-03       3.373645606037e-07       9.999975716044e-01      -7.675304335300e-11       2.874332804948e-10      -3.408191143445e-14      -1.678192229469e-10      -8.958991649297e-15      -1.732003285203e-10      -1.344693404983e-13 
       1.701269033115e-05      -2.020523462655e-03      -1.516523369152e-03      -1.516523526257e-03      -2.020465935177e-03       9.433216837488e-08       2.252539557395e-11      -1.036689498669e-03       5.646451152040e-01       5.643113315911e-01       3.033047052515e-03       5.346860168993e-07       9.999961513894e-01      -1.216260604901e-10       4.553984886915e-10      -5.400116498027e-14      -4.214597261215e-10      -2.250160374295e-14      -4.349714959445e-10      -3.377047101610e-13 
       2.141770818087e-05      -3.200910931185e-03      -2.403522978667e-03      -2.403523373264e-03      -3.200766476651e-03       1.495062003756e-07       3.570017254634e-11      -1.643038509384e-03       5.646436672539e-01       5.643100976657e-01       4.807046746528e-03       8.474183042989e-07       9.999939007020e-01      -1.927058562116e-10       7.213747986627e-10      -8.554835247538e-14      -1.058327766871e-09      -5.651326350749e-14      -1.092248626220e-09      -8.480092234389e-13 
       2.696329709129e-05      -5.069579693394e-03      -3.809315624765e-03      -3.809316615811e-03      -5.069217048197e-03       2.369506701102e-07       5.658076975093e-11      -2.604031412862e-03       5.646413983510e-01       5.643081678005e-01       7.618633231623e-03       1.343062588177e-06       9.999903334010e-01      -3.052667608410e-10       1.142340025571e-09      -1.354902864238e-13      -2.657081379258e-09      -1.419230733099e-13      -2.742207839645e-09      -2.129041189595e-12 
       3.394477989398e-05      -8.025902213747e-03      -6.037329211274e-03      -6.037331700066e-03      -8.024992115532e-03       3.755396168464e-07       8.967391249390e-11      -4.127088647753e-03       5.646377818587e-01       5.643050880067e-01       1.207466340013e-02       2.128598516393e-06       9.999846802947e-01      -4.834284531551e-10       1.808073022385e-09      -2.144999170760e-13      -6.669046457095e-09      -3.563607370695e-13      -6.882560081196e-09      -5.343686532116e-12 
       4.273394600629e-05      -1.269802228653e-02      -9.568448672733e-03      -9.568454921963e-03      -1.269573933034e-02       5.951853744409e-07       1.421222842569e-10      -6.540936930983e-03       5.646320611235e-01       5.643002165000e-01       1.913690984393e-02       3.373570512759e-06       9.999757245622e-01      -7.652277426138e-10       2.859548252921e-09      -3.393631507509e-13      -1.673103889095e-08      -8.946173496987e-13      -1.726613756282e-08      -1.340594241710e-11 
       5.379885057356e-05      -2.006942543658e-02      -1.516478509166e-02      -1.516480077950e-02      -2.006370316310e-02       9.432934306894e-07       2.252453369921e-10      -1.036654136893e-02       5.646229997757e-01       5.642924976726e-01       3.032960155900e-02       5.346671675489e-06       9.999615392643e-01      -1.210402453290e-09       4.516906491762e-09      -5.363596950253e-13      -4.194360542118e-08      -2.245134380889e-12      -4.328287323071e-08      -3.360747745706e-11 
       6.772874011237e-05      -3.166874735353e-02      -2.403410254239e-02      -2.403414191039e-02      -3.165442232011e-02       1.494989594708e-06       3.569814962795e-10      -1.642949686175e-02       5.646086547828e-01       5.642802718168e-01       4.806828382077e-02       8.473709647073e-06       9.999390779255e-01      -1.912340769657e-09       7.120846651466e-09      -8.463311591545e-13      -1.050286096827e-07      -5.631259878680e-12      -1.083734586883e-07      -8.415323185962e-11 
       8.526543203626e-05      -4.984392678281e-02      -3.809032587655e-02      -3.809042461261e-02      -4.980813685859e-02       2.369324169422e-06       5.657565590611e-10      -2.603808494881e-02       5.645859615103e-01       5.642609158879e-01       7.618084922521e-02       1.342943838186e-05       9.999035309990e-01      -3.015797560184e-09       1.119097280634e-08      -1.331996340640e-12      -2.625157671376e-07      -1.411234964706e-11      -2.708414986458e-07      -2.103330743177e-10 
       1.073428191381e-04      -7.813142695268e-02      -6.036618904659e-02      -6.036643645972e-02      -7.804228901090e-02       3.754938830413e-06       8.966118150032e-10      -4.126529615292e-02       5.645501069631e-01       5.642302976662e-01       1.207328729194e-01       2.128300617770e-05       9.998473225150e-01      -4.742140732699e-09       1.750056990643e-08      -2.087790225710e-12      -6.542518754425e-07      -3.531912316666e-11      -6.748648561106e-07      -5.241792471000e-10 
       1.351366027865e-04      -1.216841534456e-01      -9.566667080788e-02      -9.566728989560e-02      -1.214632540599e-01       5.950706223250e-06       1.420903695614e-09      -6.539536339982e-02       5.644935425776e-01       5.641819004327e-01       1.913345797912e-01       3.372823963384e-05       9.997585613174e-01      -7.422391683407e-09       2.715267172713e-08      -3.251231095493e-12      -1.623087231725e-06      -8.820488595884e-11      -1.673685390766e-06      -1.300316986237e-09 
       1.701269033115e-04      -1.875806504384e-01      -1.516032027567e-01      -1.516047483957e-01      -1.870375520653e-01       9.430058211088e-06       2.251655086082e-09      -1.036303756425e-01       5.644045528923e-01       5.641055292185e-01       3.032094967914e-01       5.344803233532e-05       9.996186878563e-01      -1.153300125661e-08       4.160178646887e-08      -5.011021548202e-12      -3.997457379710e-06      -2.195376899333e-10      -4.119960133172e-06      -3.202194255120e-09 
       2.141770818087e-04      -2.844872114543e-01      -2.402292824367e-01      -2.402331277470e-01      -2.831687149359e-01       1.494269931923e-05       3.567819454432e-09      -1.642075188029e-01       5.642651291077e-01       5.639853085878e-01       4.804662554940e-01       8.469043250867e-05       9.993989885537e-01      -1.771430656934e-08       6.246962000826e-08      -7.597655382926e-12      -9.732722665524e-06      -5.435293510318e-10      -1.002277364688e-05      -7.795238783161e-09 
       2.696329709129e-04      -4.204087594956e-01      -3.806241765847e-01      -3.806336898418e-01      -4.172717010138e-01       2.367526154516e-05       5.652598013124e-09      -2.601633708160e-01       5.640481133703e-01       5.637968136330e-01       7.612673796836e-01       1.341782191678e-04       9.990556478117e-01      -2.671656041777e-08       9.081244804233e-08      -1.122256665865e-11      -2.327015451633e-05      -1.334476080967e-09      -2.393220341306e-05      -1.863312534201e-08 
       3.394477989398e-04      -5.961134099740e-01      -6.029671268712e-01      -6.029904578061e-01      -5.888865590433e-01       3.750461968656e-05       8.953804068420e-09      -4.121150735968e-01       5.637136502522e-01       5.635030666264e-01       1.205980915612e+00       2.125423301106e-04       9.985232039604e-01      -3.915179063287e-08       1.252342969998e-07      -1.590112869046e-11      -5.406806866073e-05      -3.234029803361e-09      -5.548876814969e-05      -4.327694720857e-08 
       4.273394600629e-04      -7.913629007182e-01      -9.549456781530e-01      -9.550021206773e-01      -7.755587867200e-01       5.939613509173e-05       1.417874669813e-08      -6.526340961244e-01       5.632056962500e-01       5.630495592631e-01       1.910004241355e+00       3.365750802301e-04       9.977069247520e-01      -5.484985627980e-08       1.582966047685e-07      -2.108339832569e-11      -1.201240719590e-04      -7.681183483875e-09      -1.228572069484e-04      -9.609044110890e-08 
       5.379885057356e-04      -9.465000822906e-01      -1.511800434976e+00      -1.511934128268e+00      -9.147506472235e-01       9.402773797410e-05       2.244285180866e-08      -1.033104320605e+00       5.624501794599e-01       5.623591700451e-01       3.023868256537e+00       5.327608095090e-04       9.964758398558e-01      -7.168756780957e-08       1.726389040637e-07      -2.516419757977e-11      -2.490581353207e-04      -1.769256818767e-08      -2.532943614758e-04      -1.990434965314e-07 
       6.772874011237e-04      -9.654077819200e-01      -2.392000637242e+00      -2.392307287395e+00      -9.100142122624e-01       1.487630991244e-04       3.550168034173e-08      -1.634438655606e+00       5.613566250353e-01       5.613292416934e-01       4.784614574790e+00       8.427887887296e-04       9.946591742120e-01      -8.452365391087e-08       1.453631629480e-07      -2.557793796263e-11      -4.660146463347e-04      -3.894283916306e-08      -4.696073541858e-04      -3.719472409339e-07 
       8.526543203626e-04      -8.052643256190e-01      -3.781582276669e+00      -3.782252888900e+00      -7.294432432876e-01       2.351617217204e-04       5.611182688063e-08      -2.583750732778e+00       5.598207817138e-01       5.598337377728e-01       7.564505777799e+00       1.332129159266e-03       9.920458845673e-01      -8.702125613865e-08       7.864311669025e-08      -2.123821263650e-11      -7.614337157174e-04      -8.040704634897e-08      -7.566332702586e-04      -6.069126149749e-07 
