# Matter power spectrum P(k) at redshift z=1
# for k=1.04962e-05 to 33.2257 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049615931175e-05       1.917155648204e+01 
       1.321388168381e-05       2.392471073991e+01 
       1.663529144018e-05       2.985627815544e+01 
       2.094259112665e-05       3.725839812495e+01 
       2.636516015815e-05       4.649558126142e+01 
       3.319177010912e-05       5.802267080190e+01 
       4.178596285281e-05       7.240715010165e+01 
       5.260541049168e-05       9.035694148497e+01 
       6.622628806585e-05       1.127549941765e+02 
       8.337395697489e-05       1.407021935398e+02 
       1.049615931175e-04       1.755704501795e+02 
       1.321388168381e-04       2.190680442642e+02 
       1.663529144018e-04       2.733193984678e+02 
       2.094259112665e-04       3.409612274232e+02 
       2.636516015815e-04       4.252560607016e+02 
       3.319177010912e-04       5.302219487494e+02 
       4.178596285281e-04       6.607729920434e+02 
       5.260541049169e-04       8.228588454621e+02 
       6.622628806585e-04       1.023583534107e+03 
       8.337395697489e-04       1.271277559713e+03 
       1.049615931175e-03       1.575489729513e+03 
       1.321388168381e-03       1.946826503591e+03 
       1.663529144018e-03       2.396458906321e+03 
       2.094259112665e-03       2.935070885484e+03 
       2.636516015815e-03       3.571168752957e+03 
       3.319177010912e-03       4.308570280048e+03 
       4.178596285281e-03       5.142990357640e+03 
       5.260541049169e-03       6.057429133980e+03 
       6.622628806585e-03       7.016712449750e+03 
       8.337395697489e-03       7.961116079045e+03 
       1.049615931175e-02       8.801172408423e+03 
       1.321388168381e-02       9.413587950414e+03 
       1.663529144015e-02       9.647925804272e+03 
       2.094259093358e-02       9.357423252488e+03 
       2.636501855751e-02       8.476109201236e+03 
       3.317275609789e-02       7.141390421716e+03 
       4.117028741936e-02       5.815690702446e+03 
       4.786471822073e-02       5.060982481910e+03 
       5.272857463058e-02       4.686714515520e+03 
       5.674724358842e-02       4.451061542748e+03 
       6.033899051184e-02       4.271865483801e+03 
       6.369087791058e-02       4.114638300355e+03 
       6.690216546730e-02       3.961977911304e+03 
       7.003247736120e-02       3.804648328773e+03 
       7.312103166301e-02       3.638227474360e+03 
       7.619549758725e-02       3.461676287947e+03 
       7.927653673305e-02       3.276473443316e+03 
       8.238032967854e-02       3.085960672552e+03 
       8.552007456334e-02       2.894731359387e+03 
       8.870692267757e-02       2.708020291126e+03 
       9.195058748253e-02       2.531062052426e+03 
       9.525975493405e-02       2.368490640573e+03 
       9.864236791423e-02       2.223854234860e+03 
       1.021058280651e-01       2.099261898188e+03 
       1.056571417477e-01       1.995090199827e+03 
       1.093030271717e-01       1.910003567941e+03 
       1.130499938926e-01       1.840889677756e+03 
       1.169044022397e-01       1.783154173852e+03 
       1.208725079215e-01       1.731117068498e+03 
       1.249604955540e-01       1.678672805379e+03 
       1.291745038698e-01       1.620266837926e+03 
       1.335206447074e-01       1.551986516920e+03 
       1.380050174443e-01       1.472488523029e+03 
       1.426337202456e-01       1.383496568850e+03 
       1.474128593106e-01       1.289395169552e+03 
       1.523485571728e-01       1.196331086001e+03 
       1.574469610339e-01       1.110584786124e+03 
       1.627142520580e-01       1.037040304176e+03 
       1.681566565258e-01       9.779639654371e+02 
       1.737804597268e-01       9.324081572436e+02 
