# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04962e-05 to 33.2257 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049615931175e-05       3.059050720298e+01 
       1.321388168381e-05       3.817473330841e+01 
       1.663529144018e-05       4.763925373543e+01 
       2.094259112665e-05       5.945020084351e+01 
       2.636516015815e-05       7.418919944791e+01 
       3.319177010912e-05       9.258199652918e+01 
       4.178596285281e-05       1.155340344679e+02 
       5.260541049168e-05       1.441748397616e+02 
       6.622628806585e-05       1.799131506235e+02 
       8.337395697489e-05       2.245053400964e+02 
       1.049615931175e-04       2.801400265944e+02 
       1.321388168381e-04       3.495421352441e+02 
       1.663529144018e-04       4.360671949218e+02 
       2.094259112665e-04       5.439660436870e+02 
       2.636516015815e-04       6.784142214490e+02 
       3.319177010912e-04       8.458071823200e+02 
       4.178596285281e-04       1.053960575981e+03 
       5.260541049169e-04       1.312330399833e+03 
       6.622628806585e-04       1.632204578009e+03 
       8.337395697489e-04       2.026828696693e+03 
       1.049615931175e-03       2.511403511116e+03 
       1.321388168381e-03       3.102800816417e+03 
       1.663529144018e-03       3.818710179746e+03 
       2.094259112665e-03       4.675982806752e+03 
       2.636516015815e-03       5.687937996017e+03 
       3.319177010912e-03       6.860307639525e+03 
       4.178596285281e-03       8.185789825370e+03 
       5.260541049169e-03       9.636681445706e+03 
       6.622628806585e-03       1.115614913770e+04 
       8.337395697489e-03       1.264840997721e+04 
       1.049615931175e-02       1.397018510074e+04 
       1.321388168381e-02       1.492516800637e+04 
       1.663529144015e-02       1.527506798810e+04 
       2.094259093358e-02       1.479011564095e+04 
       2.636501855751e-02       1.337222075924e+04 
       3.317275609789e-02       1.124789290769e+04 
       4.117028741936e-02       9.152470840036e+03 
       4.786471822073e-02       7.964541658634e+03 
       5.272857463058e-02       7.376060633048e+03 
       5.674724358842e-02       7.005419381381e+03 
       6.033899051184e-02       6.723634175520e+03 
       6.369087791058e-02       6.476849120418e+03 
       6.690216546730e-02       6.238053432616e+03 
       7.003247736120e-02       5.993028760537e+03 
       7.312103166301e-02       5.735042074882e+03 
       7.619549758725e-02       5.462566464016e+03 
       7.927653673305e-02       5.177891895957e+03 
       8.238032967854e-02       4.886112552327e+03 
       8.552007456334e-02       4.594169843079e+03 
       8.870692267757e-02       4.309948019454e+03 
       9.195058748253e-02       4.041217148383e+03 
       9.525975493405e-02       3.794829672116e+03 
       9.864236791423e-02       3.575972778499e+03 
       1.021058280651e-01       3.387613380588e+03 
       1.056571417477e-01       3.230131858638e+03 
       1.093030271717e-01       3.101347526676e+03 
       1.130499938926e-01       2.996471202068e+03 
       1.169044022397e-01       2.908565299503e+03 
       1.208725079215e-01       2.829141739108e+03 
       1.249604955540e-01       2.749194428139e+03 
       1.291745038698e-01       2.660562541834e+03 
       1.335206447074e-01       2.557596649064e+03 
       1.380050174443e-01       2.438438976250e+03 
       1.426337202456e-01       2.305720031883e+03 
       1.474128593106e-01       2.165923239616e+03 
       1.523485571728e-01       2.028047624209e+03 
       1.574469610339e-01       1.901167062316e+03 
       1.627142520580e-01       1.792254118048e+03 
       1.681566565258e-01       1.704445695924e+03 
       1.737804597268e-01       1.636211232032e+03 
       1.795920234548e-01       1.581782056050e+03 
       1.855978079626e-01       1.533010855762e+03 
       1.918043992299e-01       1.481037338670e+03 
       1.982185423983e-01       1.419305661521e+03 
       2.048471822440e-01       1.347042978328e+03 
       2.116975115892e-01       1.269358648029e+03 
       2.187770286152e-01       1.194144723932e+03 
       2.260936041331e-01       1.128157251993e+03 
       2.336555600244e-01       1.074622606992e+03 
       2.414717602743e-01       1.032255345863e+03 
       2.495517163331e-01       9.955294593038e+02 
       2.579057089602e-01       9.578007001295e+02 
       2.665449292714e-01       9.153437954472e+02 
       2.754816424689e-01       8.690469164811e+02 
       2.847293787343e-01       8.234896571796e+02 
       2.943031570861e-01       7.835497209528e+02 
       3.042197497613e-01       7.503642585775e+02 
       3.144979970145e-01       7.212541067820e+02 
       3.251591853633e-01       6.923368773955e+02 
       3.362275065690e-01       6.615627381970e+02 
       3.477306204760e-01       6.304915120355e+02 
       3.597003529601e-01       6.018265308242e+02 
       3.721735716982e-01       5.766344028096e+02 
       3.851932989059e-01       5.532500471040e+02 
       3.988101441581e-01       5.298070334634e+02 
       4.130841760173e-01       5.063183219684e+02 
       4.280874051803e-01       4.841182185323e+02 
       4.439071355366e-01       4.635403571654e+02 
       4.606505724552e-01       4.437257704738e+02 
       4.784512945729e-01       4.240234377125e+02 
       4.974785603450e-01       4.049324761797e+02 
       5.179510558978e-01       3.866687062955e+02 
       5.401578396427e-01       3.685901814324e+02 
       5.644914092968e-01       3.506953723905e+02 
       5.915021237723e-01       3.329989655881e+02 
       6.219922530160e-01       3.151121230689e+02 
       6.571881446088e-01       2.968804442421e+02 
       6.990774248951e-01       2.778594747248e+02 
       7.511222483067e-01       2.574944526485e+02 
       8.198892963002e-01       2.348241681596e+02 
       9.188990552105e-01       2.083380653542e+02 
       1.075680404489e+00       1.762878239345e+02 
       1.324834889789e+00       1.402194487786e+02 
       1.665265703079e+00       1.071475412227e+02 
       2.096397260555e+00       7.964081916397e+01 
       2.639207611469e+00       5.735902677085e+01 
       3.322565528991e+00       3.991501798857e+01 
       4.182862176798e+00       2.685288996953e+01 
       5.265911488404e+00       1.752574555816e+01 
       6.629389789010e+00       1.114906018826e+01 
       8.345907270074e+00       6.946352703734e+00 
       1.050687474677e+01       4.257278243640e+00 
       1.322737161725e+01       2.576255906533e+00 
       1.665227426020e+01       1.544024164829e+00 
       2.096397123034e+01       9.187000971881e-01 
       2.639207611399e+01       5.436931607614e-01 
       3.322565528991e+01       3.204826258577e-01 
