# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=80
# for k=1.05468e-05 to 0.204988 h/Mpc,
# number of wavenumbers equal to 75
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.054684960093e-05      -2.016126828529e-05      -1.512103568530e-05      -1.512103614477e-05      -2.016125759265e-05       4.841290719637e-09       8.601558973414e-12      -1.523794983597e-05       6.102952027867e-01       5.974812351779e-01       3.024207228954e-05       3.616960838794e-08       9.999995150037e-01      -2.754265183801e-10       9.250761581802e-10      -4.102123907731e-13      -2.236075731816e-13      -1.158113685230e-16      -2.352092367653e-13      -7.039395756505e-15 
       1.327769697698e-05      -3.195334632915e-05      -2.396522192894e-05      -2.396522308308e-05      -3.195331947056e-05       7.672931570223e-09       1.363252303470e-11      -2.415051616586e-05       6.102949897501e-01       5.974810911128e-01       4.793044616617e-05       5.732494965997e-08       9.999992313331e-01      -4.365192587668e-10       1.466140607344e-09      -6.501411550948e-13      -5.616755099915e-13      -2.909015796572e-16      -5.908173306108e-13      -1.768211858372e-14 
       1.671563013442e-05      -5.064236444302e-05      -3.798230630824e-05      -3.798230920731e-05      -5.064229697772e-05       1.216075027963e-08       2.160609129795e-11      -3.827597235110e-05       6.102946631137e-01       5.974808741806e-01       7.596461841461e-05       9.085387855462e-08       9.999987817461e-01      -6.918349865230e-10       2.323660443341e-09      -1.030400140189e-12      -1.410859662499e-12      -7.307198237762e-16      -1.484059693234e-12      -4.441529650677e-14 
       2.104373155038e-05      -8.026204110417e-05      -6.019786959803e-05      -6.019787688012e-05      -8.026187164065e-05       1.927347299971e-08       3.424336058643e-11      -6.066328499935e-05       6.102941254546e-01       5.974805099979e-01       1.203957537602e-04       1.439935903018e-07       9.999980692018e-01      -1.096476815633e-09       3.682713843322e-09      -1.633063632811e-12      -3.543897767006e-12      -1.835479621184e-15      -3.727764332206e-12      -1.115654741496e-13 
       2.649248840774e-05      -1.272050140769e-04      -9.540712337990e-05      -9.540714168050e-05      -1.272045886027e-04       3.054626898696e-08       5.427176345730e-11      -9.614472216938e-05       6.102931331717e-01       5.974799053682e-01       1.908142833610e-04       2.282141915671e-07       9.999969392854e-01      -1.737769682991e-09       5.836586559706e-09      -2.588216280696e-12      -8.901790285039e-12      -4.611401764022e-15      -9.363411909081e-12      -2.802346257850e-13 
       3.335206687817e-05      -2.016019613988e-04      -1.512099180324e-04      -1.512099640295e-04      -2.016008934574e-04       4.841252589260e-08       8.601532742702e-11      -1.523788456116e-04       6.102915556359e-01       5.974789190822e-01       3.024199280589e-04       3.616944604147e-07       9.999951476774e-01      -2.754101866476e-09       9.250067749999e-09      -4.102004278490e-12      -2.236000051531e-11      -1.158523188423e-14      -2.351863001843e-11      -7.038975926232e-13 
       4.198776452879e-05      -3.195065223420e-04      -2.396511093231e-04      -2.396512248893e-04      -3.195038406816e-04       7.672842124150e-08       1.363244803036e-10      -2.415035143108e-04       6.102893298340e-01       5.974774383560e-01       4.793024497787e-04       5.732454440742e-07       9.999923087952e-01      -4.364827096805e-09       1.465971254365e-08      -6.501085157258e-12      -5.616448980988e-11      -2.910310452879e-14      -5.907376188531e-11      -1.768057926244e-12 
       5.285946374972e-05      -5.063559303862e-04      -3.798202426275e-04      -3.798205329356e-04      -5.063491955632e-04       1.216057564728e-07       2.160586730922e-10      -3.827555530310e-04       6.102858874244e-01       5.974751092594e-01       7.596410658712e-04       9.085287171538e-07       9.999878099197e-01      -6.917496569282e-09       2.323248031788e-08      -1.030311312290e-11      -1.410734953260e-10      -7.310401046436e-14      -1.483795162769e-10      -4.440975146940e-12 
       6.654612216834e-05      -8.024502918922e-04      -6.019715842429e-04      -6.019723134835e-04      -8.024333772210e-04       1.927311518780e-07       3.424286855586e-10      -6.066223471379e-04       6.102804760178e-01       5.974714396841e-01       1.203944626967e-03       1.439910705712e-06       9.999806801132e-01      -1.096279041943e-08       3.681701329113e-08      -1.632828419560e-11      -3.543391553324e-10      -1.836320929259e-13      -3.726866228031e-10      -1.115451060518e-11 
       8.377660425408e-05      -1.271622708934e-03      -9.540532652253e-04      -9.540550969999e-04      -1.271580228711e-03       3.054560768038e-07       5.427086124875e-10      -9.614207348354e-04       6.102718936894e-01       5.974656074149e-01       1.908110194000e-03       2.282078991196e-06       9.999693808584e-01      -1.737309613179e-08       5.834103947925e-08      -2.587593856968e-11      -8.899742699219e-10      -4.612522196953e-13      -9.360456756807e-10      -2.801604166708e-11 
