# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04079e-05 to 32.9468 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040790400722e-05       3.150389749162e+01 
       1.310277483820e-05       3.931457391029e+01 
       1.649541620883e-05       4.906169396043e+01 
       2.076649864342e-05       6.122530328525e+01 
       2.614347285619e-05       7.640439491776e+01 
       3.291268233120e-05       9.534639389999e+01 
       4.143461215706e-05       1.189837747101e+02 
       5.216308617236e-05       1.484798185588e+02 
       6.566943473999e-05       1.852853393878e+02 
       8.267292017233e-05       2.312092144945e+02 
       1.040790400722e-04       2.885055246082e+02 
       1.310277483820e-04       3.599807681198e+02 
       1.649541620883e-04       4.491246910627e+02 
       2.076649864342e-04       5.602677972084e+02 
       2.614347285619e-04       6.987671068814e+02 
       3.291268233120e-04       8.712182670407e+02 
       4.143461215706e-04       1.085685742660e+03 
       5.216308617236e-04       1.351933670742e+03 
       6.566943473999e-04       1.681629757154e+03 
       8.267292017233e-04       2.088484711506e+03 
       1.040790400722e-03       2.588264087402e+03 
       1.310277483820e-03       3.198516026408e+03 
       1.649541620883e-03       3.937721372665e+03 
       2.076649864342e-03       4.823627292425e+03 
       2.614347285619e-03       5.870520249041e+03 
       3.291268233120e-03       7.085089313902e+03 
       4.143461215706e-03       8.460854446465e+03 
       5.216308617236e-03       9.970602702497e+03 
       6.566943473999e-03       1.155732279224e+04 
       8.267292017233e-03       1.312394702867e+04 
       1.040790400722e-02       1.452419695152e+04 
       1.310277483820e-02       1.555602160564e+04 
       1.649541620881e-02       1.597152746157e+04 
       2.076649849734e-02       1.552576714835e+04 
       2.614335805461e-02       1.410135640693e+04 
       3.289637469053e-02       1.190963226130e+04 
       4.087911856302e-02       9.694264136014e+03 
       4.766023804155e-02       8.408976266624e+03 
       5.256927140494e-02       7.775982927804e+03 
       5.660927691599e-02       7.380670053540e+03 
       6.021256115851e-02       7.081854280114e+03 
       6.357114120765e-02       6.820863189608e+03 
       6.678635797958e-02       6.568201430691e+03 
       6.991885159805e-02       6.308205717911e+03 
       7.300839290672e-02       6.033302026336e+03 
       7.608297671421e-02       5.741620071908e+03 
       7.916346813368e-02       5.435462489317e+03 
       8.226618083526e-02       5.120271512939e+03 
       8.540440307104e-02       4.803612621194e+03 
       8.858934878552e-02       4.494086451969e+03 
       9.183077588075e-02       4.200409439237e+03 
       9.513740229027e-02       3.930281933085e+03 
       9.851719412387e-02       3.689692940490e+03 
       1.019775699776e-01       3.482184560429e+03 
       1.055255485925e-01       3.308522964277e+03 
       1.091678571796e-01       3.166584033936e+03 
       1.129110117788e-01       3.051312095595e+03 
       1.167613773165e-01       2.955202941148e+03 
       1.207252126807e-01       2.868895866167e+03 
       1.248087046008e-01       2.782260734736e+03 
       1.290179931216e-01       2.686074143415e+03 
       1.333591907880e-01       2.573714394826e+03 
       1.378383972193e-01       2.442782930402e+03 
       1.424617104533e-01       2.295916741682e+03 
       1.472352362460e-01       2.140294084142e+03 
       1.521650963894e-01       1.985965772046e+03 
       1.572574370271e-01       1.843414485892e+03 
       1.625184378976e-01       1.720840667412e+03 
       1.679543234048e-01       1.622145072101e+03 
       1.735713763949e-01       1.545997042301e+03 
       1.793759555044e-01       1.486025904629e+03 
       1.853745169373e-01       1.432938148018e+03 
       1.915736415227e-01       1.376470850530e+03 
       1.979800679094e-01       1.308737151516e+03 
       2.046007327653e-01       1.228465409270e+03 
       2.114428188820e-01       1.141301530683e+03 
       2.185138121437e-01       1.056417466900e+03 
       2.258215684139e-01       9.819090375172e+02 
       2.333743915428e-01       9.219166694381e+02 
       2.411811239123e-01       8.752496380159e+02 
       2.492512512375e-01       8.355684811971e+02 
       2.575950237635e-01       7.948931256174e+02 
       2.662235965537e-01       7.485355340080e+02 
       2.751491923186e-01       6.972782973225e+02 
       2.843852912200e-01       6.464943303632e+02 
       2.939468534025e-01       6.022241416198e+02 
       3.038505817336e-01       5.661762498968e+02 
       3.141152345494e-01       5.352553274842e+02 
       3.247620013040e-01       5.046898938886e+02 
       3.358149582288e-01       4.717499023689e+02 
       3.473016268785e-01       4.382122983837e+02 
       3.592536664636e-01       4.074933067574e+02 
