# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.04079e-05 to 32.9468 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.040790400722e-05      -7.985242301570e-04      -5.990659307271e-04      -5.990659540931e-04      -7.985154855217e-04       3.080713418535e-08       7.564182579735e-12      -4.800418170237e-04       5.754369434710e-01       5.750842092494e-01       1.198131908186e-03       2.112960378675e-07       9.999985347524e-01      -4.875119478847e-11       1.662826690429e-10      -1.564307124790e-14      -6.324768842777e-11      -3.315123588001e-15      -6.525034773223e-11      -5.066118592100e-14 
       1.310277483820e-05      -1.265361022904e-03      -9.494546807110e-04      -9.494547394016e-04      -1.265339060225e-03       4.882587981859e-08       1.198838348272e-11      -7.608142516831e-04       5.754363033969e-01       5.750836566301e-01       1.898909478803e-03       3.348814244615e-07       9.999976777918e-01      -7.725636761278e-11       2.634861458501e-10      -2.478868162225e-14      -1.588516803519e-10      -8.326719886935e-15      -1.638810083586e-10      -1.272395783831e-13 
       1.649541620883e-05      -2.004923616573e-03      -1.504782514045e-03      -1.504782661461e-03      -2.004868460415e-03       7.738376613704e-08       1.900030469339e-11      -1.205807709846e-03       5.754354161752e-01       5.750829078996e-01       3.009565322921e-03       5.307505597524e-07       9.999963196762e-01      -1.224194360629e-10       4.174615725644e-10      -3.927758859049e-14      -3.989405026969e-10      -2.091386449799e-14      -4.115691177375e-10      -3.195494626214e-13 
       2.076649864342e-05      -3.176238298769e-03      -2.384915625157e-03      -2.384915995414e-03      -3.176099798569e-03       1.226450520452e-07       3.011335747801e-11      -1.911072724897e-03       5.754341203770e-01       5.750818314697e-01       4.769831990829e-03       8.411808973194e-07       9.999941674088e-01      -1.939613169211e-10       6.612910508755e-10      -6.222612598788e-14      -1.001787291795e-09      -5.252603381280e-14      -1.033491252933e-09      -8.024257023079e-13 
       2.614347285619e-05      -5.030603820735e-03      -3.779825436798e-03      -3.779826366702e-03      -5.030256121236e-03       1.943785164044e-07       4.772627269727e-11      -3.028835873253e-03       5.754318842990e-01       5.750799429164e-01       7.559652733405e-03       1.333177295726e-06       9.999907562824e-01      -3.072596753320e-10       1.047219468996e-09      -9.855982540171e-14      -2.515159214676e-09      -1.319085492275e-13      -2.594722680170e-09      -2.014621627501e-12 
       3.291268233120e-05      -7.964450512276e-03      -5.990592178195e-03      -5.990594513517e-03      -7.963577897195e-03       3.080679386005e-07       7.564074374692e-11      -4.800355911000e-03       5.754283817130e-01       5.750769907249e-01       1.198118902703e-02       2.112931907474e-06       9.999853503208e-01      -4.865929607472e-10       1.657582029224e-09      -1.560513654949e-13      -6.312948208021e-09      -3.312258520858e-13      -6.512516219556e-09      -5.056598205062e-12 
       4.143461215706e-05      -1.260143145903e-02      -9.494379350354e-03      -9.494385214241e-03      -1.259924251279e-02       4.882511397526e-07       1.198809198614e-10      -7.607987082202e-03       5.754228077795e-01       5.750722874839e-01       1.898877042848e-02       3.348742191620e-06       9.999767861538e-01      -7.702623458379e-10       2.621701094363e-09      -2.469347626627e-13      -1.583814954852e-08      -8.315234365341e-13      -1.633830748172e-08      -1.268608796908e-11 
       5.216308617236e-05      -1.991835099361e-02      -1.504740288217e-02      -1.504741760299e-02      -1.991286419078e-02       7.738161053890e-07       1.899961530696e-10      -1.205768544447e-02       5.754139721125e-01       5.750648283979e-01       3.009483520598e-02       5.307325489514e-06       9.999632210637e-01      -1.218423083023e-09       4.141609637566e-09      -3.903875924327e-13      -3.970706647084e-08      -2.086815186518e-12      -4.095893614666e-08      -3.180435810866e-11 
       6.566943473999e-05      -3.143433705440e-02      -2.384808899388e-02      -2.384812593602e-02      -3.142060080362e-02       1.226391809419e-06       3.011167287346e-10      -1.910973850528e-02       5.753999934933e-01       5.750530229283e-01       4.769625187205e-02       8.411360128122e-06       9.999417417593e-01      -1.925154193111e-09       6.530205878284e-09      -6.162747019785e-13      -9.943562901885e-08      -5.234327245535e-12      -1.025624463253e-07      -7.964412801461e-11 
       8.267292017233e-05      -4.948493140717e-02      -3.779557617167e-02      -3.779566882967e-02      -4.945060928259e-02       1.943641766093e-06       4.772211908377e-10      -3.028587854036e-02       5.753778784683e-01       5.750343308273e-01       7.559133765933e-02       1.333064611793e-05       9.999077487105e-01      -3.036362566875e-09       1.026525838180e-08      -9.706115199174e-13      -2.485655770565e-07      -1.311847913420e-11      -2.563496456727e-07      -1.990864233443e-10 
