# Matter power spectrum P(k) at redshift z=1
# for k=1.04079e-05 to 32.9468 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040790400722e-05       1.951330835918e+01 
       1.310277483820e-05       2.435118836555e+01 
       1.649541620883e-05       3.038849402207e+01 
       2.076649864342e-05       3.792257202637e+01 
       2.614347285619e-05       4.732441980223e+01 
       3.291268233120e-05       5.905700579271e+01 
       4.143461215706e-05       7.369792095185e+01 
       5.216308617236e-05       9.196772238341e+01 
       6.566943473999e-05       1.147651178173e+02 
       8.267292017233e-05       1.432106522923e+02 
       1.040790400722e-04       1.787007645220e+02 
       1.310277483820e-04       2.229743249732e+02 
       1.649541620883e-04       2.781805735434e+02 
       2.076649864342e-04       3.470228403118e+02 
       2.614347285619e-04       4.328128031648e+02 
       3.291268233120e-04       5.396397087545e+02 
       4.143461215706e-04       6.725052461766e+02 
       5.216308617236e-04       8.374662127133e+02 
       6.566943473999e-04       1.041756610933e+03 
       8.267292017233e-04       1.293862736557e+03 
       1.040790400722e-03       1.603517120832e+03 
       1.310277483820e-03       1.981538377754e+03 
       1.649541620883e-03       2.439335087477e+03 
       2.076649864342e-03       2.987842523074e+03 
       2.614347285619e-03       3.635808833280e+03 
       3.291268233120e-03       4.387241772286e+03 
       4.143461215706e-03       5.237935458846e+03 
       5.216308617236e-03       6.170784942141e+03 
       6.566943473999e-03       7.150216480820e+03 
       8.267292017233e-03       8.115688474980e+03 
       1.040790400722e-02       8.976443259732e+03 
       1.310277483820e-02       9.607287175338e+03 
       1.649541620881e-02       9.855258824789e+03 
       2.076649849734e-02       9.570292922696e+03 
       2.614335805461e-02       8.682771466260e+03 
       3.289637469053e-02       7.327180785576e+03 
       4.087911856302e-02       5.963743496566e+03 
       4.766023804155e-02       5.175067890273e+03 
       5.256927140494e-02       4.786783073294e+03 
       5.660927691599e-02       4.544017469779e+03 
       6.021256115851e-02       4.360327175048e+03 
       6.357114120765e-02       4.199945528260e+03 
       6.678635797958e-02       4.044991963877e+03 
       6.991885159805e-02       3.886053311363e+03 
       7.300839290672e-02       3.718627555735e+03 
       7.608297671421e-02       3.541643321974e+03 
       7.916346813368e-02       3.356524015528e+03 
       8.226618083526e-02       3.166527382682e+03 
       8.540440307104e-02       2.976175596570e+03 
       8.858934878552e-02       2.790527444776e+03 
       9.183077588075e-02       2.614704856370e+03 
       9.513740229027e-02       2.453181527029e+03 
       9.851719412387e-02       2.309405045264e+03 
       1.019775699776e-01       2.185358534427e+03 
       1.055255485925e-01       2.081383828613e+03 
       1.091678571796e-01       1.996126598980e+03 
       1.129110117788e-01       1.926533036107e+03 
       1.167613773165e-01       1.868131434610e+03 
       1.207252126807e-01       1.815441873244e+03 
       1.248087046008e-01       1.762569594073e+03 
       1.290179931216e-01       1.704230058564e+03 
       1.333591907880e-01       1.636666011421e+03 
       1.378383972193e-01       1.558598687326e+03 
       1.424617104533e-01       1.471619684853e+03 
       1.472352362460e-01       1.379902412764e+03 
       1.521650963894e-01       1.289197812581e+03 
       1.572574370271e-01       1.205463393881e+03 
       1.625184378976e-01       1.133302173040e+03 
       1.679543234048e-01       1.074839476864e+03 
       1.735713763949e-01       1.029226986978e+03 
       1.793759555044e-01       9.927880335581e+02 
       1.853745169373e-01       9.602521420313e+02 
       1.915736415227e-01       9.258698581598e+02 
       1.979800679094e-01       8.852923354417e+02 
       2.046007327653e-01       8.378824026881e+02 
       2.114428188820e-01       7.868344645871e+02 
       2.185138121437e-01       7.372373254993e+02 
       2.258215684139e-01       6.935323494857e+02 
       2.333743915428e-01       6.579342435949e+02 
       2.411811239123e-01       6.297220307097e+02 
       2.492512512375e-01       6.053834453646e+02 
       2.575950237635e-01       5.805699411481e+02 
       2.662235965537e-01       5.527699973095e+02 
       2.751491923186e-01       5.224451451074e+02 
       2.843852912200e-01       4.925039335511e+02 
       2.939468534025e-01       4.661654251691e+02 
       3.038505817336e-01       4.442968752187e+02 
       3.141152345494e-01       4.252147817528e+02 
       3.247620013040e-01       4.063835711731e+02 
       3.358149582288e-01       3.863778626938e+02 
       3.473016268785e-01       3.661438082925e+02 
       3.592536664636e-01       3.474586585438e+02 
       3.717077421891e-01       3.310940264461e+02 
       3.847066280289e-01       3.160102632318e+02 
       3.983006260010e-01       3.009421876360e+02 
       4.125494190926e-01       2.858510870724e+02 
       4.275245281339e-01       2.716109668894e+02 
       4.433126252363e-01       2.584892361834e+02 
       4.600200870431e-01       2.459391843334e+02 
       4.777793840297e-01       2.334968058966e+02 
       4.967582599940e-01       2.214849717339e+02 
       5.171732779945e-01       2.100872876386e+02 
       5.393104324486e-01       1.988797729399e+02 
       5.635576455939e-01       1.878543523484e+02 
       5.904581626811e-01       1.770556392033e+02 
       6.208026494092e-01       1.662419528412e+02 
       6.557974008239e-01       1.553478358809e+02 
       6.973929178738e-01       1.441335409688e+02 
       7.489768831417e-01       1.323270146156e+02 
       8.169538119612e-01       1.194583118951e+02 
       9.144792596746e-01       1.048296011751e+02 
       1.068469335204e+00       8.773602037312e+01 
       1.313995175733e+00       6.922125909518e+01 
       1.651295497907e+00       5.286408559593e+01 
       2.078800719036e+00       3.965472788241e+01 
       2.617054831616e+00       2.908558754196e+01 
       3.294676831460e+00       2.075713843245e+01 
       4.147752386774e+00       1.436525717125e+01 
       5.221710881540e+00       9.629930562517e+00 
       6.573744521813e+00       6.263179413604e+00 
       8.275854029153e+00       3.966685185513e+00 
       1.041868294160e+01       2.457208858250e+00 
       1.311634471261e+01       1.495263700609e+00 
       1.651249966855e+01       8.972969277629e-01 
       2.078800544498e+01       5.327382088843e-01 
       2.617054831520e+01       3.137570375082e-01 
       3.294676831460e+01       1.836825868970e-01 
